    income                   consum
    9014.00000000000         8016.00000000000     
    9659.00000000000         8798.00000000000     
    9848.00000000000         9184.00000000000     
    10316.0000000000         9755.00000000000     
    10254.0000000000         9113.00000000000     
    11271.0000000000         9837.00000000000     
    11298.0000000000         10337.0000000000     
    12051.0000000000         11135.0000000000     
    11955.0000000000         10632.0000000000     
    12920.0000000000         11144.0000000000     
    13228.0000000000         11650.0000000000     
    13814.0000000000         12586.0000000000     
    13777.0000000000         11643.0000000000     
    14509.0000000000         12750.0000000000     
    15662.0000000000         13608.0000000000     
    16292.0000000000         15068.0000000000     
    17474.0000000000         14369.0000000000     
    18355.0000000000         15944.0000000000     
    19312.0000000000         16758.0000000000     
    19664.0000000000         18140.0000000000     
    20364.0000000000         17212.0000000000     
    20931.0000000000         18221.0000000000     
    22374.0000000000         19217.0000000000     
    22389.0000000000         21025.0000000000     
    22887.0000000000         19812.0000000000     
    23796.0000000000         20901.0000000000     
    24997.0000000000         21984.0000000000     
    26101.0000000000         23781.0000000000     
    26362.0000000000         23068.0000000000     
    28078.0000000000         24028.0000000000     
    29289.0000000000         25496.0000000000     
    30360.0000000000         27056.0000000000     
    30737.0000000000         26244.0000000000     
    32932.0000000000         28610.0000000000     
    35000.0000000000         30593.0000000000     
    37979.0000000000         32709.0000000000     
    37929.0000000000         32130.0000000000     
    39783.0000000000         33027.0000000000     
    41438.0000000000         35077.0000000000     
    42035.0000000000         36761.0000000000     
    42509.0000000000         35314.0000000000     
    43416.0000000000         36924.0000000000     
    44458.0000000000         39002.0000000000     
    45002.0000000000         41099.0000000000     
    46349.0000000000         38815.0000000000     
    47239.0000000000         40221.0000000000     
    48303.0000000000         42486.0000000000     
    48875.0000000000         45090.0000000000     
    49134.0000000000         42795.0000000000     
    50943.0000000000         43955.0000000000     
    52201.0000000000         46665.0000000000     
    53164.0000000000         48792.0000000000     
    52941.0000000000         45938.0000000000     
    54825.0000000000         47553.0000000000     
    55175.0000000000         49119.0000000000     
    57583.0000000000         52063.0000000000     
    56727.0000000000         49095.0000000000     
    59790.0000000000         50481.0000000000     
