P91	P90	LR91	LR90	AEROSP	CHEMIST	COMPUTER	MACHINES	VEHICLES	JAPAN	US
55	80	6.28743542	6.16	0	0	0	0	0	0	1
67	46	5.1507364	5.14	0	0	0	0	0	0	1
55	42	4.17270957	4.1	0	1	0	0	0	0	1
83	102	6.12753796	6.15	0	1	0	0	0	0	0
0	1	4.8666215	4.82	0	0	0	0	0	0	0
4	11	7.6969469	7.53	0	0	0	0	0	0	0
7	55	5.72849477	5.88	1	0	0	0	0	0	1
0	0	5.31472758	5.22	0	0	0	0	0	0	1
0	1	5.53029987	5.56	0	0	1	0	0	0	1
96	67	5.98417411	5.89	0	1	0	0	0	0	1
11	11	5.85064272	5.73	0	0	0	0	0	0	1
39	39	5.58478805	5.55	0	0	0	0	0	0	1
2	3	5.36542522	5.39	0	0	0	0	0	0	1
13	14	4.27433177	4.21	0	0	1	0	0	0	1
1	6	6.15388258	5.99	0	0	1	0	0	0	1
42	33	4.41750751	4.4	0	0	0	0	0	0	1
1	1	3.8038786	3.97	0	0	0	0	0	0	1
12	6	4.65322985	4.73	0	0	0	0	0	0	1
310	353	7.82935875	7.81	0	0	0	0	0	0	1
0	0	4.36657289	4.33	0	0	1	0	0	0	1
425	577	6.99325086	7.04	0	1	0	0	0	0	0
56	52	5.45212209	5.39	0	0	0	0	0	0	1
355	667	7.37003253	7.32	0	1	0	0	0	0	0
34	52	4.51308322	4.46	0	0	0	1	0	0	1
23	16	4.28883286	4.29	0	0	0	1	0	0	1
33	46	6.66920713	6.61	0	0	0	0	1	0	0
18	38	7.04199264	6.54	1	0	0	0	0	0	1
13	3	3.13910212	3.15	0	0	0	1	0	0	1
10	4	3.74650857	3.88	0	0	0	1	0	0	1
2	5	3.81638993	3.81	0	0	0	0	0	0	1
851	640	6.55407978	6.46	0	0	1	0	0	1	0
0	0	5.39149746	5.3	0	0	0	1	0	0	1
24	22	5.30715632	5.21	0	0	0	0	0	0	1
0	0	6.64740674	6.64	0	0	0	0	1	0	1
35	35	4.5236467	4.41	0	0	0	0	0	0	1
4	0	4.3542016	4.71	0	0	0	0	0	0	1
0	0	4.65860002	4.65	0	0	0	0	0	0	1
8	5	3.52927603	3.48	0	0	0	0	0	0	1
2	2	4.73658069	4.68	0	0	1	0	0	0	1
7	9	4.378793	4.45	0	0	0	1	0	0	1
7	25	8.39744037	8.41	0	0	0	0	1	0	0
2	10	4.36040638	4.4	0	0	0	1	0	0	1
1	9	4.41066821	4.78	0	0	1	0	0	0	1
55	52	5.41798187	5.4	0	0	0	1	0	0	1
107	137	7.19386226	7.21	0	0	1	0	0	0	1
128	207	6.84100824	6.86	0	1	0	0	0	0	1
2	0	3.94144859	3.77	0	0	0	1	0	0	1
367	428	6.9542753	7.09	0	1	0	0	0	0	1
555	533	7.09490776	7.02	0	0	0	1	0	0	1
84	70	4.60597696	4.68	0	0	0	1	0	0	1
36	36	6.45500356	6.33	0	0	0	0	0	0	0
74	89	4.74420687	4.68	0	1	0	0	0	0	0
8	19	5.25754582	5.28	0	0	0	0	0	0	1
22	40	4.02125013	4	0	1	0	0	0	0	1
121	137	6.30631653	6.28	0	0	0	0	0	0	1
45	76	6.62956823	6.46	0	0	0	0	1	0	0
25	29	4.68800282	4.89	0	1	0	0	0	0	1
114	103	8.43794382	8.7	0	0	0	0	1	0	1
462	458	7.61176942	7.55	0	0	1	0	0	1	0
1	3	4.87329173	5.69	1	0	0	0	0	0	1
99	123	8.46626515	8.41	0	0	0	0	1	0	1
8	7	4.35004359	4.46	0	0	0	1	0	0	1
39	16	4.47612543	4.38	0	0	0	0	0	0	1
31	41	4.13855066	4.15	0	1	0	0	0	0	1
74	88	4.79899381	4.82	0	1	0	0	0	0	1
4	10	4.62988248	4.59	1	0	0	0	0	0	1
19	24	5.03271947	5.12	0	0	0	0	0	0	1
29	32	4.54786933	4.56	0	0	0	0	0	0	1
9	7	4.69171064	4.8	0	0	0	0	0	0	1
0	0	4.15514325	3.95	0	0	0	1	0	0	1
104	246	5.3527989	5.32	0	1	0	0	0	0	0
40	39	4.24120481	4.35	0	1	0	0	0	0	1
242	235	7.0739398	7.04	0	0	1	0	0	0	1
383	470	8.16321771	8.07	0	0	0	0	0	1	0
424	470	7.32305317	7.3	0	1	0	0	0	0	0
58	39	7.1178278	7.1	0	0	0	0	1	1	0
70	79	5.49180849	5.45	0	0	1	0	0	0	1
52	109	5.33768526	5.18	0	1	0	0	0	0	0
925	900	8.30308857	8.32	0	0	1	0	0	0	1
197	215	5.6314993	5.68	0	1	0	0	0	0	0
6	6	4.60436276	4.67	0	0	0	1	0	0	1
0	1	6.21226476	6.07	0	0	0	0	0	0	1
2	4	4.68651583	4.53	0	0	1	0	0	0	1
4	6	3.9160504	3.88	0	0	0	0	0	0	1
29	27	6.67324797	6.55	0	0	0	0	0	0	1
0	0	3.71752103	3.97	0	0	0	1	0	0	1
1	2	3.33243508	3.47	0	0	0	0	0	0	1
42	20	4.78829852	4.73	0	0	0	0	0	0	1
62	47	6.42805181	6.38	0	0	0	0	0	0	1
0	0	4.9291118	4.94	0	0	0	0	0	0	1
2	2	5.73633795	5.94	1	0	0	0	0	0	1
1	2	4.65706862	4.53	0	0	1	0	0	0	1
15	19	4.16772203	4.13	0	1	0	0	0	0	1
7	15	5.75950501	5.7	0	0	0	0	0	0	1
2	1	5.00063116	5.18	1	0	0	0	0	0	1
3	1	7.800383	7.72	0	0	0	0	0	1	0
1	1	3.65689641	3.59	0	0	0	0	0	0	1
63	67	6.50392999	6.23	0	0	0	0	1	1	0
1	3	5.89494298	6.19	1	0	0	0	0	0	1
22	36	3.43635364	3.34	0	0	0	0	0	0	1
21	19	4.27993402	4.22	0	0	0	0	0	0	1
178	147	6.68117565	6.57	0	0	0	0	0	0	1
12	15	3.84613841	3.94	0	0	0	1	0	0	1
221	313	6.60352597	6.58	0	0	0	0	0	0	1
61	99	5.54143761	5.44	0	0	0	0	0	0	1
67	85	6.22664194	6.24	0	1	0	0	0	0	1
2	3	5.72389837	5.78	0	1	0	0	0	0	0
10	13	3.85643009	3.69	0	1	0	0	0	0	1
157	257	6.76948536	6.76	0	0	0	0	0	0	1
15	14	3.64431763	3.56	0	1	0	0	0	0	1
75	72	5.07698815	5.35	0	0	0	0	0	0	1
0	2	4.25160352	4.25	1	0	0	0	0	0	1
86	54	6.08184595	6.04	0	0	1	0	0	0	1
415	260	8.30732018	8.21	0	0	0	0	0	1	0
33	111	7.30955516	7.26	0	0	0	0	1	1	0
0	0	4.4077227	4.88	1	0	0	0	0	0	1
19	23	3.49926746	4.02	0	1	0	0	0	0	1
16	33	4.92997119	4.84	0	0	0	1	0	1	0
0	0	3.49437748	3.59	1	0	0	0	0	0	1
16	3	3.54689551	3.66	0	0	0	0	0	0	1
1	0	4.38081525	4.44	0	0	0	0	0	0	1
10	11	3.97383384	3.97	0	0	0	1	0	0	1
60	76	6.41479442	6.29	0	0	0	0	0	0	1
26	25	7.59116552	7.74	0	0	0	0	0	0	1
240	279	4.56481889	4.66	0	0	0	0	0	0	0
7	3	4.146243	4.11	0	0	0	0	0	0	1
13	53	4.52189385	4.52	0	0	1	0	0	0	1
16	24	4.82134845	4.78	0	0	0	1	0	0	1
41	44	5.18113948	5.21	0	0	0	0	0	0	1
70	123	6.45265219	6.37	0	0	0	0	0	0	1
80	91	6.66446189	6.57	0	0	0	0	1	0	0
2	0	3.57668007	3.59	0	0	0	0	0	0	1
2	0	4.08434042	4.02	0	0	0	0	0	0	1
33	12	4.72876537	4.64	0	0	0	0	0	0	1
38	24	5.41511346	5.41	0	0	0	0	0	0	1
5	6	6.55368216	6.54	0	0	0	0	1	0	0
63	36	6.76820235	6.78	0	0	0	0	1	0	0
185	212	6.75280546	6.7	0	0	0	0	0	0	0
40	33	5.98478368	6.01	0	0	0	0	0	0	1
70	43	4.99518155	5	0	1	0	0	0	0	1
27	28	4.46719175	4.62	0	0	0	0	1	0	0
8	3	5.70096784	5.69	0	0	0	0	1	0	0
1	0	5.83989997	5.76	0	0	0	0	0	0	1
34	41	5.79499986	5.75	0	0	0	0	0	0	1
10	4	3.68158902	3.5	0	0	0	0	0	0	1
2	8	3.95080903	4.02	0	0	0	0	0	0	1
835	922	8.33493922	8.21	0	0	0	0	0	0	0
0	0	4.09824387	4.16	0	0	0	1	0	0	0
41	43	5.77677763	5.8	0	1	0	0	0	0	0
15	10	3.96793262	3.84	0	0	0	0	0	0	1
4	3	4.5631368	4.41	0	0	1	0	0	0	1
119	138	5.92363519	5.87	0	1	0	0	0	1	0
29	38	4.60031581	4.65	1	0	0	0	0	0	1
11	14	5.37144481	5.36	0	0	1	0	0	0	1
19	29	5.11412471	5.08	0	0	0	0	0	1	0
45	63	4.93551276	5.09	0	0	0	1	0	0	1
11	7	3.71555832	3.7	0	0	0	0	0	0	1
0	0	3.91282978	4.02	0	0	0	1	0	0	1
40	51	5.30715632	5.24	0	0	0	0	0	0	1
132	109	6.05289595	6.11	0	0	0	0	0	0	1
29	12	5.04319077	5.12	0	0	0	0	0	0	1
148	145	7.30862778	7.29	0	0	0	0	0	0	0
5	1	3.49682546	3.51	0	0	0	1	0	0	1
779	621	7.48189801	7.45	0	0	0	0	0	1	0
20	21	5.63213417	5.56	0	0	0	0	0	0	1
0	2	4.04504825	3.98	0	1	0	0	0	0	0
7	11	3.70766873	3.78	0	0	0	0	0	0	1
8	65	4.8419412	4.88	0	1	0	0	0	0	1
20	33	6.24559985	6.44	0	0	1	0	0	0	1
49	79	6.82447894	6.76	1	0	0	0	0	0	1
2	7	3.92883012	3.86	0	0	0	0	0	0	1
40	38	5.98234317	5.88	0	0	0	0	0	0	1
12	17	4.20934371	4.17	0	0	0	0	0	0	1
18	9	7.2623414	7.22	0	0	0	0	1	0	0
14	6	5.23930565	5.29	0	0	1	0	0	0	1
87	53	5.83354028	5.76	0	0	0	0	0	0	1
124	165	5.12802965	5.12	0	0	0	0	0	0	1
0	2	3.81638993	3.87	0	0	0	0	0	0	1
5	3	4.28550507	4.32	0	0	0	0	0	0	1
175	96	6.57691686	6.57	0	0	1	0	0	0	1
4	4	3.77652958	3.84	0	0	1	0	0	0	1
