AA AAPL ABT AEP ALL AMGN AMZN AVP AXP
-0.037313 0 -0.006452 -0.020161 -0.058824 -0.016618 -0.108434 -0.013055 -0.05347
0.013566 0.10084 -0.022078 -0.039781 -0.006098 0.0666 0.265766 -0.017196 0.07726
0.032505 0.041985 -0.091633 -0.05 -0.069018 -0.065238 -0.117438 -0.048452 -0.031285
-0.018519 -0.040293 0.005848 -0.018045 0.003295 -0.069791 -0.060484 0.007072 -0.048443
0.015094 0.01145 -0.010174 0.016845 0.042693 0.006431 0.025751 0.033708 -0.050909
-0.037175 0.037736 0.022026 0.018072 -0.029921 0.056443 0.096234 0.013587 -0.040868
0.011583 -0.036364 -0.017184 -0.014793 -0.016234 -0.020161 0.007634 0.002681 -0.005326
-0.038168 0.086792 -0.011747 -0.043544 -0.036304 -0.002058 0.030303 -0.025401 0.025435
0.009921 -0.045139 0.035661 0.017268 -0.042808 -0.014433 0.040441 -0.050754 0.001305
0.05501 -0.003636 0.032999 0.00463 0.037567 0.030335 0.021201 -0.015896 0.007823
0 -0.018248 -0.016667 0 -0.003448 -0.017259 0.017301 -0.033774 0.023286
0.026071 0.111524 0.018362 0.012289 -0.020761 0.025826 0.061224 0.036474 0.003793
-0.050817 0.043478 -0.022191 0.001517 -0.017668 -0.033233 0.022436 -0.024927 -0.020151
0.026769 -0.012821 0.002837 0.009091 0.066547 0.127083 -0.0721 0.009023 -0.07455
0.011173 0.064935 -0.004243 0.012012 0.016863 0.001848 0.024493 0.037258 0.033333
0.018416 0 -0.017045 0.023739 0.016584 0.019373 0.154163 0.00431 -0.005376
0.025316 -0.027439 0.054913 0.010145 -0.013051 0.042534 -0.131429 -0.02432 0.002703
-0.024691 -0.018809 0.012329 -0.004304 0.001653 -0.00434 0.026316 -0.039589 0.005391
-0.015696 0.108626 -0.015968 0.011182 -0.006469 -0.00959 0.032051 -0.043908 0.021126
0.041152 0.002882 -0.008801 0.001596 0.029232 0 -0.059006 0.035258 0.006301
0.041502 -0.005747 -0.004218 -0.015479 0.003873 -0.009683 -0.085809 0.043929 -0.016907
0.034295 -0.023121 0.025412 -0.005318 0.003601 -0.014222 -0.061372 -0.007092 0.00828
-0.011842 -0.023669 -0.010652 0.006509 0.031522 0.009017 -0.115385 -0.014762 0.013055
