date            abt          sprtn
20010102      -0.006452     -0.028032
20010103      -0.022078      0.050099
20010104      -0.091633     -0.010552
20010105       0.005848     -0.026242
20010108      -0.010174     -0.001918
20010109       0.022026      0.003812
20010110      -0.017184      0.009586
20010111      -0.011747      0.010318
20010112       0.035661     -0.006406
20010116       0.032999      0.006319
20010117      -0.016667      0.002126
20010118       0.018362      0.013915
20010119      -0.022191     -0.004028
20010122       0.002837      0.000268
20010123      -0.004243      0.013032
20010124      -0.017045      0.002867
20010125       0.054913     -0.004977
20010126       0.012329     -0.001886
20010129      -0.015968      0.006805
20010130      -0.008801      0.007008
20010131      -0.004218     -0.005620
20010201       0.025412      0.005461
20010202      -0.010652     -0.017474
20010205       0.018018      0.003587
20010206       0.018131     -0.001514
20010207       0.008268     -0.008408
20010208       0.015349     -0.006235
20010209       0.002278     -0.013336
20010212       0.022727      0.011827
20010213      -0.037172     -0.008652
20010214      -0.005245     -0.002184
20010215       0.011390      0.008124
20010216       0.011470     -0.018905
20010220       0.003505     -0.017357
20010221       0.027327     -0.018508
20010222      -0.001000     -0.001952
20010223      -0.021021     -0.005555
20010226       0.006135      0.017490
20010227      -0.011789     -0.007660
20010228       0.007610     -0.014309
20010301       0.017146      0.001040
20010302      -0.003010     -0.005680
20010305      -0.014291      0.005858
20010306      -0.019400      0.009981
20010307      -0.018534      0.006452
20010308       0.029069      0.002259
20010309      -0.015258     -0.024764
20010312      -0.011935     -0.043181
20010313       0.014622      0.014829
20010314      -0.033417     -0.025842
20010315       0.000000      0.005871
20010316      -0.027658     -0.019624
20010319      -0.005556      0.017627
20010320      -0.032402     -0.024077
20010321       0.016166     -0.017924
20010322      -0.011818     -0.004064
20010323       0.000000      0.019909
20010326       0.017709      0.011282
20010327       0.011977      0.025575
20010328       0.016749     -0.024430
20010329       0.021305     -0.004630
20010330       0.014839      0.010784
20010402      -0.016741     -0.012462
20010403      -0.031897     -0.034393
20010404       0.011354     -0.002901
20010405       0.036760      0.043680
20010406       0.003822     -0.019984
20010409       0.024112      0.008117
20010410       0.000000      0.027066
20010411      -0.025306     -0.002131
20010412      -0.028091      0.015104
20010416       0.019050     -0.003228
20010417       0.012033      0.010282
20010418      -0.004459      0.038890
20010419      -0.024952      0.012551
20010420      -0.013780     -0.008551
20010423      -0.012198     -0.014980
20010424      -0.002470     -0.012161
20010425       0.024308      0.015941
20010426      -0.014283      0.004696
20010427       0.024967      0.015010
20010430       0.008699     -0.002865
20010501      -0.012505      0.013590
20010502      -0.009389      0.000782
20010503       0.009698     -0.014873
20010504       0.017027      0.014440
20010507       0.008800     -0.002447
20010508       0.014894     -0.001828
20010509       0.013836     -0.004488
20010510      -0.005376     -0.000287
20010511       0.024116     -0.007577
20010514       0.011977      0.002609
20010515       0.033099      0.000416
20010516       0.044660      0.028453
20010517      -0.001859      0.002724
20010518      -0.012663      0.002693
20010521       0.004527      0.016154
20010522      -0.005820     -0.002628
20010523      -0.000944     -0.015526
20010524      -0.018148      0.003196
20010525      -0.010397     -0.011816
20010529      -0.000973     -0.007794
20010530       0.002532     -0.015655
20010531       0.009713      0.006202
20010601      -0.006926      0.003862
20010604       0.004262      0.005108
20010605       0.019483      0.012990
20010606      -0.021760     -0.010549
20010607      -0.000967      0.005457
20010608      -0.002517     -0.009397
20010611      -0.021933     -0.008356
20010612       0.006549      0.001164
20010613       0.001183     -0.011347
20010614      -0.005514     -0.017502
20010615       0.001188     -0.004517
20010618       0.010680     -0.004883
20010619       0.003523      0.003434
20010620       0.018916      0.008709
20010621       0.014354      0.011364
20010622      -0.018491     -0.009450
20010625      -0.003076     -0.005509
20010626      -0.007520     -0.001510
20010627      -0.028560     -0.004676
20010628       0.012200      0.012493
20010629      -0.051571     -0.001452
20010702       0.028542      0.010037
20010703      -0.002025     -0.001827
20010705      -0.006698     -0.012321
20010706      -0.033306     -0.023498
20010709       0.012471      0.006879
20010710       0.010438     -0.014398
20010711       0.041116     -0.001134
20010712      -0.023515      0.023691
20010713       0.012245      0.006241
20010716       0.003024     -0.010883
20010717       0.008040      0.009971
20010718       0.027916     -0.005542
20010719       0.000970      0.006053
20010720       0.013178     -0.003432
20010723      -0.016641     -0.016369
20010724      -0.002529     -0.016272
20010725       0.004290      0.016080
20010726       0.006796      0.010449
20010727      -0.005979      0.002402
20010730       0.014552     -0.001078
20010731       0.024861      0.005571
20010801      -0.009144      0.003880
20010802      -0.020716      0.003964
20010803       0.005000     -0.005243
20010806      -0.010524     -0.011422
20010807       0.017018      0.003265
20010808      -0.013691     -0.017328
20010809      -0.005784     -0.000084
20010810       0.013768      0.005687
20010813       0.005165      0.000949
20010814      -0.004948     -0.003828
20010815       0.016447     -0.007339
20010816      -0.003387      0.003090
20010817      -0.012837     -0.016663
20010820       0.013387      0.008124
20010821      -0.004718     -0.012079
20010822       0.003982      0.006956
20010823      -0.012465     -0.002763
20010824       0.004016      0.019654
20010827      -0.008381     -0.004827
20010828      -0.012678     -0.015010
20010829      -0.007782     -0.011115
20010830      -0.013333     -0.017038
20010831      -0.012321      0.004030
20010904       0.018109     -0.000565
20010905       0.020356     -0.001059
20010906      -0.032346     -0.022390
20010907      -0.021217     -0.018637
20010910       0.012883      0.006226
20010917       0.020190     -0.049216
