date           axp           vw            ew            sp
20010904       0.000824     -0.001658     -0.005708     -0.000565
20010905       0.007682     -0.003242     -0.008926     -0.001059
20010906      -0.039477     -0.020733     -0.014187     -0.022390
20010907      -0.019274     -0.017769     -0.011476     -0.018637
20010910       0.011850      0.003513     -0.007368      0.006226
20010917      -0.135961     -0.050714     -0.042398     -0.049216
20010918      -0.094876     -0.008294     -0.009884     -0.005805
20010919      -0.050402     -0.017058     -0.024000     -0.016112
20010920       0.007692     -0.030633     -0.032695     -0.031060
20010921      -0.022519     -0.018607     -0.020146     -0.019034
20010924       0.074190      0.037774      0.033194      0.038983
20010925      -0.021083      0.007596      0.003964      0.008790
20010926       0.012997     -0.006035     -0.009979     -0.005167
20010927       0.006598      0.010699     -0.000605      0.011489
20010928       0.058267      0.022762      0.025098      0.021922
20011001       0.011012     -0.004433     -0.010057     -0.002296
20011002      -0.012934      0.011568      0.007002      0.012306
20011003       0.035172      0.022161      0.020665      0.019927
20011004      -0.035404     -0.000259      0.011085     -0.002471
20011005      -0.037742      0.000417      0.000515      0.001636
20011008      -0.012594     -0.007694     -0.001940     -0.008344
20011009       0.056851     -0.004816     -0.004086     -0.005356
20011010       0.017931      0.023162      0.019419      0.022938
20011011       0.016260      0.017374      0.019492      0.015208
20011012      -0.000333     -0.005378      0.000107     -0.005267
20011015       0.030010     -0.000689      0.002547     -0.001530
20011016       0.013273      0.007846      0.011373      0.006936
20011017      -0.039936     -0.019387     -0.006450     -0.018633
20011018       0.001331     -0.006964     -0.004979     -0.007873
20011019      -0.025590      0.004919      0.004694      0.004557
20011022       0.034106      0.014528      0.008013      0.015296
20011023      -0.001979     -0.004334      0.000496     -0.004698
20011024      -0.008923      0.001009      0.003921      0.000387
20011025       0.022674      0.013803      0.011118      0.013721
20011026       0.001630      0.004246      0.007219      0.004109
20011029      -0.025391     -0.022658     -0.008933     -0.023818
20011030      -0.014028     -0.017209     -0.011457     -0.017166
20011031      -0.003049      0.002245      0.010749     -0.000009
20011101       0.010533      0.020691      0.008796      0.022948
20011102       0.006725      0.002177     -0.000779      0.002860
20011105       0.014362      0.013976      0.008455      0.014386
20011106       0.006256      0.014141      0.007038      0.014526
20011107       0.036649     -0.001912      0.000713     -0.002735
20011108       0.022727      0.001065      0.002989      0.002456
20011109       0.009568      0.000938      0.003391      0.001582
20011112      -0.018954     -0.000559      0.001351     -0.001767
