date           rtn
20010904       0.018476
20010905       0.004767
20010906      -0.005008
20010907      -0.015232
20010910      -0.002018
20010917       0.004717
20010918      -0.004695
20010919       0.004717
20010920      -0.023340
20010921      -0.079797
20010924       0.036716
20010925       0.022171
20010926       0.001831
20010927       0.017855
20010928       0.005387
20011001      -0.005495
20011002       0.012295
20011003      -0.000409
20011004      -0.027986
20011005       0.020927
20011008      -0.006053
20011009       0.004014
20011010       0.011028
20011011      -0.010226
20011012      -0.008954
20011015      -0.011537
20011016      -0.002531
20011017      -0.010574
20011018       0.007163
20011019       0.020626
20011022       0.009756
20011023      -0.013112
20011024      -0.001399
20011025       0.012465
20011026       0.014663
20011029      -0.027948
20011030       0.040673
20011031      -0.005660
20011101       0.029818
20011102       0.000263
20011105       0.012237
20011106       0.013909
20011107       0.001410
20011108      -0.018052
20011109       0.007953
20011112      -0.000517
20011113       0.007636
20011114       0.004752
20011115       0.000767
20011116       0.005748
20011119      -0.000762
20011120      -0.002288
20011121      -0.007643
20011123       0.007060
20011126      -0.003824
20011127      -0.013180
20011128      -0.014523
20011129       0.018947
20011130       0.000258
20011203      -0.014975
20011204       0.000524
20011205       0.004716
20011206      -0.013038
20011207      -0.003567
20011210       0.017102
20011211      -0.000261
20011212       0.042373
20011213       0.011882
20011214      -0.012361
20011217      -0.001252
20011218       0.019799
20011219       0.000983
20011220      -0.005770
20011221      -0.004322
20011224      -0.004712
20011226       0.002990
20011227      -0.004348
20011228      -0.007985
20011231      -0.004779
20020102       0.010995
20020103      -0.009625
20020104      -0.009845
20020107      -0.011472
20020108       0.002708
20020109      -0.007202
20020110      -0.003497
20020111       0.003640
20020114       0.019298
20020115       0.012071
20020116       0.002762
20020117       0.002516
20020118       0.001506
20020122      -0.004887
20020123      -0.010325
20020124      -0.010433
20020125       0.017485
20020128       0.000253
20020129      -0.020718
20020130       0.009933
20020131       0.043301
20020201       0.010896
20020204       0.001574
20020205      -0.000967
20020206      -0.001452
20020207      -0.004485
20020208      -0.000487
20020211      -0.004629
20020212       0.022519
20020213       0.002154
20020214       0.003702
20020215       0.011304
20020219      -0.011648
20020220       0.011905
20020221      -0.022353
20020222       0.030084
20020225       0.020678
20020226      -0.009958
20020227      -0.011561
20020228      -0.008304
20020301       0.032551
20020304      -0.006511
20020305      -0.022074
20020306      -0.000117
20020307      -0.013051
20020308      -0.000238
20020311       0.002145
20020312       0.014031
20020313      -0.000704
20020314      -0.002699
20020315       0.024473
20020318       0.006776
20020319       0.026010
20020320      -0.003780
20020321       0.008929
20020322      -0.003319
20020325      -0.003885
20020326      -0.003343
20020327       0.006372
20020328       0.000778
20020401      -0.001110
20020402       0.006779
20020403      -0.014790
20020404       0.008066
20020405      -0.002000
20020408       0.005011
20020409      -0.001330
20020410       0.024520
20020411      -0.011154
20020412       0.006790
20020415      -0.015011
20020416       0.007178
20020417      -0.007785
20020418      -0.018866
20020419       0.005203
20020422       0.000225
20020423       0.000113
20020424       0.005962
20020425      -0.000112
20020426       0.004250
20020429       0.002227
20020430       0.002889
20020501       0.017062
20020502       0.015686
20020503      -0.013835
20020506       0.002719
20020507      -0.005857
20020508       0.001527
20020509       0.002832
20020510       0.003693
20020513       0.008766
20020514      -0.001717
20020515      -0.009672
20020516       0.008899
20020517       0.006992
20020520      -0.013031
20020521      -0.014069
20020522       0.008782
20020523      -0.005767
20020524      -0.012148
20020528      -0.024928
20020529      -0.011249
20020530       0.019881
20020531       0.009014
20020603       0.001039
20020604       0.007198
20020605       0.011055
20020606      -0.010934
20020607      -0.002345
20020610      -0.001567
20020611      -0.002242
20020612       0.044944
20020613      -0.016344
20020614       0.000765
20020617       0.025669
20020618      -0.000107
20020619       0.005432
20020620      -0.005826
20020621       0.000000
20020624      -0.004795
20020625      -0.047109
20020626       0.023371
20020627       0.012736
20020628      -0.031873
20020701       0.008175
20020702      -0.008331
20020703      -0.010305
20020705       0.017202
20020708       0.005229
20020709      -0.027117
20020710       0.000569
20020711      -0.022740
20020712      -0.026992
20020715      -0.015903
20020716      -0.012758
20020717      -0.009477
20020718       0.003996
20020719      -0.073765
20020722       0.045259
20020723       0.017731
20020724       0.038379
20020725       0.033678
20020726      -0.009645
20020729       0.035867
20020730       0.000688
20020731       0.019592
20020801      -0.012586
20020802       0.022419
20020805      -0.026714
20020806       0.003202
20020807       0.013794
20020808       0.021590
20020809       0.003192
20020812      -0.003182
20020813      -0.008696
20020814       0.031424
20020815      -0.016902
20020816      -0.003614
20020819       0.002857
20020820      -0.011397
20020821       0.007538
20020822      -0.001430
20020823      -0.005619
20020826       0.001662
20020827       0.000111
20020828      -0.007521
20020829      -0.020729
20020830       0.008877
20020903      -0.023801
20020904       0.023342
20020905       0.014566
20020906       0.001113
20020909       0.010006
20020910       0.007155
20020911       0.004153
20020912      -0.007401
20020913       0.008772
20020916       0.010870
20020917      -0.010108
20020918       0.000435
20020919      -0.010641
20020920      -0.000329
20020923      -0.003842
20020924      -0.029755
20020925       0.012040
20020926       0.018519
20020927      -0.028871
20020930       0.014184
20021001       0.020027
20021002      -0.006691
20021003      -0.008282
20021004      -0.014364
20021007       0.004632
20021008       0.004161
20021009      -0.012430
20021010       0.009071
20021011       0.014047
20021014       0.011636
20021015      -0.009530
20021016       0.005419
20021017      -0.001768
20021018       0.015608
20021021       0.004796
20021022      -0.020067
20021023       0.007306
20021024      -0.024176
20021025      -0.001126
20021028      -0.033258
20021029       0.038018
20021030      -0.000786
20021031      -0.005509
20021101      -0.005201
20021104      -0.016934
20021105       0.025896
20021106      -0.009917
20021107       0.001707
20021108      -0.003636
20021111      -0.016422
20021112      -0.009739
20021113       0.004566
20021114       0.007925
20021115       0.009251
20021118      -0.012947
20021119       0.011027
20021120       0.010218
20021121      -0.014320
20021122      -0.001730
20021125      -0.010857
20021126      -0.014246
20021127       0.007226
20021129      -0.005880
20021202      -0.020466
20021203       0.020411
20021204       0.018464
20021205      -0.009529
20021206       0.008448
20021209       0.005003
20021210       0.014703
20021211      -0.002168
20021212       0.002744
20021213      -0.003307
20021216       0.007322
20021217      -0.007382
20021218      -0.000343
20021219      -0.019114
20021220       0.023104
20021223       0.000114
20021224      -0.001825
20021226      -0.001142
20021227      -0.010065
20021230      -0.005199
20021231      -0.001858
20030102       0.021759
