date      dec1     dec2     dec5     dec9    dec10
19610131 0.058011 0.067392 0.081767 0.096754 0.087207
19610228 0.029241 0.042784 0.055524 0.056564 0.060245
19610330 0.025896 0.025474 0.041304 0.060563 0.071875
19610428 0.005667 0.001365 0.00078 0.011911 0.023328
19610531 0.019208 0.036852 0.04959 0.046248 0.050362
19610630 -0.02467 -0.025225 -0.040046 -0.050651 -0.051434
19610731 0.035668 0.027452 0.00937 0.004484 -0.008962
19610831 0.024092 0.041437 0.015614 0.008745 0.011384
19610929 -0.016177 -0.024784 -0.016758 -0.036241 -0.032031
19611031 0.028087 0.028174 0.023155 0.023609 0.027843
19611130 0.048685 0.036955 0.043721 0.052817 0.048427
19611229 0.005025 -0.011093 -0.00404 0.002387 0.002329
19620131 -0.04526 -0.022549 -0.029078 0.007979 0.048003
19620228 0.02362 0.012706 0.015649 0.01248 0.027391
19620330 -0.003898 -0.002686 -0.005748 0.004284 -0.007097
19620430 -0.06129 -0.069647 -0.059029 -0.069243 -0.072758
19620531 -0.078846 -0.085837 -0.10734 -0.100785 -0.108352
19620629 -0.083259 -0.075967 -0.085625 -0.079802 -0.075303
19620731 0.068084 0.060073 0.051869 0.072275 0.077477
19620831 0.020698 0.02718 0.022439 0.036381 0.04777
19620928 -0.044818 -0.058543 -0.059073 -0.07738 -0.073603
19621031 0.012499 -0.00814 -0.017068 -0.055811 -0.059562
19621130 0.099604 0.133502 0.125354 0.129271 0.107458
19621231 0.019592 0.01113 -0.007943 -0.038341 -0.040749
19630131 0.045429 0.055389 0.066401 0.094983 0.104486
19630228 -0.023884 -0.018394 -0.017365 -0.017808 -0.018155
19630329 0.038267 0.032237 0.018539 0.012976 0.001153
19630430 0.052166 0.039321 0.032948 0.017776 0.010118
19630531 0.015735 0.025482 0.036258 0.042853 0.036635
19630628 -0.020691 -0.006069 -0.020601 -0.006799 -0.010582
19630731 0.003275 -0.003159 -0.020085 -0.005376 -0.002477
19630830 0.052318 0.059272 0.044707 0.032852 0.026653
19630930 -0.009125 -0.020792 -0.017719 -0.019807 0.00204
19631031 0.035121 0.019602 0.013527 0.002833 0.007016
19631129 -0.005387 -0.002446 -0.017011 -0.018406 -0.022297
19631231 0.025565 0.019087 0.005644 -0.009151 -0.021819
19640131 0.031144 0.013786 0.007448 0.030904 0.046242
19640228 0.01576 0.018223 0.027548 0.017326 0.028016
19640331 0.012396 0.020256 0.026343 0.030815 0.01953
19640430 0.008592 -0.006305 -0.011836 -0.007332 -0.004249
19640528 0.017664 0.013243 0.012549 -0.008667 0.005094
19640630 0.015844 0.016313 0.016338 0.011585 0.013163
19640731 0.016735 0.034244 0.029591 0.023815 0.037029
19640831 -0.013134 -0.012906 -0.009553 -0.004772 -0.005573
19640930 0.027702 0.031828 0.029679 0.037297 0.050351
19641030 0.00624 0.007968 0.024678 0.021981 0.026918
19641130 0.003817 -0.000464 0.006991 0.007266 -0.002249
19641231 0.007182 -0.000823 -0.007063 -0.015109 -0.01998
19650129 0.03081 0.046427 0.05347 0.05712 0.084762
19650226 -0.003587 0.025498 0.035618 0.018827 0.035896
19650331 -0.015123 -0.00752 0.005503 0.030291 0.024336
19650430 0.034077 0.028259 0.040189 0.032507 0.050321
19650528 -0.002959 -0.009231 -0.000256 -0.021767 -0.002347
19650630 -0.04043 -0.057578 -0.079003 -0.092205 -0.09657
19650730 0.011193 0.024219 0.034897 0.035293 0.026863
19650831 0.024496 0.03427 0.052501 0.043122 0.040087
19650930 0.032489 0.027799 0.03242 0.019904 0.02981
19651029 0.022185 0.033503 0.043739 0.067262 0.074523
19651130 -0.010616 0.012488 0.047903 0.049592 0.059053
19651231 0.006171 0.023643 0.022772 0.05108 0.049598
19660131 -0.001079 0.018601 0.032516 0.057475 0.085423
19660228 -0.016176 -0.011238 0.006879 0.043811 0.048119
19660331 -0.02382 -0.007018 -0.026027 -0.021543 -0.002481
19660429 0.019589 0.021322 0.044579 0.053058 0.054574
19660531 -0.042101 -0.058315 -0.070124 -0.092825 -0.110102
19660630 -0.015246 -0.004762 -0.00579 0.002304 -0.00557
19660729 -0.012703 -0.008649 -0.010825 -0.016103 -0.01978
19660831 -0.067081 -0.081761 -0.086849 -0.099178 -0.118895
19660930 -0.002101 -0.012696 -0.018871 -0.017207 -0.022673
19661031 0.054016 0.050185 0.018352 -0.0282 -0.052977
19661130 0.008646 0.022892 0.033457 0.053044 0.042278
19661230 -0.004802 0.019891 0.017467 0.020857 0.019079
19670131 0.068568 0.080373 0.152216 0.180843 0.211806
19670228 0.008735 0.011044 0.014809 0.048767 0.064911
19670331 0.039698 0.035364 0.051478 0.067494 0.068904
19670428 0.04403 0.037541 0.038164 0.040785 0.044602
19670531 -0.050631 -0.036233 -0.005738 -0.002191 0.000295
19670630 0.014998 0.01887 0.057569 0.102075 0.118678
19670731 0.041034 0.051373 0.059991 0.089876 0.1048
19670831 -0.008704 -0.003777 -0.000423 -0.004674 0.011887
19670929 0.03492 0.021973 0.040354 0.073676 0.088675
19671031 -0.017631 -0.053763 -0.033172 -0.030405 -0.007511
19671130 0.007657 0.001845 0.008903 0.012547 -0.012048
19671229 0.02325 0.033111 0.049507 0.101914 0.112981
19680131 -0.046267 -0.040359 -0.01887 0.007135 0.076514
19680229 -0.024984 -0.032197 -0.046723 -0.055084 -0.075146
19680329 0.012511 -0.003027 0.001843 -0.015568 -0.016972
19680430 0.080396 0.085935 0.121345 0.161241 0.170134
19680531 0.011076 0.028609 0.073687 0.096214 0.13855
19680628 0.007917 0.023493 0.015238 0.003688 0.013114
19680730 -0.015339 -0.022999 -0.048454 -0.038548 -0.020943
19680830 0.013173 0.016034 0.025587 0.042423 0.047302
19680930 0.031751 0.053948 0.048021 0.066513 0.070898
19681031 0.00741 0.016422 0.025906 -0.00967 0.0041
19681129 0.047482 0.066408 0.075815 0.070788 0.072423
19681231 -0.044984 -0.029151 -0.013146 0.010592 0.033044
19690131 -0.008208 -0.000299 -0.020841 -0.019187 0.004643
19690228 -0.037417 -0.065761 -0.070136 -0.095074 -0.103165
19690328 0.041346 0.011199 0.008464 0.030027 0.018273
19690430 0.024883 0.018685 0.015238 -0.003889 -0.004934
19690529 0.006649 -0.001651 0.00606 0.003673 0.011502
19690630 -0.048659 -0.069702 -0.104041 -0.128577 -0.132533
19690731 -0.056311 -0.063499 -0.081753 -0.111659 -0.117458
19690829 0.050951 0.03982 0.066671 0.054845 0.041077
19690930 -0.030304 -0.00765 -0.011879 -0.033037 -0.031771
19691031 0.041143 0.071243 0.084518 0.09676 0.112035
19691128 -0.026198 -0.036227 -0.049312 -0.072298 -0.070327
19691231 -0.010351 -0.023517 -0.022934 -0.068192 -0.089239
19700130 -0.080692 -0.068004 -0.058264 -0.043693 -0.009592
19700227 0.056258 0.07707 0.054954 0.040517 0.025837
19700331 0.001078 -0.011366 -0.016616 -0.036098 -0.035673
19700430 -0.084833 -0.10964 -0.14725 -0.177406 -0.187493
19700529 -0.048462 -0.07401 -0.102908 -0.101702 -0.094647
19700630 -0.048952 -0.047306 -0.066446 -0.08531 -0.087369
19700731 0.073319 0.07313 0.065855 0.057671 0.040341
19700831 0.044079 0.055228 0.071947 0.06375 0.058201
19700930 0.029107 0.042906 0.09964 0.137416 0.163561
19701030 -0.004906 -0.024022 -0.042688 -0.068092 -0.079411
19701130 0.054586 0.060109 0.035799 0.002067 -0.031902
19701231 0.050112 0.068955 0.081347 0.093818 0.094088
19710129 0.034885 0.053614 0.095505 0.131944 0.182548
19710226 0.013189 0.015037 0.018036 0.047367 0.068243
19710331 0.041144 0.035396 0.047222 0.046002 0.063385
19710430 0.034221 0.038489 0.04736 0.029759 0.01949
19710528 -0.037548 -0.029219 -0.039358 -0.062733 -0.06478
19710630 0.006808 -0.00051 -0.013048 -0.027439 -0.030383
19710730 -0.038081 -0.037829 -0.057425 -0.065584 -0.06669
19710831 0.039668 0.038182 0.06418 0.05491 0.030787
19710930 -0.004516 -0.00809 -0.000638 0.000195 -2.8e-05
19711029 -0.032954 -0.054115 -0.054749 -0.062275 -0.068634
19711130 0.009671 -0.010698 -0.02662 -0.044812 -0.054719
19711231 0.079864 0.095033 0.111563 0.132976 0.126949
19720131 0.016369 0.028511 0.043855 0.111935 0.152311
19720229 0.030204 0.029931 0.040274 0.032985 0.042728
19720330 0.012325 -0.002066 0.003607 -0.004181 -0.00819
19720428 0.007168 0.008691 -0.000285 -0.001257 0.001503
19720531 0.027161 0.007478 0.002152 -0.025637 -0.033376
19720630 -0.014936 -0.03071 -0.018578 -0.036085 -0.040016
19720731 0.009158 -0.020557 -0.024705 -0.051803 -0.036376
19720831 0.037061 0.050653 0.024893 -0.004622 -0.001045
19720929 0.001613 -0.019101 -0.024922 -0.042264 -0.043812
19721031 0.014394 0.011725 -0.009307 -0.023347 -0.033214
19721130 0.040127 0.065779 0.056611 0.052936 0.042128
19721229 0.022182 -0.004857 -0.006384 -0.020323 -0.03189
19730131 -0.004979 -0.072329 -0.069163 -0.05205 -0.033162
19730228 -0.031568 -0.048032 -0.082459 -0.085564 -0.084468
19730330 0.002759 -0.016991 -0.031967 -0.028426 -0.030544
19730430 -0.038118 -0.056069 -0.071259 -0.081071 -0.085084
19730531 -0.006239 -0.019389 -0.066678 -0.096901 -0.104067
19730629 0.001023 -0.027391 -0.031986 -0.043801 -0.044644
19730731 0.03358 0.075324 0.098315 0.145697 0.150538
19730831 -0.034154 -0.012549 -0.030463 -0.055687 -0.073051
19730928 0.028717 0.090222 0.114051 0.105907 0.076823
19731031 0.004062 -0.02148 -0.006534 -0.008499 0.001446
19731130 -0.098924 -0.13566 -0.173255 -0.206715 -0.199853
19731231 0.015834 0.010668 0.003429 -0.029664 -0.062624
19740131 -0.021841 0.025216 0.074334 0.178253 0.202554
19740228 -0.001581 0.012267 0.010829 -0.00598 -0.008725
19740329 -0.022258 -0.031543 -0.018158 -0.001827 0.011522
19740430 -0.034169 -0.064395 -0.056497 -0.059521 -0.062462
19740531 -0.018382 -0.068651 -0.076697 -0.079307 -0.079801
19740628 -0.013298 -0.030279 -0.034713 -0.029587 -0.026679
19740731 -0.086102 -0.050734 -0.018124 -0.048179 -0.054411
19740830 -0.082207 -0.102441 -0.08281 -0.087674 -0.0824
19740930 -0.124626 -0.076541 -0.079639 -0.082329 -0.078183
19741031 0.173961 0.176748 0.143744 0.092736 0.077082
19741129 -0.047427 -0.019068 -0.024919 -0.053914 -0.072223
19741231 -0.018764 -0.019956 -0.054913 -0.089879 -0.099849
19750131 0.102644 0.174092 0.253248 0.335371 0.402605
19750228 0.068822 0.045027 0.056645 0.039284 0.025067
19750331 0.01678 0.034792 0.067473 0.099781 0.126137
19750430 0.049074 0.03937 0.049411 0.045726 0.014451
19750530 0.054235 0.049397 0.056989 0.073342 0.073454
19750630 0.040561 0.080278 0.057136 0.075801 0.101392
19750731 -0.068987 -0.059034 -0.041202 -0.033234 0.008975
19750829 -0.015699 -0.019284 -0.033207 -0.065993 -0.071067
19750930 -0.035695 -0.032386 -0.037513 -0.034944 -0.035721
19751031 0.065669 0.059346 0.031124 0.02183 -0.004053
19751128 0.029495 0.02965 0.03947 0.027153 0.02453
