Date  Hour Minute Second Price Volume 
20100608 5 5 5 10.6 700
20100608 5 8 11 10.57 500
20100608 5 8 21 10.57 200
20100608 5 8 35 10.6 300
20100608 5 20 49 10.6 490
20100608 7 18 38 10.62 700
20100608 7 44 38 10.62 100
20100608 7 44 38 10.62 700
20100608 8 1 10 10.6 1000
20100608 8 1 10 10.6 1000
20100608 8 1 10 10.6 500
20100608 8 1 10 10.6 1000
20100608 8 1 10 10.6 300
20100608 8 1 11 10.6 300
20100608 8 1 23 10.62 999
20100608 8 2 15 10.61 200
20100608 8 2 53 10.6 200
20100608 8 3 34 10.6 100
20100608 8 7 13 10.6 1475
20100608 8 7 13 10.6 645
20100608 8 10 56 10.58 200
20100608 8 10 56 10.58 100
20100608 8 11 8 10.58 200
20100608 8 11 13 10.6 200
20100608 8 11 13 10.6 200
20100608 8 12 20 10.62 500
20100608 8 12 20 10.62 400
20100608 8 14 13 10.56 500
20100608 8 14 13 10.56 200
20100608 8 14 13 10.56 300
20100608 8 15 3 10.56 200
20100608 8 16 20 10.62 1000
20100608 8 17 34 10.63 100
20100608 8 18 6 10.65 980
20100608 8 19 27 10.58 100
20100608 8 19 34 10.58 300
20100608 8 31 29 10.64 200
20100608 8 33 31 10.64 100
20100608 8 33 31 10.64 900
20100608 8 33 40 10.64 180
20100608 8 36 8 10.65 430
20100608 8 37 0 10.65 300
20100608 8 37 45 10.65 100
20100608 8 41 25 10.64 1188
20100608 8 41 29 10.64 300
20100608 8 41 31 10.64 200
20100608 8 42 6 10.64 3712
20100608 8 44 32 10.6 100
20100608 8 44 37 10.6 800
20100608 8 44 39 10.59 200
20100608 8 44 47 10.59 370
20100608 8 44 47 10.6 1200
20100608 8 44 47 10.61 300
20100608 8 44 47 10.61 100
20100608 8 46 30 10.58 500
20100608 8 46 30 10.58 500
20100608 8 46 38 10.58 500
20100608 8 47 5 10.6 100
20100608 8 47 5 10.6 100
20100608 8 47 5 10.6 100
20100608 8 47 5 10.6 100
20100608 8 48 21 10.6 500
20100608 8 49 13 10.6 100
20100608 8 49 17 10.6 400
20100608 8 49 25 10.6 200
20100608 8 49 45 10.6 100
20100608 8 50 10 10.6 500
20100608 8 50 16 10.6 200
20100608 8 52 7 10.61 1500
20100608 8 52 7 10.6 600
20100608 8 52 15 10.6 100
20100608 8 52 47 10.6 200
20100608 8 53 21 10.6 200
20100608 8 53 22 10.6 100
20100608 8 53 32 10.6 1000
20100608 8 53 37 10.6 200
20100608 8 54 7 10.6 300
20100608 8 54 20 10.6 200
20100608 8 55 48 10.61 200
20100608 8 56 32 10.6 700
20100608 8 56 56 10.6 944
20100608 8 57 0 10.61 135
20100608 8 57 13 10.61 100
20100608 8 57 22 10.62 200
20100608 8 58 2 10.61 709
20100608 9 0 37 10.6 100
20100608 9 3 3 10.61 1451
20100608 9 4 21 10.61 1005
20100608 9 6 21 10.6 1210
20100608 9 6 21 10.6 200
20100608 9 6 52 10.6 100
20100608 9 8 48 10.6 400
20100608 9 12 7 10.6 117
20100608 9 12 7 10.6 383
20100608 9 12 21 10.6 117
20100608 9 12 22 10.61 400
20100608 9 13 29 10.6 200
20100608 9 14 33 10.61 200
20100608 9 14 33 10.61 600
20100608 9 14 46 10.61 150
20100608 9 14 46 10.61 510
20100608 9 14 47 10.61 2000
20100608 9 16 15 10.61 970
20100608 9 17 27 10.61 130
20100608 9 18 25 10.61 142
20100608 9 18 25 10.61 300
20100608 9 18 25 10.61 1200
20100608 9 19 46 10.61 100
20100608 9 20 1 10.61 500
20100608 9 20 31 10.62 300
20100608 9 20 31 10.62 500
20100608 9 21 49 10.63 300
20100608 9 23 24 10.63 1000
20100608 9 23 24 10.63 300
20100608 9 23 41 10.61 1000
20100608 9 24 56 10.63 600
20100608 9 24 56 10.63 600
20100608 9 24 56 10.63 258
20100608 9 24 56 10.63 600
20100608 9 24 56 10.63 200
20100608 9 24 56 10.63 342
20100608 9 24 56 10.65 470
20100608 9 25 3 10.63 600
20100608 9 25 7 10.63 600
20100608 9 25 10 10.63 600
20100608 9 25 14 10.63 600
20100608 9 25 19 10.63 458
20100608 9 27 43 10.6 200
20100608 9 28 15 10.57 600
20100608 9 28 15 10.57 600
20100608 9 28 15 10.57 600
20100608 9 28 15 10.57 600
20100608 9 28 15 10.56 100
20100608 9 28 15 10.54 100
20100608 9 29 17 10.55 100
20100608 9 29 17 10.54 100
20100608 9 29 30 10.54 900
20100608 9 29 30 10.54 1000
20100608 9 29 30 10.54 200
20100608 9 29 30 10.54 1400
20100608 9 29 30 10.54 405
20100608 9 29 36 10.55 300
20100608 9 30 0 10.55 100
20100608 9 30 0 10.54 100
20100608 9 30 0 10.55 10870
20100608 9 30 0 10.55 10870
20100608 9 30 0 10.53 100
20100608 9 30 0 10.53 125
20100608 9 30 0 10.53 100
20100608 9 30 0 10.53 100
20100608 9 30 0 10.53 100
20100608 9 30 0 10.53 100
20100608 9 30 0 10.53 100
20100608 9 30 0 10.53 100
20100608 9 30 0 10.55 100
20100608 9 30 0 10.53 300
20100608 9 30 0 10.53 100
20100608 9 30 0 10.53 200
20100608 9 30 0 10.53 200
20100608 9 30 1 10.54 100
20100608 9 30 1 10.53 100
20100608 9 30 1 10.54 100
20100608 9 30 1 10.53 100
20100608 9 30 2 10.53 100
20100608 9 30 2 10.54 200
20100608 9 30 2 10.54 200
20100608 9 30 2 10.53 100
20100608 9 30 2 10.53 100
20100608 9 30 2 10.53 200
20100608 9 30 2 10.53 200
20100608 9 30 2 10.53 100
20100608 9 30 2 10.53 100
20100608 9 30 3 10.53 100
20100608 9 30 3 10.53 200
20100608 9 30 3 10.53 100
20100608 9 30 4 10.53 141500
20100608 9 30 4 10.53 150
20100608 9 30 5 10.53 100
20100608 9 30 5 10.54 100
20100608 9 30 5 10.54 100
20100608 9 30 5 10.54 100
20100608 9 30 5 10.54 100
20100608 9 30 5 10.54 200
20100608 9 30 5 10.55 100
20100608 9 30 5 10.55 100
20100608 9 30 5 10.55 400
20100608 9 30 5 10.55 100
20100608 9 30 5 10.55 200
20100608 9 30 5 10.55 100
20100608 9 30 6 10.55 100
20100608 9 30 6 10.55 100
20100608 9 30 6 10.55 100
20100608 9 30 6 10.53 18000
20100608 9 30 6 10.55 500
20100608 9 30 6 10.55 100
20100608 9 30 6 10.55 100
20100608 9 30 6 10.53 2500
20100608 9 30 6 10.53 500
20100608 9 30 6 10.53 1500
20100608 9 30 6 10.56 100
20100608 9 30 7 10.53 1000
20100608 9 30 7 10.53 600
20100608 9 30 7 10.53 100
20100608 9 30 7 10.53 200
20100608 9 30 7 10.53 500
20100608 9 30 7 10.53 200
20100608 9 30 7 10.53 100
20100608 9 30 7 10.53 2000
20100608 9 30 7 10.53 1000
20100608 9 30 7 10.53 150
20100608 9 30 8 10.54 100
20100608 9 30 8 10.54 100
20100608 9 30 8 10.53 100
20100608 9 30 9 10.53 100
20100608 9 30 9 10.53 100
20100608 9 30 9 10.53 100
20100608 9 30 9 10.53 100
20100608 9 30 9 10.53 127
20100608 9 30 9 10.53 200
20100608 9 30 9 10.53 100
20100608 9 30 9 10.53 200
20100608 9 30 9 10.52 100
20100608 9 30 10 10.53 200
20100608 9 30 10 10.53 100
20100608 9 30 10 10.53 200
20100608 9 30 11 10.53 100
20100608 9 30 11 10.53 100
20100608 9 30 11 10.53 100
20100608 9 30 11 10.548 1000
20100608 9 30 12 10.54 100
20100608 9 30 12 10.54 100
20100608 9 30 12 10.54 100
20100608 9 30 12 10.54 100
20100608 9 30 12 10.54 100
20100608 9 30 12 10.54 200
20100608 9 30 12 10.54 100
20100608 9 30 12 10.54 100
20100608 9 30 12 10.54 700
20100608 9 30 12 10.54 200
20100608 9 30 12 10.54 100
20100608 9 30 12 10.54 100
20100608 9 30 13 10.54 200
20100608 9 30 13 10.54 100
20100608 9 30 13 10.54 300
20100608 9 30 14 10.53 400
20100608 9 30 14 10.5399 500
20100608 9 30 15 10.54 100
20100608 9 30 15 10.54 200
20100608 9 30 15 10.54 168
20100608 9 30 15 10.54 100
20100608 9 30 15 10.54 132
20100608 9 30 15 10.54 1000
20100608 9 30 15 10.53 100
20100608 9 30 15 10.53 100
20100608 9 30 15 10.53 300
20100608 9 30 15 10.53 100
20100608 9 30 15 10.53 100
20100608 9 30 15 10.53 100
20100608 9 30 15 10.53 1200
20100608 9 30 16 10.53 100
20100608 9 30 17 10.54 100
20100608 9 30 20 10.53 200
20100608 9 30 21 10.54 200
20100608 9 30 21 10.54 100
20100608 9 30 21 10.54 100
20100608 9 30 21 10.54 100
20100608 9 30 21 10.54 100
20100608 9 30 21 10.54 200
20100608 9 30 21 10.54 100
20100608 9 30 21 10.54 100
20100608 9 30 21 10.54 100
20100608 9 30 22 10.54 100
20100608 9 30 22 10.54 100
20100608 9 30 22 10.54 100
20100608 9 30 22 10.54 100
20100608 9 30 23 10.54 200
20100608 9 30 25 10.54 100
20100608 9 30 25 10.54 100
20100608 9 30 25 10.54 200
20100608 9 30 25 10.54 200
20100608 9 30 25 10.54 200
20100608 9 30 25 10.54 200
20100608 9 30 25 10.5399 200
20100608 9 30 27 10.55 1000
20100608 9 30 27 10.55 500
20100608 9 30 28 10.55 500
20100608 9 30 28 10.55 500
20100608 9 30 28 10.55 500
20100608 9 30 29 10.55 500
20100608 9 30 29 10.55 200
20100608 9 30 29 10.55 300
20100608 9 30 29 10.55 2000
20100608 9 30 30 10.55 100
20100608 9 30 30 10.54 600
20100608 9 30 30 10.55 1000
20100608 9 30 31 10.55 100
20100608 9 30 31 10.55 1000
20100608 9 30 35 10.55 1000
20100608 9 30 36 10.54 600
20100608 9 30 36 10.55 100
20100608 9 30 36 10.55 100
20100608 9 30 37 10.55 100
20100608 9 30 37 10.55 100
20100608 9 30 37 10.5399 1000
20100608 9 30 38 10.5499 5300
20100608 9 30 39 10.5421 100
20100608 9 30 39 10.54 100
20100608 9 30 41 10.5484 600
20100608 9 30 42 10.55 100
20100608 9 30 42 10.55 200
20100608 9 30 42 10.55 100
20100608 9 30 43 10.55 10000
20100608 9 30 45 10.5499 2200
20100608 9 30 46 10.55 100
20100608 9 30 46 10.5499 500
20100608 9 30 52 10.55 100
20100608 9 30 52 10.55 100
20100608 9 30 52 10.55 700
20100608 9 30 52 10.5499 700
20100608 9 30 53 10.56 100
20100608 9 30 53 10.56 100
20100608 9 30 53 10.56 100
20100608 9 30 53 10.56 100
20100608 9 30 53 10.56 100
20100608 9 30 53 10.56 100
20100608 9 30 53 10.56 100
20100608 9 30 53 10.56 100
20100608 9 30 53 10.56 100
20100608 9 30 53 10.56 400
20100608 9 30 53 10.5599 100
20100608 9 30 53 10.5599 100
20100608 9 30 53 10.57 100
20100608 9 30 53 10.57 100
20100608 9 30 53 10.57 600
20100608 9 30 56 10.5685 293
20100608 9 30 57 10.5688 100
20100608 9 30 59 10.57 200
20100608 9 30 59 10.57 400
20100608 9 30 59 10.57 300
20100608 9 30 59 10.57 2900
20100608 9 31 0 10.57 100
20100608 9 31 0 10.57 500
20100608 9 31 1 10.57 100
20100608 9 31 1 10.57 100
20100608 9 31 1 10.57 100
20100608 9 31 1 10.57 100
20100608 9 31 2 10.57 100
20100608 9 31 2 10.57 100
20100608 9 31 2 10.57 400
20100608 9 31 2 10.57 244
20100608 9 31 2 10.57 400
20100608 9 31 2 10.57 200
20100608 9 31 2 10.57 5600
20100608 9 31 2 10.57 100
20100608 9 31 2 10.57 244
20100608 9 31 2 10.57 156
20100608 9 31 2 10.57 2800
20100608 9 31 2 10.5699 156
20100608 9 31 2 10.57 400
20100608 9 31 2 10.57 356
20100608 9 31 2 10.58 100
20100608 9 31 3 10.58 100
20100608 9 31 3 10.5699 344
20100608 9 31 3 10.58 100
20100608 9 31 3 10.588 100
20100608 9 31 3 10.5892 100
20100608 9 31 3 10.5898 100
20100608 9 31 3 10.5898 100
20100608 9 31 3 10.59 100
20100608 9 31 3 10.59 100
20100608 9 31 3 10.59 1000
20100608 9 31 4 10.59 100
20100608 9 31 4 10.59 100
20100608 9 31 7 10.59 920
20100608 9 31 11 10.588 100
20100608 9 31 11 10.59 100
20100608 9 31 11 10.59 100
20100608 9 31 11 10.59 100
20100608 9 31 11 10.59 200
20100608 9 31 11 10.59 500
20100608 9 31 12 10.59 100
20100608 9 31 12 10.59 400
20100608 9 31 12 10.59 400
20100608 9 31 13 10.59 300
20100608 9 31 15 10.59 800
20100608 9 31 15 10.6 4200
20100608 9 31 15 10.6 100
20100608 9 31 15 10.6 100
20100608 9 31 16 10.6 950
20100608 9 31 16 10.5901 100
20100608 9 31 17 10.582 100
20100608 9 31 17 10.6 400
20100608 9 31 17 10.6 200
20100608 9 31 17 10.6 100
20100608 9 31 17 10.6 100
20100608 9 31 18 10.6 250
