Year,Rain0,Temp1,Rain1,Temp2,Rain2,Temp3,Rain3,Temp4,Yield
1930,17.75,60.2,5.83,69,1.49,77.9,2.42,74.4,34
1931,14.76,57.5,3.83,75,2.72,77.2,3.3,72.6,32.9
1932,27.99,62.3,5.17,72,3.12,75.8,7.1,72.2,43
1933,16.76,60.5,1.64,77.8,3.45,76.4,3.01,70.5,40
1934,11.36,69.5,3.49,77.2,3.85,79.7,2.84,73.4,23
1935,22.71,55,7,65.9,3.35,79.4,2.42,73.6,38.4
1936,17.91,66.2,2.85,70.1,0.51,83.4,3.48,79.2,20
1937,23.31,61.8,3.8,69,2.63,75.9,3.99,77.8,44.6
1938,18.53,59.5,4.67,69.2,4.24,76.5,3.82,75.7,46.3
1939,18.56,66.4,5.32,71.4,3.15,76.2,4.72,70.7,52.2
1940,12.45,58.4,3.56,71.3,4.57,76.7,6.44,70.7,52.3
1941,16.05,66,6.2,70,2.24,75.1,1.94,75.1,51
1942,27.1,59.3,5.93,69.7,4.89,74.3,3.17,72.2,59.9
1943,19.05,57.5,6.16,71.6,4.56,75.4,5.07,74,54.7
1944,20.79,64.6,5.88,71.7,3.73,72.6,5.88,71.8,52
1945,21.88,55.1,4.7,64.1,2.96,72.1,3.43,72.5,43.5
1946,20.02,56.5,6.41,69.8,2.45,73.8,3.56,68.9,56.7
1947,23.17,55.6,10.39,66.3,1.72,72.8,1.49,80.6,30.5
1948,19.15,59.2,3.42,68.6,4.14,75,2.54,73.9,60.5
1949,18.28,63.5,5.51,72.4,3.47,76.2,2.34,73,46.1
1950,18.45,59.8,5.7,68.4,4.65,69.7,2.39,67.7,48.2
1951,22,62.2,6.11,65.2,4.45,72.1,6.21,70.5,43.1
1952,19.05,59.6,5.4,74.2,3.84,74.7,4.78,70,62.2
1953,15.67,60,5.31,73.2,3.28,74.6,2.33,73.2,52.9
1954,15.92,55.6,6.36,72.9,1.79,77.4,7.1,72.1,53.9
1955,16.75,63.6,3.07,67.2,3.29,79.8,1.79,77.2,48.4
1956,12.34,62.4,2.56,74.7,4.51,72.7,4.42,73,52.8
1957,15.82,59,4.84,68.9,3.54,77.9,3.76,72.9,62.1
1958,15.24,62.5,3.8,66.4,7.55,70.5,2.55,73,66
1959,21.72,62.8,4.11,71.5,2.29,72.3,4.92,76.3,64.2
1960,25.08,59.7,4.43,67.4,2.76,72.6,5.36,73.2,63.2
1961,17.79,57.4,3.36,69.4,5.51,72.6,3.04,72.4,75.4
1962,26.61,66.6,3.12,69.1,6.27,71.6,4.31,72.5,76
