Price,Floor,Block,Rooms,Age,CentralHeating
52.00,111.00,830,5,6.20,no
54.75,128.00,710,5,7.50,no
57.50,101.00,1000,5,4.20,no
57.50,131.00,690,6,8.80,no
59.75,93.00,900,5,1.90,yes
62.50,112.00,640,6,5.20,no
64.75,137.60,700,6,6.60,yes
67.25,148.50,740,6,2.30,no
67.50,113.50,660,6,6.10,no
69.75,152.00,645,7,9.20,no
70.00,121.50,730,5,4.30,yes
75.50,141.00,730,7,4.30,no
77.50,124.00,670,6,1.00,yes
77.50,153.50,795,7,7.00,yes
81.25,149.00,900,6,3.60,yes
82.50,135.00,810,6,1.70,yes
86.25,162.00,930,6,1.20,yes
87.50,145.00,825,6,0.00,yes
88.00,172.00,950,7,2.30,yes
92.00,170.50,870,7,0.70,yes
