"","d","s","y","spp"
"1",9,0.0217509,0,"balsam fir"
"2",14,0.0217509,0,"balsam fir"
"3",18,0.0217509,0,"balsam fir"
"4",23,0.0217509,0,"balsam fir"
"5",9,0.0217509,0,"balsam fir"
"6",16,0.0217509,0,"balsam fir"
"7",10,0.0217509,0,"red pine"
"8",5,0.024212,0,"balsam fir"
"9",6,0.024212,0,"balsam fir"
"10",9,0.024212,0,"balsam fir"
"11",6,0.024212,0,"balsam fir"
"12",9,0.024212,0,"balsam fir"
"13",21,0.024212,0,"balsam fir"
"14",12,0.024212,0,"balsam fir"
"15",13,0.024212,0,"balsam fir"
"16",14,0.024212,0,"balsam fir"
"17",6,0.024212,0,"balsam fir"
"18",9,0.024212,0,"black spruce"
"19",7,0.0278677,0,"balsam fir"
"20",5,0.0278677,0,"balsam fir"
"21",6,0.0278677,0,"balsam fir"
"22",6,0.0278677,0,"balsam fir"
"23",28,0.0278677,0,"jackpine"
"24",6,0.0278677,0,"jackpine"
"25",11,0.0305947,0,"black spruce"
"26",9,0.0305947,0,"black spruce"
"27",35,0.0305947,0,"jackpine"
"28",21,0.0305947,0,"jackpine"
"29",20,0.0305947,0,"jackpine"
"30",25,0.0305947,0,"jackpine"
"31",34,0.0305947,0,"jackpine"
"32",18,0.0305947,0,"jackpine"
"33",14,0.0305947,0,"jackpine"
"34",25,0.0305947,0,"jackpine"
"35",25,0.0305947,0,"jackpine"
"36",28,0.0305947,0,"jackpine"
"37",19,0.0305947,0,"jackpine"
"38",10,0.0305947,0,"red pine"
"39",15,0.0323448,0,"balsam fir"
"40",9,0.0323448,0,"balsam fir"
"41",9,0.0323448,0,"balsam fir"
"42",15,0.0323448,0,"balsam fir"
"43",10,0.0323448,0,"balsam fir"
"44",10,0.0323448,0,"balsam fir"
"45",16,0.0323448,0,"balsam fir"
"46",25,0.0323448,0,"jackpine"
"47",16,0.0323448,0,"jackpine"
"48",19,0.0323448,0,"jackpine"
"49",26,0.0323448,0,"jackpine"
"50",31,0.0323448,0,"jackpine"
"51",9,0.0341815,0,"black spruce"
"52",5,0.0341815,0,"black spruce"
"53",8,0.0341815,0,"black spruce"
"54",8,0.0341815,0,"black spruce"
"55",6,0.0341815,0,"black spruce"
"56",8,0.0341815,0,"black spruce"
"57",5,0.0341815,0,"black spruce"
"58",33,0.0341815,0,"jackpine"
"59",19,0.0341815,0,"jackpine"
"60",37,0.0341815,0,"paper birch"
"61",22,0.0345653,0,"black spruce"
"62",20,0.0345653,0,"red pine"
"63",24,0.037267,1,"aspen"
"64",10,0.037267,0,"red maple"
"65",10,0.037267,1,"red maple"
"66",5,0.0398276,0,"jackpine"
"67",25,0.0398276,1,"jackpine"
"68",5,0.0398276,0,"jackpine"
"69",16,0.0398276,0,"jackpine"
"70",14,0.0398276,0,"jackpine"
"71",16,0.0398276,0,"jackpine"
"72",12,0.0398276,0,"jackpine"
"73",7,0.0398276,0,"red pine"
"74",6,0.0398276,0,"red pine"
"75",6,0.0398276,0,"red pine"
"76",8,0.0398276,0,"red pine"
"77",6,0.0461334,0,"black spruce"
"78",13,0.0479708,0,"cedar"
"79",20,0.0479708,0,"jackpine"
"80",22,0.0479708,0,"jackpine"
"81",27,0.0479708,0,"jackpine"
"82",8,0.0514511,0,"black spruce"
"83",22,0.0514511,0,"jackpine"
"84",21,0.0514511,0,"jackpine"
"85",12,0.0514511,0,"red pine"
"86",15.5,0.0521484,0,"red pine"
"87",17,0.0521484,0,"red pine"
"88",15,0.0521484,0,"red pine"
"89",16,0.0521484,0,"red pine"
"90",21,0.0525153,0,"cedar"
"91",26,0.0525153,0,"cedar"
"92",38,0.0525153,0,"jackpine"
"93",31,0.0536769,1,"black ash"
"94",17,0.054777,0,"aspen"
"95",12,0.054777,0,"aspen"
"96",8,0.054777,0,"black spruce"
"97",9,0.054777,0,"black spruce"
"98",10,0.054777,0,"black spruce"
"99",14,0.054777,0,"red pine"
"100",7,0.0552361,0,"black spruce"
"101",22,0.0563668,0,"aspen"
"102",45,0.0563668,0,"black ash"
"103",14,0.0571445,1,"paper birch"
"104",30,0.0571445,1,"paper birch"
"105",30,0.0571445,1,"paper birch"
"106",16,0.0571445,1,"paper birch"
"107",13,0.0571445,1,"red pine"
"108",14,0.0571646,1,"paper birch"
"109",18,0.0571646,1,"paper birch"
"110",17,0.0571646,1,"paper birch"
"111",14,0.0571646,1,"paper birch"
"112",14,0.0571646,1,"paper birch"
"113",13,0.0571646,1,"paper birch"
"114",18,0.0571646,1,"paper birch"
"115",14,0.0575282,0,"black spruce"
"116",15,0.0575282,0,"black spruce"
"117",17,0.0575282,0,"black spruce"
"118",12,0.0575282,0,"black spruce"
"119",14,0.0575282,0,"red pine"
"120",10.5,0.0575282,0,"red pine"
"121",11.5,0.0575282,0,"red pine"
"122",21,0.0575282,0,"red pine"
"123",19,0.0575282,0,"red pine"
"124",19,0.0597874,0,"cedar"
"125",6,0.0649814,0,"cedar"
"126",8,0.0649814,0,"cedar"
"127",9,0.0649814,0,"cedar"
"128",18,0.0649814,0,"cedar"
"129",10,0.0649814,0,"cedar"
"130",13,0.0649814,0,"cedar"
"131",11,0.0649814,0,"cedar"
"132",10,0.0649814,0,"cedar"
"133",34,0.0649814,0,"black ash"
"134",15,0.0662406,1,"cedar"
"135",22,0.0662406,1,"paper birch"
"136",20,0.0662406,1,"paper birch"
"137",23,0.0662406,0,"paper birch"
"138",24.5,0.0662406,0,"paper birch"
"139",20,0.0678602,0,"cedar"
"140",34,0.0678602,0,"cedar"
"141",12,0.0678602,0,"red maple"
"142",17,0.0678602,0,"red maple"
"143",8,0.0687957,0,"black spruce"
"144",37,0.0687957,0,"paper birch"
"145",21,0.0687957,0,"paper birch"
"146",5,0.0687957,0,"red maple"
"147",6,0.0687957,0,"red maple"
"148",12,0.068874,1,"aspen"
"149",25,0.068874,1,"aspen"
"150",25,0.068874,1,"aspen"
"151",25,0.068874,1,"aspen"
"152",14,0.0693424,0,"black spruce"
"153",12,0.0693424,0,"black spruce"
"154",16,0.0693424,0,"cedar"
"155",15,0.0693424,0,"cedar"
"156",17,0.0693424,0,"red maple"
"157",16,0.0693424,0,"red maple"
"158",16,0.0693424,0,"red maple"
"159",11,0.0693424,0,"red maple"
"160",22,0.0697707,0,"aspen"
"161",24,0.0697707,0,"paper birch"
"162",10,0.071072,0,"aspen"
"163",18,0.071072,0,"black spruce"
"164",13,0.071072,0,"black spruce"
"165",8,0.071072,0,"red pine"
"166",8.5,0.071072,0,"red pine"
"167",37.5,0.0712564,0,"aspen"
"168",23,0.0723925,0,"paper birch"
"169",5,0.0723925,0,"red pine"
"170",8,0.0726807,0,"black spruce"
"171",7,0.0726807,0,"black spruce"
"172",11,0.0726807,0,"cedar"
"173",14,0.0726807,1,"cedar"
"174",21,0.0726807,0,"cedar"
"175",11,0.0726807,1,"red pine"
"176",6,0.0730598,0,"black spruce"
"177",5,0.0730598,0,"black spruce"
"178",9,0.0730598,0,"black spruce"
