"","adt","trks","lane","acpt","sigs","itg","slim","len","lwid","shld","htype","rate"
"1",69,8,8,4.6,0,1.2,55,4.99,12,10,"fai",4.58
"2",73,8,4,4.4,0,1.43,60,16.11,12,10,"fai",2.86
"3",49,10,4,4.7,0,1.54,60,9.75,12,10,"fai",3.02
"4",61,13,6,3.8,0,0.94,65,10.65,12,10,"fai",2.29
"5",28,12,4,2.2,0,0.65,70,20.01,12,10,"fai",1.61
"6",30,6,4,24.8,1.84,0.34,55,5.97,12,10,"pa",6.87
"7",46,8,4,11,0.7,0.47,55,8.57,12,8,"pa",3.85
"8",25,9,4,18.5,0.38,0.38,55,5.24,12,10,"pa",6.12
"9",43,12,4,7.5,1.39,0.95,50,15.79,12,4,"pa",3.29
"10",23,7,4,8.2,1.21,0.12,50,8.26,12,5,"pa",5.88
"11",23,6,4,5.4,1.85,0.29,60,7.03,12,10,"pa",4.2
"12",20,9,4,11.2,1.21,0.15,50,13.28,12,2,"pa",4.61
"13",18,14,2,15.2,0.56,0,50,5.4,12,8,"pa",4.8
"14",21,8,4,5.4,0,0.34,60,2.96,12,10,"pa",3.85
"15",27,7,4,7.9,0.6,0.26,55,11.75,12,10,"pa",2.69
"16",22,9,4,3.2,0,0.68,60,8.86,12,10,"pa",1.99
"17",19,9,4,11,0.1,0.2,60,9.78,12,10,"pa",2.01
"18",9,11,2,8.9,0.18,0.18,50,5.49,12,6,"pa",4.22
"19",12,8,2,12.4,0,0.14,55,8.63,13,6,"pa",2.76
"20",12,7,4,7.8,0.99,0.05,60,20.31,12,10,"pa",2.55
"21",15,13,4,9.6,0.12,0.05,55,40.09,12,8,"pa",1.89
"22",8,8,2,4.3,0,0,60,11.81,12,10,"pa",2.34
"23",5,9,2,11.1,0.09,0,50,11.39,12,8,"pa",2.83
"24",5,15,2,6.8,0,0,60,22,12,7,"pa",1.81
"25",23,6,4,53,2.51,0.56,40,3.58,12,2,"ma",9.23
"26",13,6,2,17.3,0.93,0.31,45,3.23,12,2,"ma",8.6
"27",7,8,2,27.3,0.52,0.13,55,7.73,12,8,"ma",8.21
"28",10,10,2,18,0.07,0,55,14.41,12,6,"ma",2.93
"29",12,7,2,30.2,0.09,0.09,45,11.54,12,3,"ma",7.48
"30",9,8,2,10.3,0,0,60,11.1,12,7,"ma",2.57
"31",4,8,2,18.2,0.14,0,45,22.09,11,3,"ma",5.77
"32",5,10,2,12.3,0,0,55,9.39,13,1,"ma",2.9
"33",4,13,2,7.1,0,0,55,19.49,12,4,"ma",2.97
"34",5,12,2,14,0.1,0,55,21.01,10,8,"ma",1.84
"35",2,10,2,11.3,0.04,0.04,55,27.16,12,3,"ma",3.78
"36",3,8,2,16.3,0,0.07,50,14.03,12,4,"ma",2.76
"37",1,11,2,9.6,0,0,55,20.63,11,4,"ma",4.27
"38",3,11,2,9,0,0,60,20.06,12,8,"mc",3.05
"39",1,10,2,10.4,0,0,55,12.91,12,3,"mc",4.12
