"","bp","pres","lpres"
"1",210.8,29.211,146.554642472597
"2",210.2,28.559,145.574299644849
"3",208.4,27.972,144.67235195682
"4",202.5,24.697,139.264420173843
"5",200.6,23.726,137.52245260658
"6",200.1,23.369,136.864012857649
"7",199.5,23.03,136.229393796423
"8",197,21.892,134.028543947047
"9",196.4,21.928,134.099902253144
"10",196.3,21.654,133.553813244315
"11",195.6,21.605,133.455427064725
"12",193.4,20.48,131.132995230379
"13",193.6,20.212,130.560928956619
"14",191.4,19.758,129.574298109555
"15",191.1,19.49,128.981183911762
"16",190.6,19.386,128.748820840129
"17",189.5,18.869,127.574888447919
"18",188.8,18.356,126.377804902262
"19",188.5,18.507,126.733602496364
"20",185.7,17.267,123.7216889008
"21",186,17.221,123.605836673855
"22",185.6,17.062,123.202993762013
"23",184.1,16.959,122.940024017978
"24",184.6,16.881,122.739816987366
"25",184.1,16.817,122.574852418186
"26",183.2,16.385,121.444644571839
"27",182.4,16.235,121.045229296202
"28",181.9,16.106,120.698769475641
"29",181.9,15.928,120.216124701935
"30",181,15.919,120.19157827407
"31",180.6,15.376,118.684337032447
