"","gender","numYears","numRaters","numCourses","pepper","discipline","dept","quality","helpfulness","clarity","easiness","raterInterest","sdQuality","sdHelpfulness","sdClarity","sdEasiness","sdRaterInterest"
"1","male",7,11,5,"no","Hum","English",4.63636363636364,4.63636363636364,4.63636363636364,4.81818181818182,3.54545454545455,0.5518564,0.674199862463241,0.504524979109512,0.404519917477945,1.12815214963553
"2","male",6,11,5,"no","Hum","Religious Studies",4.318181818,4.545454545,4.090909091,4.363636364,4,0.90201795,0.934198733,0.943879807,0.504524979,1.074435556
"3","male",10,43,2,"no","Hum","Art",4.7906976744186,4.72093023255814,4.86046511627907,4.6046511627907,3.43243243243243,0.45293432,0.666389754228274,0.412968080678053,0.540702139802232,1.23694382654591
"4","male",11,24,5,"no","Hum","English",4.25,4.458333333,4.041666667,2.791666667,3.181818182,0.93250483,0.931532943,0.999093792,0.588229966,1.332250643
"5","male",11,19,7,"no","Hum","Spanish",4.684210526,4.684210526,4.684210526,4.473684211,4.214285714,0.65001124,0.820069887,0.582392725,0.61177529,0.974961256
"6","male",10,15,9,"no","Hum","Spanish",4.23333333333333,4.26666666666667,4.2,4.53333333333333,3.91666666666667,0.8632717,1.03279555898864,0.774596669241482,0.639940473422185,0.668557923421521
"7","male",7,17,3,"no","Hum","Spanish",4.382352941,4.352941176,4.411764706,4.117647059,3.8125,0.94421613,0.996316746,0.939336437,0.696630546,1.223042654
"8","male",11,16,3,"no","Hum","English",2.0625,2.0625,2.0625,1.4375,2.9375,1.1954776,1.34008706184835,1.12361025271221,0.727438428093173,1.6111590031196
"9","male",11,12,4,"no","Hum","Music",2.0416667,2.1666667,2,1.75,3.75,1.0757309,1.3371159,1.0444659,0.75377834,1.288057
"10","male",7,18,4,"no","Hum","English",4.111111111,4.222222222,4,3.666666667,4.176470588,0.90025413,1.003262651,0.907485213,0.766964989,1.538112309
"11","male",11,11,4,"no","Hum","Philosophy",4.727272727,4.909090909,4.545454545,4,2.9,0.34377584,0.301511345,0.522232968,0.774596669,1.197219
"12","male",6,33,4,"yes","Hum","Philosophy",3.7242424,3.8484848,3.6060605,4.242424,3.3333333,1.2387066,1.3257359,1.2975793,0.79176635,1.2909944
