"","y","x1","x2","x3","x4","x5","x6"
"1",0.3168,-0.034611,-0.063522,0.043757,-0.030642,0.13032,-0.5687
"2",-0.58091,-0.028196,0.23687,-0.18846,0.19051,-0.081898,0.29123
"3",-0.38789,0.059727,0.088446,-0.094659,0.022736,0.0073608,0.40923
"4",-0.31245,0.052236,0.0032441,-0.12222,0.12778,0.047143,-0.64441
"5",0.96025,-0.057986,0.065926,-0.0070171,0.1077,0.12657,-0.71757
"6",1.184,0.18934,-0.47655,0.15473,-0.32113,0.072628,-0.13887
"7",-1.3702,-0.0088864,0.10341,-0.096503,-0.088647,-0.0047804,-0.010111
"8",-1.9677,-0.10524,-0.056696,0.069893,-0.12718,0.027774,-0.24046
"9",0.89508,0.0012645,-0.031905,0.16641,-0.12135,0.015095,0.19786
"10",-1.1427,0.020036,-0.1377,-0.033895,-0.25045,0.10564,0.27855
"11",0.98655,0.027436,-0.24066,0.19023,-0.40185,0.050766,0.4769
"12",1.8198,0.09595,-0.27672,-0.0069088,0.1379,-0.036794,0.49052
"13",0.14438,0.0071283,0.05827,-0.12263,0.053621,-0.027562,-0.2334
"14",2.1115,-0.021904,0.48595,-0.070332,0.26149,-0.13365,1.1614
"15",0.39366,0.089576,-0.45806,0.18591,0.03511,0.075018,-0.77126
"16",-0.16004,-0.066919,0.21885,-0.24539,0.21201,0.024456,-0.22782
"17",0.46261,0.075336,0.07507,0.0022921,-0.28841,-0.0081525,-0.062376
"18",2.1096,0.054027,-0.21237,0.067468,0.43197,-0.09214,0.72909
"19",0.90791,0.079776,-0.54524,0.24437,-0.15799,-0.052876,0.49613
"20",1.2386,-0.018856,-0.16978,0.25455,-0.5247,0.06624,-0.21545
"21",-0.73723,-0.014838,0.046125,-0.0017143,-0.0042624,0.0061311,-0.27748
"22",-1.1313,0.0064988,-0.062454,-0.078849,0.49871,-0.093927,0.34753
"23",-0.051471,0.07296,-0.19267,0.10872,-0.37014,0.059488,-0.65492
"24",-0.021984,-0.081701,0.51965,-0.16734,0.24399,-0.16513,-0.16286
"25",0.5932,0.035135,-0.074302,-0.013082,-0.010115,-0.028472,0.55312
"26",-0.6758,0.0088048,-0.08711,0.084166,-0.38839,0.062188,-0.29741
"27",0.046351,-0.035281,-0.19438,0.048124,-0.032003,0.017563,-0.072827
"28",-2.0827,-0.028994,0.54697,-0.3875,0.55134,-0.1035,0.69807
"29",-1.7143,0.13107,-0.15741,0.018343,-0.047916,-0.0011776,-0.36223
"30",-3.2828,0.0064053,0.053542,-0.17651,0.088873,0.055524,-1.0742
"31",1.229,-0.023548,0.205,-0.033395,0.16842,0.060291,-0.14147
"32",-1.1446,0.019216,-0.20738,0.33936,-0.71426,0.20627,-0.92713
"33",-1.5455,0.0069998,-0.23763,0.14392,-0.19645,0.077895,-0.24901
"34",0.82348,-0.029902,-0.049752,0.29264,-0.003738,-0.0080576,-0.20405
"35",0.46908,-0.10435,0.4229,-0.043517,0.036716,0.018084,-0.75908
"36",-1.7117,0.1143,-0.080144,0.082987,-0.11849,0.0068149,-0.29344
"37",-2.5128,-0.13629,0.12034,-0.11243,0.070243,-0.033068,-0.4525
"38",-1.1644,-0.097313,0.79181,-0.034605,-0.10711,-0.012266,0.42952
"39",0.48186,-0.04894,0.094936,-0.036735,0.27307,-0.052942,0.39119
"40",0.99355,-0.12068,0.20805,-0.085833,-0.046757,-0.031673,0.64044
"41",0.42619,0.079172,-0.34554,0.29812,-0.68174,-0.014712,-0.41796
"42",1.1534,-0.014025,-0.19158,0.0798,0.064523,0.056483,0.53916
"43",0.2532,-0.03638,0.24448,-0.10286,-0.45371,-0.047674,-0.40672
"44",-2.873,-0.055496,-0.15141,0.017417,-0.56585,0.10534,-0.87432
"45",0.28049,-0.035601,-0.40748,0.29168,-0.33975,0.11056,-0.53525
"46",-0.17926,0.013077,-0.17622,-0.21138,-0.0039382,-0.074825,0.21908
"47",-0.22428,-0.093338,0.48108,0.017748,0.25167,-0.012832,-0.061587
"48",-0.19623,0.11168,-0.20144,0.10954,0.12339,0.049702,0.64403
"49",-2.0521,-0.03748,0.18306,-0.22728,-0.0082371,-0.070392,0.7041
"50",-1.3587,-0.13016,0.47061,-0.13201,0.0059977,0.066067,-0.22731
"51",1.7458,0.052476,-0.14506,0.047535,0.046264,0.05222,0.3111
"52",0.30915,-0.12273,0.3691,-0.011438,0.13978,-0.10127,0.38738
"53",-0.22215,0.058713,0.11497,0.019858,-0.077202,-0.0064917,-0.55061
"54",-1.2973,0.14047,-0.87423,0.28494,-0.69511,0.14084,-0.24606
"55",-0.59885,-0.074107,0.12174,-0.10438,-0.099956,0.024488,0.021905
"56",1.9375,0.05283,-0.39131,0.24401,-0.097389,-0.040827,0.25838
"57",1.0383,0.071832,0.054213,0.35173,-0.67296,0.10719,-0.78292
"58",-1.2743,-0.060733,0.22226,-0.001655,-0.00064818,0.057675,-0.75337
"59",1.607,0.033846,0.0038883,0.010173,0.43045,-0.099996,0.47345
"60",1.8411,0.15813,-0.66535,0.30532,-0.20402,-0.1128,0.48314
"61",0.72745,0.13195,-0.24278,0.091457,-0.1445,0.0055592,-0.12481
"62",-1.0852,-0.040588,-0.23762,0.20083,-0.38948,0.03885,-0.013389
"63",-1.2666,-0.014296,0.020079,-0.16697,0.11116,0.038024,-0.0047024
