"","region","group","fertility","ppgdp","lifeExpF","pctUrban"
"Afghanistan","Asia","other",5.968,499,49.49,23
"Albania","Europe","other",1.525,3677.2,80.4,53
"Algeria","Africa","africa",2.142,4473,75,67
"Angola","Africa","africa",5.135,4321.9,53.17,59
"Anguilla","Caribbean","other",2,13750.1,81.1,100
"Argentina","Latin Amer","other",2.172,9162.1,79.89,93
"Armenia","Asia","other",1.735,3030.7,77.33,64
"Aruba","Caribbean","other",1.671,22851.5,77.75,47
"Australia","Oceania","oecd",1.949,57118.9,84.27,89
"Austria","Europe","oecd",1.346,45158.8,83.55,68
"Azerbaijan","Asia","other",2.148,5637.6,73.66,52
"Bahamas","Caribbean","other",1.877,22461.6,78.85,84
"Bahrain","Asia","other",2.43,18184.1,76.06,89
"Bangladesh","Asia","other",2.157,670.4,70.23,29
"Barbados","Caribbean","other",1.575,14497.3,80.26,45
"Belarus","Europe","other",1.479,5702,76.37,75
"Belgium","Europe","oecd",1.835,43814.8,82.81,97
"Belize","Latin Amer","other",2.679,4495.8,77.81,53
"Benin","Africa","africa",5.078,741.1,58.66,42
"Bermuda","Caribbean","other",1.76,92624.7,82.3,100
"Bhutan","Asia","other",2.258,2047.2,69.84,35
"Bolivia","Latin Amer","other",3.229,1977.9,69.4,67
"Bosnia and Herzegovina","Europe","other",1.134,4477.7,78.4,49
"Botswana","Africa","africa",2.617,7402.9,51.34,62
"Brazil","Latin Amer","other",1.8,10715.6,77.41,87
"Brunei Darussalam","Asia","other",1.984,32647.6,80.64,76
"Bulgaria","Europe","other",1.546,6365.1,77.12,72
"Burkina Faso","Africa","africa",5.75,519.7,57.02,27
"Burundi","Africa","africa",4.051,176.6,52.58,11
"Cambodia","Asia","other",2.422,797.2,65.1,20
"Cameroon","Africa","africa",4.287,1206.6,53.56,59
"Canada","North America","oecd",1.691,46360.9,83.49,81
"Cape Verde","Africa","africa",2.279,3244,77.7,62
"Cayman Islands","Caribbean","other",1.6,57047.9,83.8,100
"Central African Republic","Africa","africa",4.423,450.8,51.3,39
"Chad","Africa","africa",5.737,727.4,51.61,28
"Chile","Latin Amer","oecd",1.832,11887.7,82.35,89
"China","Asia","other",1.559,4354,75.61,48
"Colombia","Latin Amer","other",2.293,6222.8,77.69,75
"Comoros","Africa","africa",4.742,736.6,63.18,28
"Congo","Africa","africa",4.442,2665.1,59.33,63
"Cook Islands","Oceania","other",2.53080628409411,12212.1,76.2454672361809,76
"Costa Rica","Latin Amer","other",1.812,7703.8,81.99,65
"Cote dIvoire","Africa","africa",4.224,1154.1,57.71,51
"Croatia","Europe","other",1.501,13819.5,80.37,58
