"","Type","Height","Length"
"Durham","Romanesque",75,502
"Canterbury","Romanesque",80,522
"GloucesterRom","Romanesque",68,425
"Hereford","Romanesque",64,344
"NorwichRom","Romanesque",83,407
"Peterborough","Romanesque",80,451
"St. Albans","Romanesque",70,551
"WinchesterRom","Romanesque",76,530
"Ely","Romanesque",74,547
"York","Gothic",100,519
"Bath","Gothic",75,225
"Bristol","Gothic",52,300
"Chichester","Gothic",62,418
"Exeter","Gothic",68,409
"GloucesterGothic","Gothic",86,425
"Lichfield","Gothic",57,370
"Lincoln","Gothic",82,506
"NorwichGothic","Gothic",82,506
"Ripon","Gothic",88,295
"Southwark","Gothic",55,273
"Wells","Gothic",67,415
"St. Asaph","Gothic",45,182
"WinchesterGothic","Gothic",103,530
"Old St. Paul","Gothic",103,611
"Salisbury","Gothic",84,473
