"","Gore","Bush","Buchanan"
"ALACHUA",47300,34062,262
"BAKER",2392,5610,73
"BAY",18850,38637,248
"BRADFORD",3072,5413,65
"BREVARD",97318,115185,570
"BROWARD",386518,177279,789
"CALHOUN",2155,2873,90
"CHARLOTTE",29641,35419,182
"CITRUS",25501,29744,270
"CLAY",14630,41745,186
"COLLIER",29905,60426,122
"COLUMBIA",7047,10964,89
"DADE",328702,289456,561
"DE SOTO",3322,4256,36
"DIXIE",1825,2698,29
"DUVAL",107680,152082,650
"ESCAMBIA",40958,73029,504
"FLAGLER",13891,12608,83
"FRANKLIN",2042,2448,33
"GADSDEN",9565,4750,39
"GILCHRIST",1910,3300,29
"GLADES",1420,1840,9
"GULF",2389,3546,71
"HAMILTON",1718,2153,24
"HARDEE",2341,3764,30
"HENDRY",3239,4743,22
"HERNANDO",32644,30646,242
"HIGHLANDS",14152,20196,99
"HILLSBOROUGH",166581,176967,836
"HOLMES",2154,4985,76
"INDIAN RIVER",19769,28627,105
"JACKSON",6868,9138,102
"JEFFERSON",3038,2481,29
"LAFAYETTE",788,1669,10
"LAKE",36555,49963,289
"LEE",73560,106141,305
"LEON",61425,39053,282
"LEVY",5403,6860,67
"LIBERTY",1011,1316,39
"MADISON",3011,3038,29
"MANATEE",49169,57948,272
"MARION",44648,55135,563
"MARTIN",26619,33864,108
"MONROE",16483,16059,47
"NASSAU",6952,16404,90
"OKALOOSA",16924,52043,267
"OKEECHOBEE",4588,5058,43
"ORANGE",140115,134476,446
"OSCEOLA",28177,26216,145
"PALM BEACH",268945,152846,3407
"PASCO",69550,68581,570
"PINELLAS",199660,184312,1010
"POLK",74977,90101,538
"PUTNAM",12091,13439,147
"ST. JOHNS",19482,39497,229
"ST. LUCIE",41559,34705,124
"SANTA ROSA",12795,36248,311
"SARASOTA",72854,83100,305
"SEMINOLE",58888,75293,194
"SUMTER",9634,12126,114
"SUWANNEE",4084,8014,108
"TAYLOR",2647,4051,27
"UNION",1399,2326,26
"VOLUSIA",97063,82214,396
"WAKULLA",3835,4511,46
"WALTON",5637,12176,120
"WASHINGTON",2796,4983,88
