"","Speed","Distance"
"1",4,4
"2",5,2
"3",5,4
"4",5,8
"5",5,8
"6",7,7
"7",7,7
"8",8,8
"9",8,9
"10",8,11
"11",8,13
"12",9,5
"13",9,5
"14",9,13
"15",10,8
"16",10,14
"17",10,17
"18",12,11
"19",12,19
"20",12,21
"21",13,15
"22",13,18
"23",13,27
"24",14,14
"25",14,16
"26",15,16
"27",16,14
"28",16,19
"29",16,34
"30",17,22
"31",17,29
"32",18,29
"33",18,34
"34",18,47
"35",19,30
"36",20,48
"37",21,39
"38",21,42
"39",21,55
"40",24,56
"41",25,33
"42",25,48
"43",25,56
"44",25,59
"45",26,39
"46",26,41
"47",27,57
"48",27,78
"49",28,64
"50",28,84
"51",29,54
"52",29,68
"53",30,60
"54",30,67
"55",30,101
"56",31,77
"57",35,85
"58",35,107
"59",36,79
"60",39,138
"61",40,110
"62",40,134
