%Year	PCT	R	AVG	OBP	SLG	SB	ERA
1903	0.53	579	0.24	0.3	0.33	160	3.08
1904	0.6	598	0.25	0.3	0.34	163	2.57
1905	0.47	586	0.24	0.3	0.31	200	2.93
1906	0.59	644	0.26	0.31	0.33	192	2.78
1907	0.47	605	0.24	0.29	0.31	206	3.03
1908	0.33	459	0.23	0.28	0.29	231	3.16
1909	0.49	590	0.24	0.31	0.31	187	2.65
1910	0.58	626	0.24	0.32	0.32	288	2.61
1911	0.5	684	0.27	0.34	0.36	269	3.54
1912	0.32	630	0.25	0.32	0.33	247	4.13
1913	0.37	529	0.23	0.32	0.29	203	3.27
1914	0.45	537	0.22	0.31	0.28	251	2.81
1915	0.45	584	0.23	0.31	0.3	198	3.06
1916	0.51	577	0.24	0.31	0.32	179	2.77
1917	0.46	524	0.23	0.31	0.3	136	2.66
1918	0.48	493	0.25	0.32	0.33	88	3
1919	0.57	578	0.26	0.32	0.35	101	2.82
1920	0.61	838	0.28	0.35	0.42	64	3.32
1921	0.64	948	0.3	0.37	0.46	89	3.82
1922	0.61	758	0.28	0.35	0.41	62	3.39
1923	0.64	823	0.29	0.35	0.42	69	3.62
1924	0.58	798	0.28	0.35	0.42	69	3.86
1925	0.44	706	0.27	0.33	0.41	67	4.33
1926	0.59	847	0.28	0.36	0.43	79	3.86
1927	0.71	975	0.3	0.38	0.48	90	3.2
1928	0.65	894	0.29	0.36	0.45	51	3.74
1929	0.57	899	0.29	0.36	0.45	51	4.19
1930	0.55	1062	0.3	0.38	0.48	91	4.88
1931	0.61	1067	0.29	0.38	0.45	138	4.2
1932	0.69	1002	0.28	0.37	0.45	77	3.98
1933	0.6	927	0.28	0.36	0.44	76	4.36
1934	0.61	842	0.27	0.36	0.41	71	3.76
1935	0.59	818	0.28	0.35	0.41	68	3.6
1936	0.66	1065	0.3	0.38	0.48	77	4.17
1937	0.66	979	0.28	0.36	0.45	60	3.65
1938	0.65	966	0.27	0.36	0.44	91	3.91
1939	0.7	967	0.28	0.37	0.45	72	3.31
1940	0.57	817	0.25	0.34	0.41	59	3.89
1941	0.65	830	0.26	0.34	0.41	51	3.53
1942	0.66	801	0.26	0.34	0.39	69	2.91
1943	0.63	669	0.25	0.33	0.37	46	2.93
1944	0.53	674	0.26	0.33	0.38	91	3.39
1945	0.53	676	0.25	0.34	0.37	64	3.45
1946	0.56	684	0.24	0.33	0.38	48	3.13
1947	0.63	794	0.27	0.34	0.4	27	3.39
1948	0.61	857	0.27	0.35	0.43	24	3.75
1949	0.63	829	0.26	0.36	0.4	58	3.69
1950	0.63	914	0.28	0.36	0.44	41	4.15
1951	0.63	798	0.26	0.34	0.4	78	3.56
1952	0.61	727	0.26	0.34	0.4	52	3.14
1953	0.65	801	0.27	0.35	0.41	34	3.2
1954	0.66	805	0.26	0.35	0.4	34	3.26
1955	0.62	762	0.26	0.34	0.41	55	3.23
1956	0.63	857	0.27	0.34	0.43	51	3.63
1957	0.63	723	0.26	0.34	0.4	49	3
1958	0.59	759	0.26	0.33	0.41	48	3.22
1959	0.51	687	0.26	0.32	0.4	45	3.6
1960	0.63	746	0.26	0.33	0.42	37	3.52
1961	0.67	827	0.26	0.33	0.44	28	3.46
1962	0.59	817	0.26	0.33	0.42	42	3.7
1963	0.64	714	0.25	0.31	0.4	42	3.07
1964	0.61	730	0.25	0.31	0.38	54	3.15
1965	0.47	611	0.23	0.3	0.36	35	3.28
1966	0.44	611	0.23	0.3	0.37	49	3.41
1967	0.44	522	0.22	0.29	0.31	63	3.24
1968	0.51	536	0.21	0.29	0.31	90	2.79
1969	0.49	562	0.23	0.31	0.34	119	3.23
1970	0.57	680	0.25	0.32	0.36	105	3.24
1971	0.5	648	0.25	0.33	0.36	75	3.43
1972	0.51	557	0.24	0.31	0.35	71	3.05
1973	0.49	641	0.26	0.32	0.37	47	3.34
1974	0.54	671	0.26	0.32	0.36	53	3.31
1975	0.51	681	0.26	0.32	0.38	102	3.29
1976	0.61	730	0.26	0.33	0.38	163	3.19
1977	0.61	831	0.28	0.34	0.44	93	3.61
1978	0.61	735	0.26	0.33	0.38	98	3.18
1979	0.55	734	0.26	0.33	0.4	65	3.83
1980	0.63	820	0.26	0.34	0.42	86	3.58
1981	0.55	421	0.25	0.32	0.39	47	2.9
1982	0.48	709	0.25	0.33	0.39	69	3.99
1983	0.56	770	0.27	0.33	0.41	84	3.86
1984	0.53	758	0.27	0.34	0.4	62	3.78
1985	0.6	839	0.26	0.34	0.42	155	3.69
1986	0.55	797	0.27	0.35	0.43	139	4.11
1987	0.54	788	0.26	0.33	0.41	105	4.36
1988	0.52	772	0.26	0.33	0.39	146	4.26
1989	0.46	698	0.26	0.33	0.39	137	4.5
1990	0.41	603	0.24	0.3	0.36	119	4.21
1991	0.43	674	0.25	0.31	0.38	109	4.42
1992	0.46	733	0.26	0.33	0.4	78	4.21
1993	0.54	821	0.27	0.35	0.43	39	4.35
1994	0.61	670	0.29	0.37	0.46	55	4.34
1995	0.54	749	0.27	0.35	0.42	50	4.56
1996	0.56	871	0.28	0.36	0.43	95	4.65
1997	0.59	891	0.28	0.36	0.43	99	3.84
1998	0.7	965	0.28	0.36	0.46	153	3.82
1999	0.6	900	0.28	0.36	0.45	104	4.16
