Date,CITCRP,CONED,CONTIL,DATGEN,DEC,DELTA,GENMIL,GERBER,IBM,MARKET,MOBIL,PANAM,PSNH,TANDY,TEXACO,WEYER,RKFREE
Jan-78,-0.115,-0.079,-0.129,-0.084,-0.1,-0.028,-0.099,-0.048,-0.029,-0.045,-0.046,0.025,-0.008,-0.075,-0.054,-0.116,0.00487
Feb-78,-0.019,-0.003,0.037,-0.097,-0.063,-0.033,0.018,0.16,-0.043,0.01,-0.017,-0.073,-0.025,-0.004,-0.01,-0.135,0.00494
Mar-78,0.059,0.022,0.003,0.063,0.01,0.07,-0.023,-0.036,-0.063,0.05,0.049,0.184,0.026,0.124,0.015,0.084,0.00526
Apr-78,0.127,-0.005,0.18,0.179,0.165,0.15,0.046,0.004,0.13,0.063,0.077,0.089,-0.008,0.055,0,0.144,0.00491
May-78,0.005,-0.014,0.061,0.052,0.038,-0.031,0.063,0.046,-0.018,0.067,-0.011,0.082,0.019,0.176,-0.029,-0.031,0.00513
Jun-78,0.007,0.034,-0.059,-0.023,-0.021,0.023,0.008,0.028,-0.004,0.007,-0.043,0.019,0.032,-0.014,-0.025,0.005,0.00527
Jul-78,0.032,0.011,0.066,0.143,0.107,0.185,0.075,-0.012,0.092,0.071,0.028,0.204,-0.014,0.194,0.042,0.164,0.00528
Aug-78,0.088,0.024,0.033,0.026,-0.017,-0.021,-0.051,-0.079,0.049,0.079,0.056,0.031,0.045,0.222,0,0.039,0.00607
Sep-78,0.011,0.048,-0.013,-0.031,-0.037,-0.081,-0.012,0.104,-0.051,0.002,0.064,0.075,0.061,-0.1,0.01,-0.021,0.00645
Oct-78,-0.071,-0.067,-0.123,-0.085,-0.077,-0.153,-0.032,-0.138,-0.046,-0.189,-0.069,-0.25,-0.033,-0.206,-0.066,-0.09,0.00685
Nov-78,-0.005,0.035,-0.038,0.044,0.064,0.055,0.009,0.078,0.031,0.084,0.037,0,-0.012,0.086,0.055,-0.033,0.00719
Dec-78,-0.019,0.005,0.047,0.034,0.117,-0.023,0.022,-0.086,0.108,0.015,0.041,-0.019,-0.031,0.085,0,-0.034,0.0069
Jan-79,0.043,0.076,-0.024,-0.008,-0.012,-0.054,-0.032,0.042,0.034,0.058,0.061,0.019,0.066,-0.046,0.037,0.203,0.00761
Feb-79,-0.082,-0.011,-0.02,-0.015,-0.066,-0.06,-0.079,-0.023,-0.017,0.011,-0.002,-0.13,0,-0.135,-0.01,-0.038,0.00761
Mar-79,0.026,0,0.043,0.171,0.088,0.098,-0.043,0.065,0.052,0.123,0.029,0.043,-0.037,0.122,0.068,0.097,0.00769
Apr-79,0,-0.057,0.064,0.009,0.005,-0.056,0.022,-0.088,-0.004,0.026,0.079,0.02,-0.05,-0.094,0.059,-0.069,0.00764
May-79,0.022,0.032,0.005,-0.045,-0.028,0.063,0.035,-0.023,-0.022,0.014,-0.086,-0.06,-0.007,-0.148,-0.04,-0.013,0.00772
Jun-79,0.095,0.066,0.092,0.019,0.059,-0.006,-0.043,0.095,-0.035,0.075,0.088,0,0.084,0.096,0.083,0.053,0.00715
Jul-79,-0.075,0.015,-0.034,-0.059,0.009,0.075,-0.013,-0.096,-0.049,-0.013,0.018,0.319,-0.024,0.006,0.032,0,0.00728
Aug-79,0.065,-0.021,0.058,0.078,0.14,0.021,0.138,0.148,0.016,0.095,0.111,-0.065,0.027,0.25,0.041,0.165,0.00789
Sep-79,-0.017,0,-0.033,-0.031,-0.027,-0.026,-0.032,-0.009,-0.032,0.039,0.18,-0.034,-0.04,-0.005,0.03,-0.015,0.00802
Oct-79,-0.125,-0.049,-0.136,-0.246,-0.01,-0.147,-0.067,-0.09,-0.079,-0.097,-0.031,-0.089,-0.067,-0.037,-0.053,-0.083,0.00913
Nov-79,0.03,0.109,0.081,0.062,0.095,0.063,0.005,-0.014,0.06,0.116,0.051,-0.098,0.008,0.17,0.067,-0.065,0.00819
Dec-79,0.113,0.005,0.104,0.021,0.018,0.02,0.005,-0.036,-0.013,0.086,0.063,0.043,-0.068,0.037,-0.029,0.104,0.00747
Jan-80,-0.079,-0.039,-0.103,0.157,0.058,0.022,0.003,0.048,0.066,0.124,0.075,-0.042,0.043,0.032,0.229,0.069,0.00883
Feb-80,-0.08,-0.061,-0.087,0.043,0.034,-0.093,-0.096,-0.004,-0.062,0.112,0.366,-0.109,-0.056,0.143,0.161,0.033,0.01073
Mar-80,-0.069,0.006,0.085,-0.094,-0.182,-0.031,0.011,-0.237,-0.122,-0.243,-0.176,-0.195,-0.051,-0.105,-0.179,-0.129,0.01181
Apr-80,0.048,0.14,0.074,0.027,0.047,-0.018,0.059,0.027,-0.016,0.08,0.119,0,0.128,-0.038,0.082,0.027,0.00753
May-80,0.104,0.043,0.023,-0.043,0.016,0.144,0.18,0.233,0.025,0.062,0.003,0.121,0.083,0.256,0.007,0.089,0.0063
Jun-80,0.058,0.04,0.064,0.108,0.021,0.01,-0.013,0.011,0.061,0.086,-0.024,-0.027,0.038,0.041,0.032,-0.026,0.00503
Jul-80,-0.023,-0.027,-0.034,0.212,0.183,0.283,0.012,0.005,0.111,0.065,0.054,0.278,0.002,0.446,0.003,0.14,0.00602
Aug-80,0.029,-0.005,-0.018,0.058,0.081,-0.056,0.018,-0.008,0.017,0.025,-0.059,-0.043,-0.023,0.167,0.031,-0.041,0.00731
Sep-80,-0.068,-0.01,0.034,-0.136,0.045,-0.053,-0.013,0.066,-0.021,0.015,0.007,-0.091,-0.054,0.157,-0.037,-0.064,0.0086
Oct-80,-0.049,-0.021,0.035,0.007,-0.028,0.046,-0.073,0.026,0.039,0.006,0.059,-0.025,0.01,-0.015,0.087,0.017,0.00895
Nov-80,0.123,-0.035,-0.017,0,0.056,0.22,-0.03,0.023,0.035,0.092,0.193,0.026,-0.05,0.212,0.399,0.015,0.01137
Dec-80,0.131,0.131,0.103,-0.098,0.035,0.04,0.102,0.07,-0.004,-0.056,-0.081,-0.15,0.018,0.022,-0.109,0.007,0.00977
Jan-81,-0.062,-0.015,0.04,-0.231,-0.089,0.112,0.079,0.056,-0.052,-0.014,-0.082,0.118,0.089,-0.139,-0.145,0.028,0.01092
Feb-81,-0.005,-0.021,0.069,-0.072,0.006,0.031,0.013,-0.02,0.011,-0.009,-0.067,-0.079,0.025,0.082,-0.012,0.025,0.01096
Mar-81,0.045,0.151,0.024,0.184,0.075,0.024,0.146,0.023,-0.029,0.067,-0.042,0.143,0.008,0.299,-0.063,0.088,0.01025
