Date,Adj Close
3/31/1993,1.13
4/1/1993,1.15
5/3/1993,1.43
6/1/1993,1.46
7/1/1993,1.41
8/2/1993,1.44
9/1/1993,1.63
10/1/1993,1.59
11/1/1993,1.32
12/1/1993,1.32
1/3/1994,1.43
2/1/1994,1.38
3/1/1994,1.45
4/4/1994,1.77
5/2/1994,1.69
6/1/1994,1.5
7/1/1994,1.72
8/1/1994,1.68
9/1/1994,1.37
10/3/1994,1.61
11/1/1994,1.59
12/1/1994,1.63
1/3/1995,1.43
2/1/1995,1.42
3/1/1995,1.43
4/3/1995,1.4
5/1/1995,1.73
6/1/1995,2.12
7/3/1995,2.22
8/1/1995,2.38
9/1/1995,2.25
10/2/1995,2.33
11/1/1995,2.51
12/1/1995,2.5
1/2/1996,1.99
2/1/1996,2.09
3/1/1996,2.77
4/1/1996,3.22
5/1/1996,3.22
6/3/1996,3.36
7/1/1996,3.09
8/1/1996,3.89
9/3/1996,3.92
10/1/1996,3.86
11/1/1996,4.12
12/2/1996,3.4
1/2/1997,4.07
2/3/1997,4
3/3/1997,3.52
4/1/1997,3.55
5/1/1997,3.74
6/2/1997,4.63
7/1/1997,4.87
8/1/1997,4.87
9/2/1997,4.97
10/1/1997,3.92
11/3/1997,4.15
12/1/1997,4.56
1/2/1998,4.35
2/2/1998,4.7
3/2/1998,5.39
4/1/1998,5.72
5/1/1998,5.71
6/1/1998,6.35
7/1/1998,4.98
8/3/1998,3.75
9/1/1998,4.3
10/1/1998,5.16
11/2/1998,5.48
12/1/1998,6.67
1/4/1999,6.19
2/1/1999,6.29
3/1/1999,6.67
4/1/1999,8.78
5/3/1999,8.77
6/1/1999,8.93
7/1/1999,5.53
8/2/1999,5.44
9/1/1999,5.89
10/1/1999,6.46
11/1/1999,6.31
12/1/1999,5.76
1/3/2000,7.61
2/1/2000,8.35
3/1/2000,10.65
4/3/2000,7.19
5/1/2000,8.08
6/1/2000,9.08
7/3/2000,8.91
8/1/2000,8.71
9/1/2000,9.52
10/2/2000,10.62
11/1/2000,10.83
12/1/2000,10.52
1/2/2001,11.87
2/1/2001,11.32
3/1/2001,10.09
4/2/2001,9.2
5/1/2001,9.28
6/1/2001,10.94
7/2/2001,8.58
8/1/2001,8.02
9/4/2001,7.1
10/1/2001,8.14
11/1/2001,8.42
12/3/2001,9.06
1/2/2002,11.3
2/4/2002,10.94
3/1/2002,11
4/1/2002,10.85
5/1/2002,11.54
6/3/2002,11.81
7/1/2002,9.33
8/1/2002,9.56
9/3/2002,9.82
10/1/2002,11.33
11/1/2002,10.34
12/2/2002,9.69
1/2/2003,10.8
2/3/2003,11.15
3/3/2003,12.25
4/1/2003,11.18
5/1/2003,11.73
6/2/2003,11.67
7/1/2003,12.99
8/1/2003,13.5
9/2/2003,13.69
10/1/2003,15.02
11/3/2003,15.3
12/1/2003,15.77
1/2/2004,17.41
2/2/2004,17.78
3/1/2004,18.01
4/1/2004,18.5
5/3/2004,19.3
6/1/2004,20.68
7/1/2004,22.34
8/2/2004,20.56
9/1/2004,21.61
10/1/2004,25.14
11/1/2004,26.75
12/1/2004,29.65
1/3/2005,25.67
2/1/2005,24.63
3/1/2005,24.56
4/1/2005,23.54
5/2/2005,26.05
6/1/2005,24.56
7/1/2005,24.98
8/1/2005,23.31
9/1/2005,23.82
10/3/2005,26.89
11/1/2005,28.95
12/1/2005,28.54
1/3/2006,30.14
2/1/2006,34.54
3/1/2006,35.78
4/3/2006,35.44
5/1/2006,33.9
6/1/2006,35.91
7/3/2006,32.55
8/1/2006,29.49
9/1/2006,32.38
10/2/2006,35.9
11/1/2006,33.56
12/1/2006,33.68
1/3/2007,33.22
2/1/2007,29.38
3/1/2007,29.82
4/2/2007,29.5
5/1/2007,27.4
6/1/2007,24.95
7/2/2007,25.37
8/1/2007,26.2
9/4/2007,24.91
10/1/2007,25.37
11/1/2007,22.24
12/3/2007,19.46
1/2/2008,17.98
2/1/2008,17.1
3/3/2008,16.64
