hours,kidslt6,kidsge6,age,educ,exper,nwifeinc ,expersq 
1610,1,0,32,12,14,10.91006,196
1656,0,2,30,12,5,19.49998,25
1980,1,3,35,12,15,12.03991,225
456,0,3,34,12,6,6.799996,36
1568,1,2,31,14,7,20.10006,49
2032,0,0,54,12,33,9.859054,1089
1440,0,2,37,16,11,9.152048,121
1020,0,0,54,12,35,10.90004,1225
1458,0,2,48,12,24,17.305,576
1600,0,2,39,12,21,12.925,441
1969,0,1,33,12,15,24.29995,225
1960,0,1,42,11,14,19.70007,196
240,1,2,30,12,0,15.00001,0
997,0,2,43,12,14,14.6,196
1848,0,1,43,10,6,24.63091,36
1224,0,3,35,11,9,17.53103,81
1400,0,2,43,12,20,14.09998,400
640,0,5,39,12,6,15.839,36
2000,0,0,45,12,23,14.1,529
1324,0,4,35,12,9,10.29996,81
2215,0,2,42,16,5,22.65498,25
1680,0,0,30,12,11,8.090048,121
1600,0,0,48,13,18,17.479,324
800,0,0,45,12,15,9.56,225
1955,1,1,31,12,4,8.274953,16
660,0,2,43,17,21,27.34999,441
525,0,0,59,12,31,16,961
1904,0,3,32,12,9,16.99998,81
1516,1,0,31,17,7,15.10006,49
346,0,0,42,12,7,15.69998,49
1040,0,0,50,11,32,5.11896,1024
732,0,0,59,16,11,16.75001,121
1880,0,2,36,13,16,13.59993,256
1680,0,1,51,12,14,17.10005,196
2081,0,3,45,16,27,16.73405,729
690,0,1,42,11,0,14.19698,0
4210,0,0,46,12,17,10.31999,289
2205,0,1,46,10,28,11.3841,784
1952,0,0,51,14,24,14.59408,576
1302,0,0,30,17,11,17.50044,121
112,1,2,30,12,1,15.51,1
893,0,0,57,12,14,21.99998,196
583,1,2,31,16,6,22.5,36
480,0,2,48,12,10,19.994,100
1900,0,3,30,12,6,14.13,36
576,0,2,34,12,4,5.000013,16
2056,0,2,48,16,10,21.1549,100
1984,0,0,45,12,22,7.141946,484
2640,0,0,51,12,16,16.65007,256
240,0,2,30,12,6,6.352,36
1173,0,1,46,12,12,27.31395,144
3640,0,0,58,12,32,14.5,1024
340,0,8,37,12,15,16.25799,225
500,0,0,52,8,17,9.5,289
1599,0,0,52,10,34,7.999956,1156
1830,0,0,31,16,9,12.50003,81
1920,0,0,55,14,37,14.00003,1369
2052,0,0,34,17,10,20.80007,100
2312,0,0,55,14,35,19.38511,1225
196,0,2,39,12,6,12.38699,36
2500,0,3,40,14,19,28.5,361
1980,0,4,43,12,10,15.04991,100
1840,0,0,48,8,11,10.49998,121
320,0,0,47,12,15,11.81,225
419,0,4,41,12,12,6.950073,144
1880,0,0,36,8,12,12.41997,144
72,0,2,46,17,14,17.4,196
120,0,0,34,12,11,15.5,121
1885,0,3,41,12,9,21.21704,81
240,0,1,51,12,24,18,576
1729,0,0,33,12,12,11.89992,144
1850,0,0,52,12,13,26.75196,169
2033,0,0,58,9,29,12.14996,841
608,2,4,34,10,11,10.19999,121
1153,0,1,31,12,13,8.120015,169
2208,0,1,48,12,19,10.65996,361
252,0,2,32,12,2,18.10001,4
337,0,0,49,17,24,8.599986,576
90,2,2,32,15,9,13.665,81
1174,0,0,58,12,6,32.34996,36
372,0,0,50,6,22,12.08501,484
30,0,0,60,14,30,12.15,900
1800,0,1,50,12,10,17.69502,100
282,0,0,56,14,6,24.7,36
720,0,0,51,9,29,2.133992,841
1440,0,1,54,17,29,20.95005,841
2100,0,0,59,13,36,10.50008,1296
1000,0,2,46,9,19,10.55,361
952,0,1,46,15,8,45.75,64
1413,1,3,39,12,13,13.63204,169
2100,0,2,44,12,16,18.23894,256
120,2,0,33,12,11,17.09,121
3000,1,2,33,12,15,30.2349,225
1000,0,2,48,12,6,28.7,36
336,0,4,31,12,13,19.63,169
1216,0,1,45,12,22,12.82494,484
988,0,1,45,12,24,23.8,576
2581,0,2,32,13,2,26.30003,4
2030,0,0,47,12,6,20.69991,36
413,0,2,34,13,2,26,4
