sex,laptop,height,weight,pulserate,forearm,shoe,sleep,eyes,piercings,attractive,country,pizza,residence,work,grade,life,superpower,kiss,handed
Female,No,166,56,59,30,30,15,Blue,2,6,AU,NA,College,20-Nov,6,Healthy,Fly,Yes,Right
Male,No,165,78,67,30,34,18,Brown,0,7,VN,Pineapple,Home,None,7,Healthy,Telepathy,Yes,Right
Female,No,163,68,60,22,19.5,20,Blue,2,4,AU,Fetta,College,20-Nov,7,Happy,Telepathy,Yes,Right
Female,No,163,50,62,22,23,27,Brown,4,6,HK,Mozzarella,Home,20-Nov,6,Happy,Freeze time,No,Right
Female,No,165,60,90,46,26,14,Brown,2,8,AU,Mozzarella,Home,21-30,6,Happy,Fly,No,Right
Male,No,180,70,70,27,30,17,Brown,0,5,AU,Mushroom,Home,None,5,Happy,Freeze time,No,Right
Female,Yes,174,60,48,24,22,8,Brown,2,7,AU,Mushroom,Other,None,6,Happy,Fly,Yes,Right
Female,No,168,89,70,25,24.5,25,Blue,4,5,NZ,Pineapple,Home,20-Nov,5,Rich,Fly,Yes,Right
Female,Yes,165,75,78,23,24,16,Brown,2,5,IN,Mushroom,Home,None,5,Happy,Fly,Yes,Right
Female,No,168,57,82,25,23,10,Brown,4,6,AU,Pepperoni,College,None,5,Happy,Fly,Yes,Right
Female,Yes,158,46,76,27,15,15,Brown,2,7,KE,Jalapeno,Shared Flat/House,None,6,Happy,Telepathy,Yes,Right
Female,No,170,63,68,26,26,18,Hazel,3,4,AU,Fetta,College,None,4,Happy,Fly,Yes,Right
Male,No,186,78,68,32,32,16,Green,0,7,AU,Mushroom,Home,5-Jan,6,Happy,Telepathy,Yes,Right
Female,No,150,40,84,26,21,16,Black,2,4,FJ,Pineapple,Home,None,4,Happy,Freeze time,No,Right
Female,No,152,46,80,23,23,22,Black,2,5,TH,NA,Alone,None,5,Happy,Invisibility,No,Right
Male,No,182,70,50,22,26,16,Brown,0,7,TW,Pineapple,Shared Flat/House,None,6,Happy,Freeze time,Yes,Right
Male,No,169,69,76,32,28,6,Brown,0,1,KR,Mozzarella,Shared Flat/House,None,7,Healthy,Freeze time,Yes,Left
Male,Yes,189,110,72,29,27,17,Green,0,4,AU,Mozzarella,Home,20-Nov,5,Happy,Fly,Yes,Left
Female,Yes,185,60,90,22,26,7,Blue,2,9,AU,Other,Home,None,7,Happy,Fly,Yes,Right
Female,No,162,61,68,20,19.5,22,Blue,5,7,DE,Pineapple,Shared Flat/House,None,6,Happy,Freeze time,No,Left
Male,No,180,80,75,35,20,16,Brown,0,10,AU,Pepperoni,Home,None,6,Happy,Freeze time,Yes,Right
Male,Yes,198,105,60,34,36,12,Hazel,0,5,AU,Other,Other,None,6,Happy,Freeze time,Yes,Right
Female,Yes,177,90,100,32,20,16,Blue,2,8,AU,Pepperoni,Home,20-Nov,4,Happy,Invisibility,Yes,Right
Female,No,159,46,90,22,25.5,18,Brown,2,7,AU,Fetta,Home,None,6,Happy,Telepathy,No,Right
Female,No,164,65,80,23,18,16,Hazel,2,3,AU,Pineapple,Home,10-Jun,6,Happy,Telepathy,No,Right
Female,Yes,157,45,58,32,25,14,Blue,2,7,AU,Ham,Home,20-Nov,4,Happy,Fly,Yes,Right
Female,No,156,58,58,37.5,24.5,23,Brown,7,6,MU,Mozzarella,Shared Flat/House,None,6,Rich,Telepathy,No,Right
Female,Yes,184,61,70,27,27,23,Blue,4,7,UK,Mozzarella,Home,20-Nov,6,Happy,Fly,Yes,Left
Male,No,180,85,60,40,25,15,Blue,0,10,AU,Mozzarella,Home,21-30,7,Happy,Fly,Yes,Right
Female,No,175,85,62,23,28,14,Blue,3,5,AU,Ham,Alone,None,6,Rich,Invisibility,Yes,Right
Female,Yes,158,42,76,23.5,24,15,Brown,6,3,AU,Pepperoni,Home,5-Jan,7,Rich,Telepathy,No,Left
Female,Yes,164,72,84,32,17,17,Hazel,9,6,AU,Pepperoni,Shared Flat/House,20-Nov,5,Healthy,Telepathy,Yes,Right
Female,Yes,153,68,84,30,25,24,Black,2,3,IN,Other,Home,None,4,Healthy,Freeze time,Yes,Right
Male,Yes,171,56,68,26,30,24,Brown,0,9,AU,Pineapple,Home,20-Nov,5,Happy,Telepathy,Yes,Right
Male,Yes,178,74,60,28,28,10,Brown,0,7,AU,Anchovy,Shared Flat/House,None,5,Happy,Telepathy,Yes,Right
Male,No,180,70,50,65,30,20,Black,0,6,MY,Pineapple,Home,5-Jan,5,Healthy,Super strength,No,Right
Male,No,170,63,72,46,21,16,Black,0,5,UG,Ham,Shared Flat/House,None,6,Happy,Invisibility,Yes,Right
Female,No,170,55,65,13,22,8,Green,2,5,AU,Fetta,Home,20-Nov,5,Happy,Fly,Yes,Left
Female,No,178,84,78,28,29,10,Green,5,6,AU,Pepperoni,Home,None,5,Happy,Invisibility,Yes,Right
Male,Yes,180,60,66,29.5,26,14,Brown,0,5,AU,Mushroom,Shared Flat/House,21-30,6,Rich,Telepathy,Yes,Left
Female,No,170,76,90,22,25,24,Green,4,2,AU,Pepperoni,Home,None,4,Happy,Fly,Yes,Right
Female,No,173,78,70,22,25,10,Brown,2,5,AU,Pepperoni,Shared Flat/House,21-30,6,Happy,Invisibility,Yes,Right
Female,No,170,50,146,26,25,20,Blue,2,10,AU,Mushroom,Home,5-Jan,5,Healthy,Fly,Yes,Right
Male,No,180,90,70,25,29,8,Blue,0,6,AU,Pepperoni,College,None,6,Happy,Invisibility,Yes,Right
Male,Yes,170,78,60,40,35,10,Hazel,0,7,AU,Anchovy,Shared Flat/House,None,2,Happy,Telepathy,Yes,Right
Male,Yes,179,110,70,26,34,14,Blue,0,5,AU,Pepperoni,Home,41+,4,Happy,Fly,Yes,Right
Female,No,170,67,58,22,25,13,Blue,2,5,AU,Garlic,Home,21-30,5,Happy,Fly,Yes,Right
Female,No,172,66,62,23,21,12,Brown,0,4,AU,Mushroom,Home,21-30,7,Happy,Telepathy,Yes,Right
Female,No,164,70,54,21,26,15.5,Green,3,7,AU,Olive,Home,41+,6,Rich,Invisibility,No,Right
Female,No,161,46,72,24,23.5,16,Brown,4,6,AU,Pineapple,Home,21-30,5,Rich,Invisibility,No,Right
Female,Yes,163,70,80,24,27,17,Green,2,6,SG,Onion,Home,20-Nov,5,Happy,Telepathy,Yes,Right
Male,No,185,65,69,50,25,18,Brown,0,5,FJ,Mozzarella,Home,None,6,Happy,Freeze time,No,Right
Male,No,173,64,64,48,20,8,Black,0,7,SG,NA,Shared Flat/House,None,6,Happy,Fly,Yes,Right
Male,Yes,173,63,70,36,24,24,Black,4,4,CN,Pepperoni,Shared Flat/House,None,4,Happy,Telepathy,Yes,Left
Male,No,193,95,80,32,35,14,Hazel,0,7,AU,Other,Shared Flat/House,None,7,Happy,Fly,Yes,Right
Female,Yes,158,58,62,42.1,22.3,17,Brown,0,3,SG,Seafood,Shared Flat/House,None,7,Healthy,Fly,No,Right
Female,Yes,165,72,72,24,29,13,Blue,3,4,AU,Pineapple,Home,20-Nov,5,Healthy,Telepathy,Yes,Right
Female,No,183,90,80,30,28,18,Hazel,2,8,AU,Mushroom,Shared Flat/House,None,5,Rich,Telepathy,Yes,Right
Female,No,165,68,74,24,24,18,Brown,6,6,AU,Mozzarella,Alone,21-30,6,Happy,Invisibility,Yes,Right
Male,Yes,180,80,70,32.5,29,13,Hazel,0,5,AU,Pineapple,Home,None,7,Happy,Fly,No,Right
Female,No,167,84,84,24,25,16,Brown,7,5,AU,Pepperoni,Shared Flat/House,31-40,6,Happy,Freeze time,Yes,Right
Female,Yes,159,50,78,25,23,21,Brown,2,4,IR,Jalapeno,Home,None,6,Happy,Telepathy,No,Right
Male,Yes,187,92.7,70,27,30,15,Brown,0,7,AU,Garlic,Alone,31-40,5,Happy,Freeze time,Yes,Right
Male,No,177,74,72,27,26,17,Brown,0,7,AU,Anchovy,Shared Flat/House,21-30,6,Happy,Freeze time,Yes,Right
Male,Yes,178.5,75,78,26,25.5,30,Green,0,6,AU,Ham,Home,None,6,Happy,Freeze time,Yes,Right
Male,No,180.1,65,72,28,29,14,Blue,0,6,AU,Pepperoni,Shared Flat/House,5-Jan,4,Happy,Freeze time,Yes,Right
Male,No,190,91,65,27.5,30,20,Blue,0,3,AU,Mozzarella,Home,None,7,Healthy,Super strength,Yes,Right
Male,No,175,72,72,27.5,26,13,Black,0,7,AU,Jalapeno,Home,None,6,Healthy,Telepathy,Yes,Left
Male,No,185,95,60,25,27,18,Blue,5,7,AU,Mozzarella,Shared Flat/House,None,6,Happy,Freeze time,Yes,Right
Female,Yes,164,49,55,23.5,26,22,Brown,2,6,ZW,Ham,Home,None,7,Happy,Telepathy,Yes,Right
Male,No,170,65,70,24.5,22,16,Blue,0,6,UK,Pepperoni,Home,None,7,Happy,Invisibility,Yes,Left
Female,No,164,54,46,31,29,17,Blue,2,7,AU,Fetta,Shared Flat/House,20-Nov,5,Healthy,Invisibility,Yes,Right
Male,Yes,175,62,64,43,32,12,Blue,0,7,AU,Pineapple,Home,41+,7,Happy,Freeze time,No,Right
Female,No,167,54,76,22,26,17,Hazel,0,7,AU,Fetta,Home,None,7,Happy,Fly,Yes,Right
Male,Yes,187,60,38,32,24,9,Brown,0,1,SD,Mushroom,Home,20-Nov,5,Healthy,Telepathy,Yes,Right
Female,No,175,60,65,25,23,23,Blue,3,7,UK,Pineapple,Other,5-Jan,5,Healthy,Fly,Yes,Right
Male,Yes,180,92,90,36,25,20,Blue,0,9,AU,Mozzarella,Home,20-Nov,7,Happy,Fly,Yes,Right
Female,No,183,80,72,25,24,15,Brown,2,4,AU,Pineapple,Shared Flat/House,20-Nov,6,Happy,Invisibility,Yes,Right
Male,No,181,80,82,27,30.5,12,Brown,0,6,SG,Pineapple,Home,None,7,Rich,Freeze time,Yes,Right
Female,Yes,166,63,66,23,22,16,Brown,2,5,AU,Mozzarella,Shared Flat/House,10-Jun,7,Happy,Telepathy,Yes,Right
Male,Yes,178,70,60,29.5,25,10,Brown,0,8,MZ,Other,Shared Flat/House,5-Jan,6,Rich,Telepathy,No,Right
Female,No,165,53,70,26,26,10,Green,2,6,AU,Mushroom,Other,None,5,Happy,Telepathy,Yes,Right
Male,Yes,186,78,78,80,17.5,16,Brown,0,9,AU,Ham,Shared Flat/House,None,6,Happy,Invisibility,Yes,Right
