YEAR,COST,K,L,E,M,PK,PL,PE,PM 
1947,182.3730000,.0510700,.2472700,.0425300,.6591300,1,1,1,1 
1948,183.1610000,.0581700,.2771600,.0512700,.6134000,1.0027000,1.1545700,1.3025800,1.0552500 
1949,186.5330000,.0460200,.2591100,.0507500,.6441100,.7437100,1.1558400,1.1966300,1.0662500 
1950,221.7100000,.0499100,.2479400,.0460600,.6560900,.9249700,1.2353500,1.1244200,1.1243000 
1951,255.9450000,.0503900,.2548700,.0448200,.6499200,1.0487700,1.3378400,1.2517900,1.2169400 
1952,264.6990000,.0491600,.2665500,.0446000,.6396900,.9974400,1.3794900,1.2791900,1.1996100 
1953,291.1600000,.0472800,.2683200,.0436900,.6407100,1.0065300,1.4345800,1.2750500,1.1904400 
1954,274.4570000,.0563500,.2716700,.0478700,.6241100,1.0875700,1.4536200,1.3035600,1.2061200 
1955,308.9080000,.0525800,.2646500,.0451700,.6376000,1.1031500,1.5112000,1.3427700,1.2383500 
1956,328.2860000,.0460400,.2688000,.0457600,.6394000,.9960600,1.5818600,1.3715400,1.2933600 
1957,338.6330000,.0503300,.2718400,.0482000,.6296200,1.0632100,1.6464100,1.3801000,1.3070300 
1958,323.3180000,.0601500,.2728300,.0483600,.6188600,1.1561900,1.6738900,1.3933800,1.3269900 
1959,358.4350000,.0618500,.2730300,.0456300,.6194800,1.3075800,1.7343000,1.3675600,1.3077400 
1960,366.2510000,.0578800,.2773800,.0458500,.6188900,1.2541300,1.7828000,1.3802500,1.3394600 
1961,366.1620000,.0590300,.2783900,.0464000,.6161700,1.2632800,1.8197700,1.3763000,1.3431900 
1962,390.6680000,.0557800,.2828000,.0453000,.6161300,1.2652500,1.8853100,1.3768900,1.3474500 
1963,412.1880000,.0560100,.2796800,.0447000,.6196200,1.3229400,1.9337900,1.3473700,1.3314300 
1964,433.7680000,.0545200,.2834300,.0439200,.6181400,1.3279800,2.0099800,1.3896900,1.3519700 
1965,474.9690000,.0546700,.2799600,.0411400,.6242300,1.4065900,2.0553900,1.3863500,1.3754200 
1966,521.2910000,.0546000,.2836300,.0401400,.6216300,1.4510000,2.1344100,1.4010200,1.4187800 
1967,540.9410000,.0544300,.2864600,.0407400,.6183700,1.3861700,2.2061600,1.3919700,1.4242800 
1968,585.4470000,.0575800,.2888300,.0397100,.6138800,1.4990100,2.3386900,1.4338800,1.4348100 
1969,630.4500000,.0541000,.2903100,.0396300,.6159700,1.4495700,2.4641200,1.4648100,1.5335600 
1970,623.4660000,.0525500,.2975500,.0434800,.6064200,1.3246400,2.6053200,1.4590700,1.5475800 
1971,658.2350000,.0467500,.2890500,.0447900,.6194000,1.2017700,2.7602500,1.6468900,1.5497800 
