  Year  Firm      I         F         C     
  1935  1    317.60   3078.50      2.80
  1936  1    391.80   4661.70     52.60
  1937  1    410.60   5387.10    156.90
  1938  1    257.70   2792.20    209.20
  1939  1    330.80   4313.20    203.40
  1940  1    461.20   4643.90    207.20
  1941  1    512.00   4551.20    255.20
  1942  1    448.00   3244.10    303.70
  1943  1    499.60   4053.70    264.10
  1944  1    547.50   4379.30    201.60
  1945  1    561.20   4840.90    265.00
  1946  1    688.10   4900.90    402.20
  1947  1    568.90   3526.50    761.50
  1948  1    529.20   3254.70    922.40
  1949  1    555.10   3700.20   1020.10
  1950  1    642.90   3755.60   1099.00
  1951  1    755.90   4833.00   1207.70
  1952  1    891.20   4924.90   1430.50
  1953  1   1304.40   6241.70   1777.30
  1954  1   1486.70   5593.60   2226.30
  1935  2     40.29    417.50     10.50
  1936  2     72.76    837.80     10.20
  1937  2     66.26    883.90     34.70
  1938  2     51.60    437.90     51.80
  1939  2     52.41    679.70     64.30
  1940  2     69.41    727.80     67.10
  1941  2     68.35    643.60     75.20
  1942  2     46.80    410.90     71.40
  1943  2     47.40    588.40     67.10
  1944  2     59.57    698.40     60.50
  1945  2     88.78    846.40     54.60
  1946  2     74.12    893.80     84.80
  1947  2     62.68    579.00     96.80
  1948  2     89.36    694.60    110.20
  1949  2     78.98    590.30    147.40
  1950  2    100.66    693.50    163.20
  1951  2    160.62    809.00    203.50
  1952  2    145.00    727.00    290.60
  1953  2    174.93   1001.50    346.10
  1954  2    172.49    703.20    414.90
  1935  3     33.10   1170.60     97.80
  1936  3     45.00   2015.80    104.40
  1937  3     77.20   2803.30    118.00
  1938  3     44.60   2039.70    156.20
  1939  3     48.10   2256.20    172.60
  1940  3     74.40   2132.20    186.60
  1941  3    113.00   1834.10    220.90
  1942  3     91.90   1588.00    287.80
  1943  3     61.30   1749.40    319.90
  1944  3     56.80   1687.20    321.30
  1945  3     93.60   2007.70    319.60
  1946  3    159.90   2208.30    346.00
  1947  3    147.20   1656.70    456.40
  1948  3    146.30   1604.40    543.40
  1949  3     98.30   1431.80    618.30
  1950  3     93.50   1610.50    647.40
  1951  3    135.20   1819.40    671.30
  1952  3    157.30   2079.70    726.10
  1953  3    179.50   2371.60    800.30
  1954  3    189.60   2759.90    888.90
  1935  4     12.93    191.50      1.80
  1936  4     25.90    516.00       .80
  1937  4     35.05    729.00      7.40
  1938  4     22.89    560.40     18.10
  1939  4     18.84    519.90     23.50
  1940  4     28.57    628.50     26.50
  1941  4     48.51    537.10     36.20
  1942  4     43.34    561.20     60.80
  1943  4     37.02    617.20     84.40
  1944  4     37.81    626.70     91.20
  1945  4     39.27    737.20     92.40
  1946  4     53.46    760.50     86.00
  1947  4     55.56    581.40    111.10
  1948  4     49.56    662.30    130.60
  1949  4     32.04    583.80    141.80
  1950  4     32.24    635.20    136.70
  1951  4     54.38    723.80    129.70
  1952  4     71.78    864.10    145.50
  1953  4     90.08   1193.50    174.80
  1954  4     68.60   1188.90    213.50
  1935  5    209.90   1362.40     53.80
  1936  5    355.30   1807.10     50.50
  1937  5    469.90   2676.30    118.10
  1938  5    262.30   1801.90    260.20
  1939  5    230.40   1957.30    312.70
  1940  5    261.60   2202.90    254.20
  1941  5    472.80   2380.50    261.40
  1942  5    445.60   2168.60    298.70
  1943  5    361.60   1985.10    301.80
  1944  5    288.20   1813.90    279.10
  1945  5    258.70   1850.20    213.80
  1946  5    420.30   2067.70    232.60
  1947  5    420.50   1796.70    264.80
  1948  5    494.50   1625.80    306.90
  1949  5    405.10   1667.00    351.10
  1950  5    418.80   1677.40    357.80
  1951  5    588.20   2289.50    342.10
  1952  5    645.20   2159.40    444.20
  1953  5    641.00   2031.30    623.60
  1954  5    459.30   2115.50    669.70
