OBS,GPA,TUCE,PSI,GRADE 
1,2.6600000,20,0,0 
2,2.8900000,22,0,0 
3,3.2800000,24,0,0 
4,2.9200000,12,0,0 
5,4,21,0,1 
6,2.8600000,17,0,0 
7,2.7600000,17,0,0 
8,2.8700000,21,0,0 
9,3.0300000,25,0,0 
10,3.9200000,29,0,1 
11,2.6300000,20,0,0 
12,3.3200000,23,0,0 
13,3.5700000,23,0,0 
14,3.2600000,25,0,1 
15,3.5300000,26,0,0 
16,2.7400000,19,0,0 
17,2.7500000,25,0,0 
18,2.8300000,19,0,0 
19,3.1200000,23,1,0 
20,3.1600000,25,1,1 
21,2.0600000,22,1,0 
22,3.6200000,28,1,1 
23,2.8900000,14,1,0 
24,3.5100000,26,1,0 
25,3.5400000,24,1,1 
26,2.8300000,27,1,1 
27,3.3900000,17,1,1 
28,2.6700000,24,1,0 
29,3.6500000,21,1,1 
30,4,23,1,1 
31,3.1000000,21,1,0 
32,2.3900000,19,1,1 
