QTR,Y,M1,P 
1950.1000000,267.6000000,110.2000000,56.0400000 
1950.2000000,277.1000000,111.7500000,56.2100000 
1950.3000000,294.8000000,112.9500000,56.4100000 
1950.4000000,306.3000000,113.9300000,56.6700000 
1951.1000000,320.4000000,115.0800000,56.7700000 
1951.2000000,328.3000000,116.1900000,57.0100000 
1951.3000000,335,117.7600000,56.9900000 
1951.4000000,339.2000000,119.8900000,57.5800000 
1952.1000000,341.9000000,121.3100000,57.5800000 
1952.2000000,342.1000000,122.3700000,57.5700000 
1952.3000000,347.8000000,123.6400000,57.9200000 
1952.4000000,360,124.7200000,58.5800000 
1953.1000000,366.1000000,125.3300000,58.7600000 
1953.2000000,369.4000000,126.0500000,58.8000000 
1953.3000000,368.4000000,126.2200000,59 
1953.4000000,363.1000000,126.3700000,58.7400000 
1954.1000000,362.5000000,126.5400000,59.3800000 
1954.2000000,362.3000000,127.1800000,59.5800000 
1954.3000000,366.7000000,128.3800000,59.4500000 
1954.4000000,375.6000000,129.7200000,59.7700000 
1955.1000000,388.2000000,131.0700000,60.2700000 
1955.2000000,396.2000000,131.8800000,60.6500000 
1955.3000000,404.8000000,132.4000000,61.0300000 
1955.4000000,411,132.6400000,61.4000000 
1956.1000000,412.8000000,133.1100000,61.9100000 
1956.2000000,418.4000000,133.3800000,62.4300000 
1956.3000000,423.5000000,133.4800000,63.1300000 
1956.4000000,432.1000000,134.0900000,63.6900000 
1957.1000000,440.2000000,134.2900000,64.4000000 
1957.2000000,442.3000000,134.3600000,64.6500000 
1957.3000000,449.4000000,134.2600000,65.2800000 
1957.4000000,444,133.4800000,65.3700000 
1958.1000000,436.8000000,133.7200000,65.6300000 
1958.2000000,440.7000000,135.2200000,65.7900000 
1958.3000000,453.9000000,136.6400000,66.1700000 
1958.4000000,467,138.4800000,66.4700000 
1959.1000000,477,140.3500000,67.0400000 
1959.2000000,490.6000000,141.7500000,67.5500000 
1959.3000000,489,142.2300000,67.8100000 
1959.4000000,495,141.2000000,68 
1960.1000000,506.9000000,140.8300000,68.4400000 
1960.2000000,506.3000000,140.8300000,68.5600000 
1960.3000000,508,142,68.8600000 
1960.4000000,504.8000000,141.9800000,68.9600000 
1961.1000000,508.2000000,142.8500000,68.8800000 
1961.2000000,519.2000000,143.8800000,69.2200000 
1961.3000000,528.2000000,144.9000000,69.5400000 
1961.4000000,542.6000000,146.1800000,69.6500000 
1962.1000000,554.2000000,147.1800000,70.2300000 
1962.2000000,562.7000000,147.9500000,70.4800000 
1962.3000000,568.9000000,147.9000000,70.6200000 
1962.4000000,574.3000000,148.9300000,71.0800000 
1963.1000000,582,150.4500000,71.4100000 
1963.2000000,590.7000000,151.9300000,71.4600000 
1963.3000000,601.8000000,153.3800000,71.6600000 
1963.4000000,612.4000000,154.8000000,72.1700000 
1964.1000000,625.3000000,155.8500000,72.3600000 
1964.2000000,634,157.2000000,72.5700000 
1964.3000000,642.8000000,159.7500000,72.9700000 
1964.4000000,648.8000000,161.6300000,73.1600000 
