     T           Prod  
  7.00000      .0113800
  9.00000      .0113800
  13.0000      .0113800
  14.0000      .0113800
  26.0000      .0113800
  29.0000      .0113800
  52.0000      .0113800
  130.000      .0113800
  9.00000      .0229900
  37.0000      .0229900
  41.0000      .0229900
  49.0000      .0229900
  52.0000      .0229900
  119.000      .0229900
  3.00000     -.0395700
  17.0000     -.0395700
  19.0000     -.0395700
  28.0000     -.0395700
  72.0000     -.0395700
  99.0000     -.0395700
  104.000     -.0395700
  114.000     -.0395700
  152.000     -.0395700
  153.000     -.0395700
  216.000     -.0395700
  15.0000     -.0546700
  61.0000     -.0546700
  98.0000     -.0546700
  2.00000      .00535000
  25.0000      .00535000
  85.0000      .00535000
  3.00000      .0742700
  10.0000      .0742700
  1.00000      .0645000
  2.00000      .0645000
  3.00000      .0645000
  3.00000      .0645000
  3.00000      .0645000
  4.00000      .0645000
  8.00000      .0645000
  11.0000      .0645000
  22.0000      .0645000
  23.0000      .0645000
  27.0000      .0645000
  32.0000      .0645000
  33.0000      .0645000
  35.0000      .0645000
  43.0000      .0645000
  43.0000      .0645000
  44.0000      .0645000
  100.000      .0645000
  5.00000     -.104430    
  49.0000     -.104430    
  2.00000     -.00700000
  12.0000     -.00700000
  12.0000     -.00700000
  21.0000     -.00700000
  21.0000     -.00700000
  27.0000     -.00700000
  38.0000     -.00700000
  42.0000     -.00700000
  117.000     -.00700000
