FIRM,YEAR,COST,OUTPUT,LPRICE,LSHARE,KPRICE,KSHARE,FPRICE,FSHARE 
1,1955,.0820000,2,2.0900000,.3164000,183,.4521000,17.9000000,.2315000 
2,1955,.6610000,3,2.0500000,.2073000,174,.6676000,35.1000000,.1251000 
3,1955,.9900000,4,2.0500000,.2349000,171,.5799000,35.1000000,.1852000 
4,1955,.3150000,4,1.8300000,.1152000,166,.7857000,32.2000000,.0990000 
5,1955,.1970000,5,2.1200000,.2300000,233,.3841000,28.6000000,.3859000 
6,1955,.0980000,9,2.1200000,.1881000,195,.2926000,28.6000000,.5193000 
7,1955,.9490000,11,1.9800000,.1584000,206,.6093000,35.5000000,.2323000 
8,1955,.6750000,13,2.0500000,.1880000,150,.4952000,35.1000000,.3169000 
9,1955,.5250000,13,2.1900000,.1852000,155,.3651000,29.1000000,.4496000 
10,1955,.5010000,22,1.7200000,.1845000,188,.2491000,15,.5664000 
11,1955,1.1940000,25,2.0900000,.1994000,170,.5478000,17.9000000,.2528000 
12,1955,.6700000,25,1.6800000,.1102000,167,.6118000,39.7000000,.2780000 
13,1955,.3490000,35,1.8100000,.1386000,213,.3817000,22.6000000,.4797000 
14,1955,.4230000,39,2.3000000,.1702000,164,.4137000,23.6000000,.4161000 
15,1955,.5010000,43,1.7500000,.1143000,170,.3481000,42.8000000,.5376000 
16,1955,.5500000,63,1.7600000,.0887000,161,.5184000,10.3000000,.3929000 
17,1955,.7950000,68,1.9800000,.1116000,210,.3054000,35.5000000,.5830000 
18,1955,.6640000,81,2.2900000,.1665000,158,.3859000,28.5000000,.4476000 
19,1955,.7050000,84,2.1900000,.1484000,156,.3630000,29.1000000,.4883000 
20,1955,.9030000,73,1.7500000,.0821000,176,.2910000,42.8000000,.6269000 
21,1955,1.5040000,99,2.2000000,.0906000,170,.3947000,36.2000000,.5146000 
22,1955,1.6150000,101,1.6600000,.1080000,192,.3675000,33.4000000,.5245000 
23,1955,1.1270000,119,1.9200000,.1980000,164,.4164000,22.5000000,.3856000 
24,1955,.7180000,120,1.7700000,.1648000,175,.2664000,21.3000000,.5688000 
25,1955,2.4140000,122,2.0900000,.2402000,180,.4949000,17.9000000,.2649000 
26,1955,1.1300000,130,1.8200000,.1171000,176,.2779000,38.9000000,.6049000 
27,1955,.9920000,138,1.8000000,.1304000,202,.4011000,20.2000000,.4686000 
28,1955,1.5540000,149,1.9200000,.0553000,227,.4320000,22.5000000,.5127000 
29,1955,1.2250000,196,1.9200000,.0722000,186,.4550000,29.1000000,.4728000 
30,1955,1.5650000,197,2.1900000,.0692000,183,.4151000,29.1000000,.5157000 
31,1955,1.9360000,209,1.9200000,.0801000,169,.4858000,22.5000000,.4340000 
32,1955,3.1540000,214,1.5200000,.1722000,168,.4839000,27.5000000,.3439000 
33,1955,2.5990000,220,1.9200000,.1500000,164,.4886000,22.5000000,.3614000 
