YEAR,Q,K,A 
1909,.6230000,2.0600000,1 
1910,.6160000,2.1000000,.9830000 
1911,.6470000,2.1700000,1.0210000 
1912,.6520000,2.2100000,1.0230000 
1913,.6800000,2.2300000,1.0640000 
1914,.6820000,2.2000000,1.0710000 
1915,.6690000,2.2600000,1.0410000 
1916,.7000000,2.3400000,1.0760000 
1917,.6790000,2.2100000,1.0650000 
1918,.7290000,2.2200000,1.1420000 
1919,.7670000,2.4700000,1.1570000 
1920,.7210000,2.5800000,1.0690000 
1921,.7700000,2.5500000,1.1460000 
1922,.7880000,2.4900000,1.1830000 
1923,.8090000,2.6100000,1.1960000 
1924,.8360000,2.7400000,1.2150000 
1925,.8720000,2.8100000,1.2540000 
1926,.8690000,2.8700000,1.2410000 
1927,.8710000,2.9300000,1.2350000 
1928,.8740000,3.0200000,1.2260000 
1929,.8950000,3.0600000,1.2510000 
1930,.8800000,3.3000000,1.1970000 
1931,.9040000,3.3300000,1.2260000 
1932,.8790000,3.2800000,1.1980000 
1933,.8690000,3.1000000,1.2110000 
1934,.9210000,3,1.2980000 
1935,.9430000,2.8700000,1.3490000 
1936,.9820000,2.7200000,1.4290000 
1937,.9710000,2.7100000,1.4150000 
1938,1,2.7800000,1.4450000 
1939,1.0340000,2.6600000,1.5140000 
1940,1.0820000,2.6300000,1.5900000 
1941,1.1220000,2.5800000,1.6600000 
1942,1.1360000,2.6400000,1.6650000 
1943,1.1800000,2.6200000,1.6920000 
1944,1.2650000,2.6300000,1.8120000 
1945,1.2960000,2.6600000,1.8500000 
1946,1.2150000,2.5000000,1.7690000 
1947,1.1940000,2.5000000,1.7390000 
1948,1.2210000,2.5500000,1.7670000 
1949,1.2750000,2.7000000,1.8090000 
