I    T        C             Q         PF            LF
1    1     1140640       .952757    106650       .534487
1    2     1215690       .986757    110307       .532328
1    3     1309570      1.091980    110574       .547736
1    4     1511530      1.175780    121974       .540846
1    5     1676730      1.160170    196606       .591167
1    6     1823740      1.173760    265609       .575417
1    7     2022890      1.290510    263451       .594495
1    8     2314760      1.390670    316411       .597409
1    9     2639160      1.612730    384110       .638522
1   10     3247620      1.825440    569251       .676287
1   11     3787750      1.546040    871636       .605735
1   12     3867750      1.527900    997239       .614360
1   13     3996020      1.660200    938002       .633366
1   14     4282880      1.822310    859572       .650117
1   15     4748320      1.936460    823411       .625603
2    1      569292       .520635    103795       .490851
2    2      640614       .534627    111477       .473449
2    3      777655       .655192    118664       .503013
2    4      999294       .791575    114797       .512501
2    5     1203970       .842945    215322       .566782
2    6     1358100       .852892    281704       .558133
2    7     1501350       .922843    304818       .558799
2    8     1709270      1.000000    348609       .572070
2    9     2025400      1.198450    374579       .624763
2   10     2548370      1.340670    544109       .628706
2   11     3137740      1.326240    853356       .589150
2   12     3557700      1.248520   1003200       .532612
2   13     3717740      1.254320    941977       .526652
2   14     3962370      1.371770    856533       .540163
2   15     4209390      1.389740    821361       .528775
3    1      286298       .262424    118788       .524334
3    2      309290       .266433    123798       .537185
3    3      342056       .306043    122882       .582119
3    4      374595       .325586    131274       .579489
3    5      450037       .345706    222037       .606592
3    6      510412       .367517    278721       .607270
3    7      575347       .409937    306564       .582425
3    8      669331       .448023    356073       .573972
3    9      783799       .539595    378311       .654256
3   10      913883       .539382    555267       .631055
3   11     1041520       .467967    850322       .569240
3   12     1125800       .450544   1015610       .589682
3   13     1096070       .468793    954508       .587953
3   14     1198930       .494397    886999       .565388
3   15     1170470       .493317    844079       .577078
4    1      145167       .086393    114987       .432066
4    2      170192       .096740    120501       .439669
4    3      247506       .141500    121908       .488932
4    4      309391       .169715    127220       .484181
4    5      354338       .173805    209405       .529925
4    6      373941       .164272    263148       .532723
4    7      420915       .170906    316724       .549067
4    8      474017       .177840    363598       .557140
4    9      532590       .192248    389436       .611377
4   10      676771       .242469    547376       .645319
4   11      880438       .256505    850418       .611734
4   12     1052020       .249657   1011170       .580884
4   13     1193680       .273923    951934       .572047
4   14     1303390       .371131    881323       .594570
4   15     1436970       .421411    831374       .585525
5    1       91361       .051028    118222       .442875
5    2       95428       .052646    116223       .462473
5    3       98187       .056348    115853       .519118
5    4      115967       .066953    129372       .529331
5    5      138382       .070308    243266       .557797
5    6      156228       .073961    277930       .556181
5    7      183169       .084946    317273       .569327
5    8      210212       .095474    358794       .583465
5    9      274024       .119814    397667       .631818
5   10      356915       .150046    566672       .604723
5   11      432344       .144014    848393       .587921
5   12      524294       .169300   1005740       .616159
5   13      530924       .172761    958231       .605868
5   14      581447       .186670    872924       .594688
5   15      610257       .213279    844622       .635545
6    1       68978       .037682    117112       .448539
6    2       74904       .039784    119420       .475889
6    3       83829       .044331    116087       .500562
6    4       98148       .050245    122997       .500344
6    5      118449       .055046    194309       .528897
6    6      133161       .052462    307923       .495361
6    7      145062       .056977    323595       .510342
6    8      170711       .061490    363081       .518296
6    9      199775       .069027    386422       .546723
6   10      276797       .092749    564867       .554276
6   11      381478       .112640    874818       .517766
6   12      506969       .154154   1013170       .580049
6   13      633388       .186461    930477       .556024
6   14      804388       .246847    851676       .537791
6   15     1009500       .304013    819476       .525775
