year    q    k      A  
1909  .623  2.06  1.000
1910  .616  2.10  0.983
1911  .647  2.17  1.021
1912  .652  2.21  1.023
1913  .680  2.23  1.064
1914  .682  2.20  1.071
1915  .669  2.26  1.041
1916  .700  2.34  1.076
1917  .679  2.21  1.065
1918  .729  2.22  1.142
1919  .767  2.47  1.157
1920  .721  2.58  1.069
1921  .770  2.55  1.146
1922  .788  2.49  1.183
1923  .809  2.61  1.196
1924  .836  2.74  1.215
1925  .872  2.81  1.254
1926  .869  2.87  1.241
1927  .871  2.93  1.235
1928  .874  3.02  1.226
1929  .895  3.06  1.251
1930  .880  3.30  1.197
1931  .904  3.33  1.226
1932  .879  3.28  1.198
1933  .869  3.10  1.211
1934  .921  3.00  1.298
1935  .943  2.87  1.349
1936  .982  2.72  1.429
1937  .971  2.71  1.415
1938 1.000  2.78  1.445
1939 1.034  2.66  1.514
1940 1.082  2.63  1.590
1941 1.122  2.58  1.660
1942 1.136  2.64  1.665
1943 1.180  2.62  1.692
1944 1.265  2.63  1.812
1945 1.296  2.66  1.850
1946 1.215  2.50  1.769
1947 1.194  2.50  1.739
1948 1.221  2.55  1.767
1949 1.275  2.70  1.809
