ord	mouza	village	VILLAGE	di	long	lat	Best.Longitude	Best.Latitude	BAMvill[, 12]
1	7021	702101	Araihazar Krishnapura	33	90,65625508	23,78073495	90,65935368	23,79072071	6000_BAMWSP3
2	7021	702102	Araihazar	317	90,65625508	23,78073495	90,65596687	23,78751639	lat long all
3	7021	702103	Dighirpar	51	90,65625508	23,78073495	90,65880182	23,78698534	lat long all
4	7021	702104	Debipura	28	90,65625508	23,78073495	90,65494694	23,78692505	lat long all
5	7021	702106	Nagar Para	41	90,65625508	23,78073495	90,65625508	23,78073495	Mouza loc
6	7247	724701	Chhota Barai Para	76	90,65912851	23,79055266	NA	NA	Mouza loc
7	7376	737601	Faitadi	13	90,65305788	23,77622106	90,65305788	23,77622106	Mouza loc
8	7403	740301	Gazipur	172	90,65232941	23,79717303	90,65232941	23,79717303	Mouza loc
9	7467	746701	Binar Char	69	90,6458136	23,78795718	90,6458136	23,78795718	6000_BAMWSP3
10	7467	746702	Jhaugara	239	90,6458136	23,78795718	90,64638732	23,78966449	6000_BAMWSP3
11	7467	746703	Lakhupura	52	90,6458136	23,78795718	90,636711	23,78220966	6000_BAMWSP3
12	7467	746704	Dighaldi	18	90,6458136	23,78795718	90,6458136	23,78795718	6000_BAMWSP3
13	7467	746705	Jhaugara Krishnapura	25	90,6458136	23,78795718	90,6458136	23,77895718	Mouza loc
14	7559	755901	Majar Char	71	90,64302111	23,80089699	90,64302111	23,78889699	Mouza loc
15	7559	755902	Kamrangir Char	204	90,64302111	23,80089699	90,64362183	23,796623	6000_BAMWSP3
16	7559	755903	Hatkhola	61	90,64302111	23,80089699	90,64302111	23,79489699	Mouza loc
17	7559	755904	Dspara	113	90,64302111	23,80089699	90,64302111	23,79789699	Mouza loc
18	7559	755905	Chamirkandi	152	90,64302111	23,80089699	90,63557885	23,80250404	6000_BAMWSP3
19	7559	755906	Mougakanda	72	90,64302111	23,80089699	90,64302111	23,78589699	Mouza loc
20	7586	758601	Krishnapura	129	90,65054869	23,79055266	90,65269206	23,78820048	6000_BAMWSP3
21	7683	768301	Mirka (Baganagar)	115	90,66329701	23,79909144	90,66256571	23,79774653	6000_BAMWSP3
22	7693	769301	Mukundi	118	90,65625508	23,7970978	90,6524121	23,79267164	6000_BAMWSP3
23	7715	771501	Nager Char	73	90,65378636	23,79190683	90,65116893	23,79171627	6000_BAMWSP3
24	7747	774701	Noapara	248	90,65006304	23,78065972	90,65008906	23,78369253	6000_BAMWSP3
25	7747	774799	Abdullahpur	35	90,65006304	23,78065972	90,64802657	23,78041871	lat long all
26	7871	787101	Shibpur	120	90,65999414	23,78292336	90,65638971	23,78427226	lat long all
27	15172	1517201	P. Bishnadi	136	90,72321625	23,77950778	90,72321625	23,77050778	Mouza loc
28	15172	1517202	Purbapara	89	90,72321625	23,77950778	90,72321625	23,76750778	Mouza loc
29	15172	1517203	Kala Para	57	90,72321625	23,77950778	90,72321625	23,77350778	Mouza loc
30	15172	1517204	Chaler Char	40	90,72321625	23,77950778	90,72321625	23,77650778	Mouza loc
31	15172	1517299	Bishnandi	117	90,72321625	23,77950778	90,72321625	23,77950778	Mouza loc
32	15209	1520901	Chaitankandi	333	90,71481661	23,76033872	90,71481661	23,76033872	Mouza loc
33	15301	1530101	Dari Bishnandi	144	90,72884097	23,78954539	NA	NA	
34	15301	1530102	Naya Para	131	90,72884097	23,78954539	NA	NA	
35	15333	1533301	Dayakanda	188	90,70536707	23,73545376	90,70536707	23,73545376	Mouza loc
36	15333	1533302	Naya Para	28	90,70536707	23,73545376	90,70536707	23,72945376	Mouza loc
37	15333	1533303	Kanda Para	39	90,70536707	23,73545376	90,66840198	23,7925145	lat long all
38	15408	1540801	Gazipura	234	90,72209128	23,79609775	90,72209128	23,79309775	Mouza loc
39	15408	1540802	Baluakandi	86	90,72209128	23,79609775	90,72209128	23,79609775	Mouza loc
40	15564	1556401	Karaitala	273	90,73454072	23,78034424	NA	NA	
41	15564	1556402	Sharifpur	71	90,73454072	23,78034424	NA	NA	
42	15564	1556404	Roypura	12	90,73454072	23,78034424	NA	NA	
43	15666	1566601	Manikpur	198	90,71136679	23,77511633	90,71136679	23,77511633	Mouza loc
44	15849	1584901	Sambhupura	23	90,71961641	23,7431911	90,71961641	23,7431911	Mouza loc
45	15941	1594101	Tetia	46	90,72644109	23,75629578	90,71713683	23,75916969	lat long all
46	15984	1598401	Ulukanda	76	90,73206581	23,76570604	90,73206581	23,76570604	Mouza loc
47	23086	2308601	Balia Para	282	90,59061136	23,76557581	90,58984	23,7707	my 6000
48	23086	2308602	Kadamdi	29	90,59061136	23,76557581	90,5943	23,76849	my 6000
49	23086	2308603	Bhartibalia para	77	90,59061136	23,76557581	90,588204	23,7636381	6000_BAMWSP3
50	23112	2311201	Bara Manohardi	301	90,62618524	23,78468461	90,61552	23,78279	my 6000
51	23139	2313901	Bhati Gobindi	67	90,59732952	23,77163194	90,59996858	23,77698554	6000_BAMWSP3
52	23166	2316601	Binair Char	470	90,6331867	23,78927373	90,62609	23,79186	my 6000
53	23188	2318801	Brahmandi	220	90,6409571	23,77182002	90,63541928	23,77292534	6000_BAMWSP3
54	23263	2326301	Chhota Manohardi	39	90,61841484	23,78122396	90,61346	23,7807	my 6000
55	23360	2336001	Dighaldi	255	90,63092033	23,77731192	90,63092033	23,77731192	Mouza loc
56	23371	2337101	Edbardi	233	90,60963266	23,76422164	90,61186	23,75825	my 6000
57	23371	2337102	Utrapur	104	90,60963266	23,76422164	90,59872481	23,76516665	6000_BAMWSP3
58	23371	2337103	Pajardia	38	90,60963266	23,76422164	90,604228	23,767368	6000_BAMWSP3
59	23381	2338101	Fasua	387	90,6280469	23,7645978	90,62412393	23,76723582	6000_BAMWSP3
60	23462	2346201	Jatrabari (Bailaramandi)	128	90,64314253	23,77900463	90,64314253	23,77900463	Mouza loc
61	23591	2359101	Kumarbagh	45	90,61841484	23,76286748	90,61513336	23,76192118	6000_BAMWSP3
62	23623	2362301	Laskardi	444	90,61521764	23,77279803	90,6118	23,77538	my 6000
63	23634	2363401	Lengardi	111	90,62140968	23,75921875	90,61643039	23,75906768	6000_BAMWSP3
64	23677	2367701	Maruadi	232	90,63363188	23,77441551	90,62983	23,77177	my 6000
65	23704	2370401	Muraldi	7	90,61934567	23,76681713	90,61934567	23,76681713	Mouza loc
66	23726	2372601	Narindi	142	90,62606383	23,77652199	90,62513	23,78074	my 6000
67	23742	2374201	Noadda	56	90,63735519	23,76700521	90,63485003	23,76682094	6000_BAMWSP3
68	23785	2378501	Prabhabardi	221	90,62371652	23,75365162	90,62371652	23,75365162	Mouza loc
69	23833	2383301	Rishir Char	123	90,60663782	23,77644676	90,60387298	23,77781498	6000_BAMWSP3
70	23874	2387401	Silmondi Para	69	90,62420217	23,7626794	NA	NA	
71	23925	2392501	Sulpandi	53	90,62699466	23,78073495	90,61827781	23,77165409	6000_BAMWSP3
72	23978	2397801	Ujan Gobindi	224	90,62545676	23,78976273	90,62244681	23,78802372	6000_BAMWSP3
73	31069	3106901	Bajri	160	90,60044578	23,79329861	90,60232685	23,79076678	6000_BAMWSP3
74	31069	3106902	Purbapara	82	90,60044578	23,79329861	90,60044578	23,79029861	Mouza loc
75	31069	3106903	Titi Para	76	90,60044578	23,79329861	90,60044578	23,78729861	Mouza loc
76	31096	3109601	Bandi	239	NA	NA	NA	NA	
77	31365	3136501	Hatkhola Para	126	90,60789241	23,80578704	90,61520971	23,79185918	6000_BAMWSP3
78	31365	3136502	Kalibari Bazar	19	90,60789241	23,80578704	90,60789241	23,79678704	Mouza loc
79	31365	3136503	Patita Para	29	90,60789241	23,80578704	90,60789241	23,77278704	Mouza loc
80	31365	3136504	Kumar Para	89	90,60789241	23,80578704	90,61098	23,79800846	6000_BAMWSP3
81	31365	3136505	Khan Para	68	90,60789241	23,80578704	90,60789241	23,79378704	Mouza loc
82	31365	3136506	Raghabdi	75	90,60789241	23,80578704	90,60789241	23,76978704	Mouza loc
83	31365	3136507	Singrati	15	90,60789241	23,80578704	90,60789241	23,76378704	Mouza loc
84	31365	3136508	Nutanbati	50	90,60789241	23,80578704	NA	NA	
85	31365	3136509	Malpara	30	90,60789241	23,80578704	90,60789241	23,78478704	Mouza loc
86	31365	3136510	Chowdhury Para	40	90,60789241	23,80578704	90,60789241	23,80578704	Mouza loc
87	31365	3136511	Girda Para	188	90,60789241	23,80578704	90,60704585	23,80031862	6000_BAMWSP3
88	31365	3136512	Nagar Para	48	90,60789241	23,80578704	90,60789241	23,78178704	Mouza loc
89	31365	3136513	Rashi Para	49	90,60789241	23,80578704	90,60789241	23,76678704	Mouza loc
