tstamp	tyear	pow
200201151615   14.67708   7597
200201151620   14.68056   7872
200201151625   14.68403   7216
200201151630   14.68750   7475
200201151635   14.69097   7483
200201151640   14.69444   7110
200201151645   14.69792   6888
200201151650   14.70139   7071
200201151655   14.70486   7742
200201151700   14.70833   7262
200201151705   14.71181   6835
200201151710   14.71528   6820
200201151715   14.71875   6309
200201151720   14.72222   6355
200201151725   14.72569   6180
200201151730   14.72917   5921
200201151735   14.73264   5151
200201151740   14.73611   4542
200201151745   14.73958   4602
200201151750   14.74306   5029
200201151755   14.74653   5387
200201151800   14.75000   5586
200201151805   14.75347   5517
200201151810   14.75694   5364
200201151815   14.76042   5105
200201151820   14.76389   4831
200201151825   14.76736   4892
200201151830   14.77083   5433
200201151835   14.77431   5372
200201151840   14.77778   5479
200201151845   14.78125   5593
200201151850   14.78472   5517
200201151855   14.78819   5174
200201151900   14.79167   5425
200201151905   14.79514   5418
200201151910   14.79861   4862
200201151915   14.80208   5220
200201151920   14.80556   5159
200201151925   14.80903   4503
200201151930   14.81250   4046
200201151935   14.81597   3688
200201151940   14.81944   3543
200201151945   14.82292   3437
200201151950   14.82639   3673
200201151955   14.82986   3962
200201152000   14.83333   4458
200201152005   14.83681   4709
200201152010   14.84028   4709
200201152015   14.84375   4709
200201152020   14.84722   4755
200201152025   14.85069   4755
200201152030   14.85417   4222
200201152035   14.85764   4031
200201152040   14.86111   4595
200201152045   14.86458   4999
200201152050   14.86806   4938
200201152055   14.87153   4648
200201152100   14.87500   4831
200201152105   14.87847   4839
200201152110   14.88194   4702
200201152115   14.88542   5022
200201152120   14.88889   5631
200201152125   14.89236   5814
200201152130   14.89583   5601
200201152135   14.89931   4854
200201152140   14.90278   4534
200201152145   14.90625   4816
200201152150   14.90972   4740
200201152155   14.91319   4320
200201152200   14.91667   4633
200201152205   14.92014   5235
200201152210   14.92361   5486
200201152215   14.92708   5586
200201152220   14.93056   5776
200201152225   14.93403   5532
200201152230   14.93750   5273
200201152235   14.94097   4877
200201152240   14.94444   4694
200201152245   14.94792   4389
200201152250   14.95139   3627
200201152255   14.95486   3673
200201152300   14.95833   3170
200201152305   14.96181   2736
200201152310   14.96528   2675
200201152315   14.96875   2126
200201152320   14.97222   1593
200201152325   14.97569   1189
200201152330   14.97917   1539
200201152335   14.98264   1646
200201152340   14.98611   1814
200201152345   14.98958   2598
200201152350   14.99306   2873
200201152355   14.99653   1798
200201160000   15.00000   1433
200201160005   15.00347   1265
200201160010   15.00694   1372
200201160015   15.01042   1958
200201160020   15.01389   1806
200201160025   15.01736   1722
200201160030   15.02083   1943
200201160035   15.02431   1699
200201160040   15.02778   1387
200201160045   15.03125   1356
200201160050   15.03472   1676
200201160055   15.03819   1623
200201160100   15.04167   1806
200201160105   15.04514   2065
200201160110   15.04861   2042
200201160115   15.05208   1928
200201160120   15.05556   1593
200201160125   15.05903   1334
200201160130   15.06250   1265
200201160135   15.06597   1227
200201160140   15.06944   1250
200201160145   15.07292   1364
200201160150   15.07639   1730
200201160155   15.07986   2286
200201160200   15.08333   1783
200201160205   15.08681   1067
200201160210   15.09028    701
200201160215   15.09375    838
200201160220   15.09722    594
200201160225   15.10069    556
