OBS	AIRQUAL	COAST	DENSITY	ELECTR	FUELOIL	INDESTAB	MEDINCM	POPLN	POVERTY	RAIN	VALADD
1	104	1	1815.9	5.2	175.5	839	4397	1420	1939	12.63	2734.4
2	85	1	804.9	8.7	400.1	840	5667	1390	933	47.14	2479.2
3	127	1	1907.9	14.4	4079.8	1867	15817	3375	379	42.77	4845
4	145	0	1876.1	100.7	7260.1	5753	32698	6979	961	33.18	19733.8
5	84	1	340.9	9.4	60.6	1498	6250	1556	1791	34.55	4093.6
6	135	0	335.5	9	609.4	596	4705	1228	346	14.81	1849.8
7	88	1	315.8	169.8	1843.8	1064	7165	1985	1791	45.94	4179.4
8	118	0	360.4	9.9	424.8	508	4472	1110	589	39.25	2525.3
9	74	1	12957.5	9.4	2535.2	742	2658	609	478	42.36	1899.2
10	104	1	1728.2	60	855.9	5916	33885	7032	1939	12.63	15257.1
11	64	1	621	3.4	498.7	937	5160	1268	1305	59.76	1219
12	75	1	529.6	32.1	72.4	344	3738	1046	952	53.9	992.9
13	131	1	5397.5	32.5	4542.1	9466	59460	11529	1665	42.37	15120.8
14	129	1	1356	73.3	19122.9	3161	19224	4818	1271	42.48	9189.9
15	84	1	276.4	11.4	1434.5	669	3944	1009	197	37.18	1596.9
16	165	1	787.5	98.6	2985.1	981	9281	2401	1271	36.14	4157.3
17	80	1	318.6	1.7	39.9	363	5012	1358	1939	12.63	1185.2
18	59	1	1255	40.2	659.9	1480	15710	3110	1939	18.69	3817.7
19	110	0	750.3	17.9	374	388	2509	679	1145	35.35	1686.2
20	120	1	325.4	6.9	75.4	305	2627	721	1665	35.08	1322
21	118	1	916.8	27.4	7679.1	878	8019	2071	392	43.05	3476.2
22	120	1	271.6	24.5	819.7	380	2425	739	876	68.13	1123.8
23	120	0	645.8	14.4	451.1	221	1364	372	1145	35.35	1151.6
24	59	1	819.2	7	18.4	559	4155	1065	1939	18.69	2896.3
25	74	1	2649.1	25.1	7298.4	1748	8947	1857	478	42.36	5608.6
26	124	0	9642.9	16.5	692.2	1027	5952	1404	285	29.51	3700
27	69	1	1105.6	4.3	1402.3	437	4146	817	177	42.92	1395.5
28	118	0	910.8	15.3	225.1	465	3207	827	589	41.32	3022.8
29	129	0	379.6	5.2	177.3	479	853	539	853	31.22	1515.4
30	129	0	455.9	19.3	297.8	453	853	693	853	30.95	1878.9
