AGE	CEOTEN	COLLEGE	COMTEN	GRAD	MKTVAL	PROFITS	PROFMARG	SALARY	SALES
49	2	1	9	1	23200	966	15.58064556	1161	6200
43	10	1	10	1	1100	48	16.96113	600	283
51	3	1	9	1	1100	40	23.66863823	379	169
55	22	1	22	0	1000	-54	-4.909091	651	1100
44	6	1	8	1	387	28	7.977208	497	351
64	7	1	7	1	3900	614	3.231579	1067	19000
59	10	1	35	0	623	24	4.477612	945	536
63	8	1	32	1	2100	191	3.979166746	1261	4800
47	4	1	4	1	454	7	1.147540927	503	610
64	5	1	39	1	3900	230	7.931035	1094	2900
54	7	1	26	1	533	34	2.833333254	601	1200
66	8	1	39	0	477	8	1.428571463	355	560
72	37	1	37	0	678	35	4.396985	1200	796
51	1	1	25	0	5700	234	2.853658438	697	8200
63	11	1	21	1	1400	91	2.116279	1041	4300
44	7	1	7	1	558	24	17.77777863	245	135
68	4	1	38	0	847	55	4.230769	817	1300
71	12	0	31	0	1200	115	17.06231499	1675	674
72	24	1	33	1	609	69	4.928571	971	1400
58	1	1	36	0	880	69	6.272727489	609	1100
60	6	1	20	1	2200	210	9.130435	470	2300
59	14	1	36	0	1500	81	9.162896	867	884
54	4	1	32	0	3200	193	12.0625	752	1600
51	8	1	8	0	458	13	16.66666603	246	78
56	4	1	4	1	5900	295	2.757009268	825	10700
50	4	1	23	1	2300	25	25.25252533	358	99
58	6	1	24	0	1800	226	5.947368622	1162	3800
43	2	1	15	0	713	28	18.66666603	270	150
56	8	1	14	0	1500	184	8.363636	829	2200
77	26	0	45	0	4700	483	7	300	6900
62	4	1	13	1	9100	596	7.180723	1627	8300
63	9	1	37	1	6200	108	2.347826	1237	4600
61	1	1	37	1	5600	549	10.55769253	540	5200
66	14	1	21	1	12500	338	1.390946507	1798	24300
40	1	1	18	0	2000	117	4.333333492	474	2700
60	13	1	21	1	4300	562	12.48888874	1336	4500
51	4	1	30	0	1200	82	5.857143	541	1400
66	4	1	4	1	412	28	47.45762634	129	59
54	5	1	21	1	20400	1200	17.64705849	1700	6800
66	24	1	31	1	17900	1400	8.641975	1750	16200
61	13	1	21	1	934	109	9.909091	624	1100
66	8	1	14	0	487	-60	-2.608695745	791	2300
51	3	1	3	0	2800	182	0.8198198	1487	22200
56	3	1	34	0	42900	2700	5.263158	2021	51300
47	3	1	19	1	4900	120	10.909091	1550	1100
64	8	1	44	0	670	57	9.982487	401	571
62	8	1	8	0	16400	1300	12.14953232	1295	10700
56	1	1	31	0	538	37	5.597579479	449	661
56	3	1	9	1	6700	34	8.923884	456	381
53	1	1	30	1	26300	1900	6.785714	1142	28000
64	2	1	26	0	5700	287	9.566667	577	3000
56	7	1	18	1	4000	-40	-0.341880351	600	11700
44	4	1	4	1	475	17	5.059523582	649	336
60	20	1	22	0	752	77	8.59375	822	896
