OBS	ABSBRAKE	AIRCOND	ALFAR	ANY04	ANY05	ASSISTED	AUDI	AUSTIN	AUTOM	BMW	CHRYSLER	CID	CITROEN	CLIMCON	DAEWOO	DIESEL	ELECWIN	FIAT	FORD	FUELCONS	FUELEFF	HEIGHT	HONDA	HP	HPWEIGHT	HYUNDAI	KIA	LANCIA	LENGTH	MAXSPEED	MAZDA	MERCEDES	MINIVAN	MITSUBIS	NDOORS	NISSAN	OBSID	OPEL	PEUGEOT	PRICE	RENAULT	ROVER	SAAB	SEAT	SKODA	TALBOT	TOYOTA	VOLKS	VOLUME	VOLVO	WEIGHT	WIDTH
ALFAR	1	0	1	1	0	1	0	0	0	0	0	1970	0	1	0	0	1	0	0	8.6	5.212121212	139	0	165	12.84046693	0	0	0	443	220	0	0	0	0	1	0	-0.99999956	0	0	4492422	0	0	0	0	0	0	0	0	10.775975	0	1285	175
ALFAR	1	0	1	0	1	1	0	0	0	0	0	1970	0	1	0	0	1	0	0	8.6	5.212121212	139	0	165	12.84046693	0	0	0	443	220	0	0	0	0	1	0	-0.999999549	0	0	4592783	0	0	0	0	0	0	0	0	10.775975	0	1285	175
ALFAR	1	0	1	1	0	1	0	0	0	0	0	1598	0	1	0	0	1	0	0	8.2	6.833333333	144	0	120	10	0	0	0	417	195	0	0	0	0	0	0	-0.999999502	0	0	3273645	0	0	0	0	0	0	0	0	10.388304	0	1200	173
ALFAR	1	0	1	0	1	1	0	0	0	0	0	1598	0	1	0	0	1	0	0	8.2	6.833333333	144	0	120	10	0	0	0	417	195	0	0	0	0	0	0	-0.999999491	0	0	3378443	0	0	0	0	0	0	0	0	10.388304	0	1200	173
ALFAR	1	0	1	1	0	1	0	0	1	0	0	2492	0	1	0	0	1	0	0	11.9	6.197916667	143	0	192	14.1697417	0	0	0	444	227	0	0	0	0	1	0	-0.999999468	0	0	5788902	0	0	0	0	0	0	0	0	11.047608	0	1355	174
ALFAR	1	0	1	0	1	1	0	0	1	0	0	2492	0	1	0	0	1	0	0	11.9	6.197916667	143	0	192	14.1697417	0	0	0	444	227	0	0	0	0	1	0	-0.999999456	0	0	5806705	0	0	0	0	0	0	0	0	11.047608	0	1355	174
AUDI	1	0	0	1	0	1	1	0	0	0	0	1595	0	1	0	0	1	0	0	7	6.862745098	142	0	102	8.46473029	0	0	0	420	185	0	0	0	0	0	0	-0.999998993	0	0	3630543	0	0	0	0	0	0	0	0	10.55628	0	1205	177
AUDI	1	0	0	0	1	1	1	0	0	0	0	1595	0	1	0	0	1	0	0	7	6.862745098	142	0	102	8.46473029	0	0	0	420	185	0	0	0	0	0	0	-0.999998981	0	0	3630545	0	0	0	0	0	0	0	0	10.55628	0	1205	177
AUDI	1	0	0	1	0	1	1	0	0	0	0	1781	0	1	0	0	1	0	0	8.2	5.030674847	143	0	163	11.8115942	0	0	0	455	228	0	0	0	0	1	0	-0.999998866	0	0	4969980	0	0	0	0	0	0	0	0	11.516505	0	1380	177
AUDI	1	0	0	0	1	1	1	0	0	0	0	1781	0	1	0	0	1	0	0	8.2	5.030674847	143	0	163	11.8115942	0	0	0	459	228	0	0	0	0	1	0	-0.999998854	0	0	5041495	0	0	0	0	0	0	0	0	11.617749	0	1380	177
AUDI	1	0	0	1	0	1	1	0	0	0	0	2976	0	1	0	0	1	0	0	9.7	4.409090909	145	0	220	14.86486486	0	0	0	480	243	0	0	0	0	1	0	-0.999998738	0	0	6999859	0	0	0	0	0	0	0	0	12.5976	0	1480	181
AUDI	1	0	0	0	1	1	1	0	0	0	0	3123	0	1	0	0	1	0	0	9.7	3.803921569	145	0	255	16.55844156	0	0	0	492	250	0	0	0	0	1	0	-0.999998727	0	0	7593857	0	0	0	0	0	0	0	0	12.91254	0	1540	181
AUDI	1	0	0	1	0	1	1	0	0	0	0	2976	0	1	0	0	1	0	0	9.7	4.409090909	145	0	220	14.86486486	0	0	0	480	243	0	0	0	0	1	0	-0.999998692	0	0	7369236	0	0	0	0	0	0	0	0	12.5976	0	1480	181
AUDI	1	0	0	0	1	1	1	0	0	0	0	3123	0	1	0	0	1	0	0	9.7	3.803921569	145	0	255	16.55844156	0	0	0	492	250	0	0	0	0	1	0	-0.999998681	0	0	8001503	0	0	0	0	0	0	0	0	12.91254	0	1540	181
BMW	1	0	0	1	0	1	0	0	0	1	0	1796	0	1	0	0	1	0	0	7.1	6.120689655	142	0	116	8.854961832	0	0	0	447	200	0	0	0	0	1	0	-0.999998275	0	0	4276120	0	0	0	0	0	0	0	0	11.044476	0	1310	174
BMW	1	0	0	0	1	1	0	0	0	1	0	1796	0	1	0	0	1	0	0	7.1	6.120689655	142	0	116	8.854961832	0	0	0	447	200	0	0	0	0	1	0	-0.999998264	0	0	4342675	0	0	0	0	0	0	0	0	11.044476	0	1310	174
BMW	1	0	0	1	0	1	0	0	0	1	0	1995	0	1	0	0	1	0	0	7.4	5.174825175	142	0	143	10.83333333	0	0	0	447	218	0	0	0	0	1	0	-0.999998067	0	0	4658808	0	0	0	0	0	0	0	0	11.044476	0	1320	174
BMW	1	0	0	0	1	1	0	0	0	1	0	1995	0	1	0	0	1	0	0	7.4	5.174825175	142	0	143	10.83333333	0	0	0	447	218	0	0	0	0	1	0	-0.999998056	0	0	4742001	0	0	0	0	0	0	0	0	11.044476	0	1320	174
BMW	1	0	0	1	0	1	0	0	0	1	0	2171	0	1	0	0	1	0	0	8.9	5.235294118	142	0	170	12.23021583	0	0	0	447	226	0	0	0	0	1	0	-0.999997789	0	0	5499978	0	0	0	0	0	0	0	0	11.044476	0	1390	174
BMW	1	0	0	0	1	1	0	0	0	1	0	2171	0	1	0	0	1	0	0	8.9	5.235294118	142	0	170	12.23021583	0	0	0	447	226	0	0	0	0	1	0	-0.999997778	0	0	5540654	0	0	0	0	0	0	0	0	11.044476	0	1390	174
BMW	1	0	0	1	0	1	0	0	0	1	0	2979	0	1	0	0	1	0	0	9.1	3.939393939	142	0	231	16.15384615	0	0	0	447	250	0	0	0	0	1	0	-0.999997685	0	0	6538970	0	0	0	0	0	0	0	0	11.044476	0	1430	174
BMW	1	0	0	0	1	1	0	0	0	1	0	2979	0	1	0	0	1	0	0	9.1	3.939393939	142	0	231	16.15384615	0	0	0	447	250	0	0	0	0	1	0	-0.999997674	0	0	6605524	0	0	0	0	0	0	0	0	11.044476	0	1430	174
