"INF"	"UNEMPL"	"YEAR"
5.6	1.048773923918378	1970
8.300000000000001	1.501055429598937	1971
8.199999999999999	2.121602954980807	1972
11.4	2.272216815153103	1973
15.7	2.600349168698573	1974
16.9	3.806937579542428	1975
14.9	4.854390647600019	1976
24.44	5.186330553967806	1977
19.76	6.939729616163281	1978
15.71	8.634496225300133	1979
15.55	11.41461752904009	1980
14.59	14.03041632064798	1981
14.41	15.84268167200206	1982
12.2	17.32845087585669	1983
9	20.0772723519926	1984
8.199999999999999	21.45091283323914	1985
8.300000000000001	20.97708654478898	1986
4.5	20.22128342787178	1987
5.8	19.23765290527695	1988
6.9	17.24144838895834	1989
6.5	16.23355220773119	1990
5.5	16.31147662758918	1991
5.3	18.35550365455412	1992
4.9	22.63903611239422	1993
4.3	24.11896799354776	1994
4.3	22.897480596654	1995
3.2	22.07834298955548	1996
2	20.61036218505417	1997
1.4	18.60227422874262	1998
2.9	15.63906712498884	1999
4	13.87202630612643	2000
2.7	10.55151909287302	2001
4	11.4727335661553	2002
2.6	11.47839561108254	2003
3.2	10.97097824356122	2004
3.7	9.162798982334799	2005
2.7	8.513598161952645	2006
4.2	8.264423008389795	2007
1.4	11.33828630201438	2008
0.8	18.0129924294795	2009
3	19.97510494478756	2010
