"EXPONSAL"	"HIGHTECH"	"LOWTECH"	"MEDTECH"	"RD"	"RDINTENS"	"SALES"	"WORKERS"
60.9985	0	0	1	21414750	0.4079	52500000	413
70.98440000000001	1	0	0	65136960.00000002	1.0052	64800000.00000001	253
0.9610000000000001	0	1	0	0	0	6450000	61
4.940300000000001	0	1	0	0	0	18300000	197
80.50450000000001	0	0	1	127647520	4.4632	28600000	222
0	0	0	1	0	0	4650000	2
0.5965	0	1	0	0	0	2480000	31
46.9869	0	0	1	272655000.0000001	0.06570000000000001	4150000000.000001	4819
62.07	0	0	1	0	0	38800000	297
14.8816	0	1	0	5992704	1.8496	3240000	35
0	0	0	1	0	0	1550000	29
0	0	1	0	0	0	572000	10
15.5915	0	0	1	0	0	1730000	23
30.1635	0	0	1	32545920	1.6951	19200000	100
77.49549999999999	0	0	1	149666000	0.6803	220000000	919
0	0	1	0	0	0	2640000	21
0	0	1	0	0	0	5480000	54
0	0	0	1	0	0	1850000	16
0	0	0	1	0	0	916000	13
10.3838	0	1	0	60899.99999999999	0.0174	3500000	28
0	0	1	0	0	0	133000	5
0	1	0	0	0	0	2030000	39
4.1524	0	1	0	0	0	5490000	62
0	0	0	1	0	0	564000	15
45.7713	0	0	1	49952609	15.9593	3130000	26
62.9295	0	1	0	0	0	6430000	34
58.1222	0	1	0	64843620.00000001	3.642900000000001	17800000	139
0	0	1	0	0	0	6340000	59
4.804	0	0	1	0	0	2840000	23
51.0158	0	1	0	0	0	2550000	7
66.8874	0	1	0	0	0	852000	12
0	0	1	0	0	0	1640000	21
5.5313	0	1	0	0	0	2090000	34
37.0991	0	1	0	0	0	2740000	43
53.5371	1	0	0	0	0	10600000	58
39.788	0	1	0	30852032	3.2272	9560000	50
0	0	1	0	0	0	709000	12
2.8624	0	0	1	0	0	1720000	11
0	1	0	0	0	0	3190000	13
0	0	1	0	0	0	1560000	19
0	1	0	0	0	0	965000	13
0	0	0	1	109069000	7.521999999999999	14500000	114
0	0	0	1	0	0	450000	12
44.2274	0	0	1	0	0	1470000	33
7.0005	0	1	0	0	0	2080000	22
0	0	1	0	0	0	793000	31
4.2287	0	1	0	0	0	4290000	26
1.7027	0	1	0	4423640	3.4028	1300000	14
1.0843	0	1	0	0	0	2400000	33
6.964099999999999	0	1	0	0	0	1220000	20
0	0	0	1	400114	0.1399	2860000	22
66.3395	0	1	0	0	0	4140000	68
25.1454	0	1	0	0	0	2360000	15
4.4559	0	0	1	0	0	1140000	17
50.9273	0	1	0	0	0	4080000	50
0.1555	0	1	0	0	0	4280000	70
93.0261	1	0	0	177099000	1.5535	114000000	304
30.0262	0	0	1	0	0	74500000	471
0	0	1	0	0	0	182000	24
0	0	0	1	0	0	766000	25
0	0	0	1	0	0	2620000	20
0	0	1	0	0	0	2820000	51
1.6741	0	1	0	0	0	4690000	36
58.1242	0	1	0	1951209	0.5559	3510000	49
0	0	0	1	0	0	2080000	25
0	1	0	0	0	0	1090000	11
23.8995	0	1	0	0	0	842000	14
15.7367	0	1	0	0	0	3360000	41
0	0	0	1	0	0	403000	10
7.0349	1	0	0	1810806	0.7361000000000001	2460000	14
50.2032	1	0	0	309043199.9999999	0.6035999999999999	512000000	1346
63.57420000000001	1	0	0	86227020	1.1877	72600000	210
14.2377	1	0	0	28870950	0.6637	43500000	300
99.2715	1	0	0	10008000	0.07200000000000001	139000000	219
6.231	1	0	0	356604930	4.8917	72900000	382
30.723	1	0	0	2515473000	6.273	401000000	1598
29.7464	1	0	0	4273010700	10.7093	399000000	1312
13.6815	1	0	0	8661512500	15.0635	575000000	1977
0	0	1	0	0	0	503000	10
96.1447	0	1	0	151420300	3.1415	48200000	287
35.8796	0	0	1	47740000	2.17	22000000	160
2.4514	0	1	0	65913000	0.519	127000000	1020
72.42960000000001	0	0	1	124721520	3.1416	39700000	197
68.29429999999999	0	1	0	100512400	2.1295	47200000	299
11.3905	1	0	0	13932720	0.6276000000000001	22200000	104
27.3788	1	0	0	11506660	0.2123	54200000	321
9.2584	0	0	1	25455410	0.3727	68300000	484
89.59049999999999	0	0	1	1079866400	4.3543	248000000	1034
59.7885	0	0	1	23132525000	4.2445	5450000000	11926
72.32300000000001	0	0	1	3554445000	1.3939	2550000000	6364
0	0	0	1	103249600	0.2746	376000000	2702
0	0	1	0	18290000	0.059	310000000	648
11.4831	0	1	0	0	0	2280000	27
10.9173	0	1	0	17051700	0.7545	22600000	49
10.6827	1	0	0	19116240	0.2228	85800000	240
9.680800000000001	0	1	0	22159620	0.8589	25800000	298
94.6294	0	0	1	49939200	0.3264	153000000	246
2.0811	0	1	0	0	0	2910000	23
0	0	1	0	0	0	5230000	109
1.268	0	1	0	0	0	1900000	11
0	0	1	0	0	0	1530000	35
2.1952	0	1	0	0	0	769000	15
0.6696	0	1	0	0	0	8680000	81
10.6832	0	1	0	19843005	7.2685	2730000	39
0	0	1	0	0	0	1120000	17
0.1633	0	1	0	0	0	1290000	23
75.6592	0	1	0	243147599.9999999	2.0961	116000000	592
55.9875	0	1	0	190635500	0.2783	685000000	2317
0	0	1	0	0	0	129000000	362
0	0	1	0	0	0	207000000	479
56.4541	0	1	0	14794980	0.3473	42600000	439
0	1	0	0	9471880	0.9196	10300000	27
0	0	0	1	0	0	855000.0000000001	30
84.9889	0	0	1	90330280	2.3281	38800000	196
60.5374	0	0	1	0	0	25300000	77
90.6964	0	0	1	12001310	0.3023	39700000	348
3.5966	1	0	0	278045199.9999999	5.276	52699999.99999999	312
34.16370000000001	0	1	0	0	0	8320000	46
8.4308	0	1	0	6839923.999999999	3.7582	1820000	28
80.67919999999999	0	1	0	10601679	3.4089	3110000	31
0	0	0	1	0	0	1430000	24
86.0102	0	0	1	550800	0.0153	36000000	208
7.469	0	1	0	330000.0000000001	0.003	110000000	240
13.8101	1	0	0	0	0	28700000	57
0	1	0	0	1324666130	17.0047	77900000	304
0	0	1	0	0	0	6210000	33
31.2263	0	1	0	286160.9999999999	0.05429999999999999	5270000	32
65.0754	0	0	1	34167120	1.0951	31200000	231
15.8639	1	0	0	2482350	1.235	2010000	31
0	0	0	1	0	0	2460000	22
22.2009	0	0	1	201547500	1.2215	165000000	967
25.2371	1	0	0	0	0	25300000	50
32.9555	1	0	0	226616880	2.5096	90300000	446
23.8603	0	0	1	0	0	1360000000	3606
0	0	1	0	0	0	996000.0000000001	6
6.2265	0	0	1	0	0	41200000	275
29.2811	0	0	1	42270240	1.2732	33200000	172
15.3866	0	0	1	217455400	1.3763	158000000	279
20.819	0	0	1	0	0	21000000	80
17.8663	0	1	0	12341100	1.9905	6200000	33
0	0	1	0	6336537.000000001	1.5123	4190000.000000001	50
47.0318	0	1	0	11929240	1.324	9010000	85
0	0	1	0	0	0	2280000	28
61.13570000000001	0	1	0	20547000	0.1522	135000000	280
10.624	0	0	1	82180400	0.5011	164000000	847
42.5098	0	0	1	2159352.000000001	0.3076	7020000	17
44.6256	0	1	0	16604020	0.3698	44900000	294
0	0	1	0	0	0	1040000	47
9.8818	0	1	0	0	0	1280000	19
13.493	1	0	0	0	0	9770000	75
0	0	1	0	2308956.000000001	2.0254	1140000	19
0.8987999999999999	1	0	0	16891200	0.1656	102000000	380
61.09090000000001	1	0	0	529181400	4.3734	121000000	317
2.1871	0	0	1	0	0	16600000	47
19.1806	1	0	0	15912380	1.0538	15100000	74
13.6448	0	0	1	0	0	1490000	12
27.5365	0	1	0	0	0	3120000	22
