AGE	CAREPROV	CARESELF	CHILDU15	CHILDUP3	CHILDUP5	CHRONDIS	CIVILSTAT	CLOTHPRV	EDUC	EMPLOYEE	FEMALE	FLEXSCHED	FOODPROV	FULLTIME	GOODHLTH	HELPOTHF	HHINC	HHSIZE	HOBBIES	HOMEMNT	HOUSWIFE	HOUSWORK	LABFORCE	LEISURE	MEDTIME	NORESDOM	PAIDWORK	PERSINC	PRIVEMPL	PUBEMPL	REGION	RESDMSTC	RETIRED	SATURDAY	SLEEP	SOCLIFE	SPANIARD	SPORT	STUDY	SUNDAY	TOTALWRK	UNEMPLYD	UNPAIDWK	VOLWORK	WEEKDOMH	WEEKWRKH	WORKDAY	WORKNOPR
50	0	120	0	0	0	0	1	232,5	8	0	0	0	221,4285714	0	1	0	1371,9	2	0	166,0714286	1	620	0	310	50	0	0	0	0	0	12	0	0	0	510	140	1	0	0	0	620	0	620	0	0	0	1	0
41	0	160	2	1	1	0	1	0	12	1	1	0	0	1	1	0	1248,25	4	0	0	0	0	1	240	80	0	720	1124,66	1	0	13	0	0	0	480	0	1	0	0	0	720	0	0	0	0	40	1	0
29	0	130	0	0	0	0	2	58,73015873	8	0	0	0	152,6984127	0	1	0	1248,25	5	0	528,5714286	0	740	1	130	0	0	0	0	0	0	12	0	0	0	570	0	1	0	0	0	740	1	740	0	0	0	1	0
66	0	150	0	0	0	1	1	0	6,5	0	1	0	0	0	0	0	1248,25	3	0	0	0	0	0	890	450	0	0	0	0	0	9	0	1	0	550	90	1	200	0	0	0	0	0	0	0	0	1	0
37	0	110	0	0	0	1	1	200	6,5	0	0	0	140	0	1	0	760,95	2	0	100	1	440	0	430	320	0	0	0	0	0	5	0	0	0	570	0	1	0	0	0	440	0	440	0	0	0	1	0
33	60	100	2	0	0	0	1	0	8	1	1	0	0	1	1	0	1371,9	4	0	0	0	60	1	230	100	0	680	1371,9	1	0	10	0	0	0	470	30	1	0	0	0	740	0	60	0	0	40	1	0
75	0	150	0	0	0	0	1	70	6,5	0	1	0	180	0	1	0	760,95	2	0	50	0	300	0	600	330	0	0	0	0	0	15	0	1	0	540	0	1	120	0	0	300	0	300	0	0	0	1	0
53	12,94117647	120	0	0	0	0	1	0	6,5	0	0	0	297,6470588	0	1	0	0	3	0	129,4117647	1	440	0	450	230	0	0	0	0	0	13	0	0	1	550	0	1	100	0	0	440	0	440	0	0	0	0	0
78	0	120	0	0	0	1	3	260	9	0	0	0	0	0	1	140	760,95	1	130	0	0	260	0	480	70	0	0	0	0	0	3	0	1	0	560	160	1	0	0	0	400	0	400	140	0	0	1	0
70	0	140	0	0	0	1	1	30	0	0	0	0	60	0	0	0	0	4	0	80	1	170	0	680	540	0	0	0	0	0	1	0	0	0	590	0	1	0	0	0	170	0	170	0	0	0	1	0
56	15	160	0	0	0	0	1	15	8	1	1	1	15	1	1	0	1248,25	3	0	15	0	60	1	480	140	0	450	1124,66	0	1	9	0	0	0	450	120	1	60	0	0	510	0	60	0	0	0	1	0
62	0	180	0	0	0	1	1	100	0	0	0	0	210	0	0	0	1740,81	2	0	290	0	600	0	180	0	0	0	0	0	0	9	0	1	0	660	0	1	0	0	1	600	0	600	0	0	0	0	0
71	27,5	190	0	0	0	1	1	27,5	17	0	1	0	27,5	0	0	0	1740,81	3	210	27,5	0	110	0	850	360	1	0	0	0	0	5	0	1	0	480	90	1	0	0	0	110	0	110	0	5	0	1	0
37	110	150	2	1	1	0	1	0	9	1	1	0	10	1	1	0	1539,52	4	0	0	0	120	1	340	60	0	490	769,759	1	0	9	0	0	0	490	130	1	0	0	0	610	0	120	0	0	40	1	0
57	0	150	0	0	0	1	1	77,14285714	8	0	0	0	244,2857143	0	1	30	2596,79	4	0	128,5714286	0	450	1	440	100	0	0	342,621	0	0	9	0	0	1	550	130	1	30	0	0	450	0	480	30	0	0	0	0
59	0	180	0	0	0	0	1	180	6,5	0	0	0	157,5	0	1	60	313,4	2	0	202,5	1	540	0	440	100	0	0	0	0	0	9	0	0	1	460	100	1	0	0	0	540	0	600	60	0	0	0	0
40	40	90	2	0	0	0	1	0	9	1	1	1	40	1	1	0	1753,43	4	40	0	0	80	1	170	30	0	790	983,669	1	0	8	0	0	0	400	10	1	0	0	0	870	0	80	0	0	0	1	0
60	37,5	420	0	0	0	0	1	37,5	20	0	1	0	37,5	0	1	0	4219,79	3	0	37,5	0	150	1	840	110	0	0	1723,23	0	0	1	0	0	0	450	310	1	0	0	1	150	0	150	0	0	0	0	0
