AGE	CAREPROV	CARSELF	CHILD35	CHILD515	CHILDU15	CHILDUP3	CHILDUP5	CHRONDIS	CIVILSTAT	CLOTHPRV	DOMESTIC	EDUC	EMPLOYEE	FEMALE	FLEXSCHD	FOODPROV	FULLTIME	GOODHLTH	HELPOTHF	HHINC	HHSIZE	HOBBIES	HOMEMNT	HOUSWIFE	LABFORCE	MEDTIME	NONRESDOM	PAIDWORK	PERSINC	PRIVEMPL	PUBEMPL	REGION	RESDMSTC	RETIRED	SATURDAY	SLEEP	SOCLIFE	SPANIARD	SPORT	STUDY	SUNDAY	UNEMPL	WATCHTV	WEEKDOMH	WEEKWRKH	WORKDAY	WORKNOPR	Y2009
59	0	110	0	0	0	0	0		2	0	0	12	1	1	1	327.2727273	0	1	0	2433.18	2	0	72.72727273	0	1	140		300	911.388			16		0	0	490	0	1	0	0	0	0	100		20	1	0	1
40	0	180	0	0	0	0	0	0	2	0	0	12	0	0	0	90	0	1	30	1248.25	2	0	40	0	1	30	0	0	769.759	0	0	9	0	0	0	550	280	1	0	240	1	0	0	0	0	0	0	0
52	0	270	0	0	0	0	0		4	0	0	4.5	1	0	0	0	0	1	0	1212.93	2	0	210	0	1	130		0	0			3		0	0	680	0	1	150	0	1	1	60		0	0	0	1
46	145.3846154	180	0	0	1	1	1		3	0	0	12	1	0	0	16.15384615	1	1	0	2433.18	3	0	48.46153846	0	1	0		610	2214.12			16		0	0	390	0	1	50	0	0	0	0		35	1	0	1
55	0	250	0	1	1	0	0	0	1	0	0	12	0	0	0	0	0	1	0	1740.81	4	0	0	0	1	370	0	340	1371.9	0	0	9	0	0	0	480	0	1	0	0	0	0	370	0	0	1	0	0
34	10	140	1	0	2	1	2	0	1	0	0	8	1	0	0	20	1	1	0	1112.38	4	0	0	0	1	60	0	770	769.759	1	0	13	0	0	0	440	0	1	0	0	0	0	50	0	40	1	0	0
65	0	110	0	0	0	0	0		2	40	0	8	0	1	0	220	0	1	0	1212.93	3	0	40	1	0	320		0	0			15		0	1	570	80	1	60	0	0	0	270		0	0	0	1
41	0	110	0	0	0	0	0		4	0	0	8	1	0	0	50	1	1	0	1392.46	1	0	0	0	1	370		0	1392.46			15		0	0	850	30	1	0	0	1	0	370		45	0	30	1
67	54	330	0	0	0	0	0		2	0	0	2.5	0	0	0	0	0	0	0	313.399	2	0	36	0	0	200		0	0			1		1	0	720	30	1	70	0	0	0	200		0	1	0	1
16	0	150	0	0	0	0	0	0	2	0	1	6.5	0	1	0	0	0	1	0	2975.23	5	0	0	0	0	50	1	0	0	0	0	1	0	0	0	530	0	1	0	710	0	0	50	40	0	1	0	0
59	0	170	0	0	0	0	0	1	3	0	0	8	0	1	0	281.875	0	1	10	760.95	1	0	128.125	0	0	180	0	0	0	0	0	7	0	1	0	560	20	1	90	0	0	0	80	0	0	1	0	0
77	72	290	0	0	0	0	0		2	0	1	15	0	0	0	72	0	1	0	0	3	0	36	0	0	110		0	0			17		1	0	530	270	1	60	0	0	0	0		0	1	0	1
42	0	230	0	1	1	0	0	0	1	35.45454545	0	11	0	1	0	177.2727273	0	1	0	769.76	4	0	177.2727273	1	0	220	0	0	0	0	0	13	0	0	0	530	10	1	60	0	0	0	220	0	0	1	0	0
17	0	90	0	1	1	0	0	0	2	0	0	8	0	1	0	0	0	1	0	3601.12	4	50	0	0	0	90	0	0	0	0	0	9	0	0	0	450	20	1	0	740	0	0	90	0	0	1	0	0
56	0	150	0	0	0	0	0		2	30	0	4.5	0	1	0	130	0	1	120	2433.18	3	0	70	1	0	300		0	0			14		0	0	530	110	1	0	0	0	0	300		0	1	0	1
40	120	50	0	0	1	1	1		2	0	0	12	0	1	0	10	1	1	0	2433.18	3	0	120	0	1	0		800	1392.46			1		0	0	340	0	1	0	0	1	0	0		60	0	0	1
65	0	190	0	0	0	0	0	1	5	47.77777778	1	2.5	0	1	0	270.7407407	0	1	0	760.95	3	0	111.4814815	0	0	230	1	0	0	0	0	9	0	1	1	510	80	1	0	0	0	0	230	1	0	0	0	0
69	27.5	210	0	0	0	0	0	1	1	27.5	0	6.5	0	0	0	27.5	0	1	0	760.95	2	0	27.5	0	0	110	0	0	0	0	0	9	0	1	0	550	70	1	390	0	0	0	110	0	0	1	0	0
74	12.5	800	0	1	1	0	0		3	12.5	0	2.5	0	0	0	12.5	0	1	0	0	9	0	12.5	0	0	0		0	0			1		1	1	570	20	1	0	0	0	0	0		0	0	0	1
45	0	140	0	0	0	0	0	0	1	0	0	15	1	1	0	60	1	1	0	2249.32	2	0	0	0	1	70	0	630	1124.66	1	0	9	0	0	0	510	30	1	0	0	0	0	70	0	40	1	0	0
27	0	120	0	0	0	0	0	0	2	0	0	9	1	1	1	100	1	1	0	4604.19	2	0	0	0	1	140	0	570	3232.29	0	1	18	0	0	0	510	0	1	0	0	0	0	140	0	35	1	0	0
56	127.5	180	0	0	0	0	0	0	1	113.3333333	0	8	0	1	0	269.1666667	0	1	0	3006.8	6	0	0	1	0	160	0	0	0	0	0	15	0	0	0	480	110	1	0	0	0	0	160	0	0	1	0	0
23	0	160	0	0	0	0	0	0	2	0	0	12	1	0	0	0	1	1	0	1248.25	3	0	0	0	1	120	0	430	1124.66	1	0	1	0	0	0	530	130	1	70	0	0	0	120	0	40	1	0	0
70	140	200	1	0	1	0	1	1	3	0	0	2.5	0	0	0	0	0	1	0	1248.25	5	0	180	0	0	180	0	0	0	0	0	11	0	1	0	590	150	1	0	0	0	0	180	0	0	1	0	0
33	0	160	0	0	0	0	0	0	2	0	0	8	1	0	0	0	1	1	0	1248.25	2	0	0	0	1	350	0	470	769.759	1	0	16	0	0	0	310	150	1	0	0	0	0	280	0	40	1	0	0
71	237.9591837	350	0	0	0	0	0	1	1	0	0	8	0	1	0	183.877551	0	1	0	1248.25	3	0	108.1632653	1	0	80	0	0	0	0	0	3	0	0	0	230	250	1	0	0	0	0	80	0	0	1	0	0
25	0	170	0	0	0	0	0		1	78	0	8	1	1	0	0	0	1	0	313.399	2	0	182	0	1	470		0	0			3		0	0	540	0	1	0	0	0	1	400		0	1	0	1
55	0	110	0	0	0	0	0	1	1	55.88235294	0	8	0	1	0	324.1176471	0	0	0	1124.66	4	0	0	1	0	260	0	0	0	0	0	10	0	0	0	580	110	1	0	0	1	0	190	0	0	0	0	0
45	0	180	0	1	1	0	0		2	0	0	12	1	0	1	0	1	1	0	2433.18	4	0	30	0	1	180		360	1392.46			1		0	0	510	180	1	0	0	0	0	180		35	1	0	1
31	0	150	0	0	1	1	1		1	0	0	12	1	1	0	100	0	1	0	1212.93	4	0	0	0	1	230		0	0			10		0	0	950	10	0	0	0	0	1	230		0	1	0	1
28	0	50	0	0	0	0	0	0	2	0	0	9	1	1	0	0	1	1	180	1740.81	5	0	0	0	1	120	0	460	769.759	0	1	2	0	0	0	510	120	1	0	0	0	0	120	0	40	1	0	0
68	0	140	0	0	0	0	0		2	250	1	2.5	0	1	0	240	0	0	0	313.399	2	0	170	1	0	0		0	0			11		0	0	540	100	1	0	0	0	0	0		0	1	0	1
86	0	150	0	0	0	0	0		3	0	0	2.5	0	0	0	0	0	1	0	1212.93	4	0	0	0	0	400		0	0			14		1	0	590	300	1	0	0	0	0	400		0	1	0	1
72	0	140	0	0	0	0	0		2	0	0	8	0	1	0	0	0	1	0	0	2	0	260	1	0	620		0	0			8		0	0	420	0	1	0	0	0	0	620		0	1	0	1
45	0	120	0	0	0	0	0	1	2	0	0	11	0	0	0	0	0	1	0	2235.26	3	130	0	0	0	150	0	0	0	0	0	16	0	1	0	480	30	1	150	380	0	0	70	0	0	1	0	0
19	0	160	0	1	1	0	0	0	2	0	0	8	0	0	0	20	0	1	0	2235.26	4	130	0	0	0	50	0	0	0	0	0	9	0	0	0	450	0	1	160	470	0	0	50	0	0	1	0	0
39	0	100	0	0	0	0	0	0	2	0	0	15	0	1	0	60	0	1	0	1248.25	2	0	0	0	0	0	0	0	0	0	0	7	0	0	0	510	190	1	20	560	0	0	0	0	0	1	0	0
51	0	130	0	0	0	0	0	0	2	0	1	20	1	1	1	0	1	1	0	2730.65	1	110	20	0	1	30	1	500	2688.84	0	1	9	0	0	0	490	90	1	70	0	0	0	0	2	40	1	0	0
