"","x"
"1",200.1
"2",199.5
"3",199.4
"4",198.9
"5",199
"6",200.2
"7",198.6
"8",200
"9",200.3
"10",201.2
"11",201.6
"12",201.5
"13",201.5
"14",203.5
"15",204.9
"16",207.1
"17",210.5
"18",210.5
"19",209.8
"20",208.8
"21",209.5
"22",213.2
"23",213.7
"24",215.1
"25",218.7
"26",219.8
"27",220.5
"28",223.8
"29",222.8
"30",223.8
"31",221.7
"32",222.3
"33",220.8
"34",219.4
"35",220.1
"36",220.6
"37",218.9
"38",217.8
"39",217.7
"40",215
"41",215.3
"42",215.9
"43",216.7
"44",216.7
"45",217.7
"46",218.7
"47",222.9
"48",224.9
"49",222.2
"50",220.7
"51",220
"52",218.7
"53",217
"54",215.9
"55",215.8
"56",214.1
"57",212.3
"58",213.9
"59",214.6
"60",213.6
"61",212.1
"62",211.4
"63",213.1
"64",212.9
"65",213.3
"66",211.5
"67",212.3
"68",213
"69",211
"70",210.7
"71",210.1
"72",211.4
"73",210
"74",209.7
"75",208.8
"76",208.8
"77",208.8
"78",210.6
"79",211.9
"80",212.8
"81",212.5
"82",214.8
"83",215.3
"84",217.5
"85",218.8
"86",220.7
"87",222.2
"88",226.7
"89",228.4
"90",233.2
"91",235.7
"92",237.1
"93",240.6
"94",243.8
"95",245.3
"96",246
"97",246.3
"98",247.7
"99",247.6
"100",247.8
"101",249.4
"102",249
"103",249.9
"104",250.5
"105",251.5
"106",249
"107",247.6
"108",248.8
"109",250.4
"110",250.7
"111",253
"112",253.7
"113",255
"114",256.2
"115",256
"116",257.4
"117",260.4
"118",260
"119",261.3
"120",260.4
"121",261.6
"122",260.8
"123",259.8
"124",259
"125",258.9
"126",257.4
"127",257.7
"128",257.9
"129",257.4
"130",257.3
"131",257.6
"132",258.9
"133",257.8
"134",257.7
"135",257.2
"136",257.5
"137",256.8
"138",257.5
"139",257
"140",257.6
"141",257.3
"142",257.5
"143",259.6
"144",261.1
"145",262.9
"146",263.3
"147",262.8
"148",261.8
"149",262.2
"150",262.7
