"","x"
"1",901
"2",689
"3",827
"4",677
"5",522
"6",406
"7",441
"8",393
"9",387
"10",582
"11",578
"12",666
"13",830
"14",752
"15",785
"16",664
"17",467
"18",438
"19",421
"20",412
"21",343
"22",440
"23",531
"24",771
"25",767
"26",1141
"27",896
"28",532
"29",447
"30",420
"31",376
"32",330
"33",357
"34",445
"35",546
"36",764
"37",862
"38",660
"39",663
"40",643
"41",502
"42",392
"43",411
"44",348
"45",387
"46",385
"47",411
"48",638
"49",796
"50",853
"51",737
"52",546
"53",530
"54",446
"55",431
"56",362
"57",387
"58",430
"59",425
"60",679
"61",821
"62",785
"63",727
"64",612
"65",478
"66",429
"67",405
"68",379
"69",393
"70",411
"71",487
"72",574
