%======================================================
% Applied displacement boundary condition
% Each row contains:
% Node#  direction(1=x, 2=y, 3=z)  displacement-value  
%======================================================
       451  1     0.00000000  
       451  2     0.00000000  
       451  3     0.00000000  
       452  1     0.00000000  
       452  2     0.00000000  
       452  3     0.00000000  
       453  1     0.00000000  
       453  2     0.00000000  
       453  3     0.00000000 
       454  1     0.00000000  
       454  2     0.00000000  
       454  3     0.00000000  
       455  1     0.00000000  
       455  2     0.00000000  
       455  3     0.00000000  
       456  1     0.00000000  
       456  2     0.00000000  
       456  3     0.00000000  
       457  1     0.00000000  
       457  2     0.00000000  
       457  3     0.00000000  
       458  1     0.00000000  
       458  2     0.00000000  
       458  3     0.00000000  
       473  1     0.00000000  
       473  2     0.00000000  
       473  3     0.00000000  
       925  1     0.00000000  
       925  2     0.00000000  
       925  3     0.00000000  
       926  1     0.00000000  
       926  2     0.00000000  
       926  3     0.00000000  
       927  1     0.00000000  
       927  2     0.00000000  
       927  3     0.00000000  
       928  1     0.00000000  
       928  2     0.00000000  
       928  3     0.00000000  
       929  1     0.00000000  
       929  2     0.00000000  
       929  3     0.00000000  
       930  1     0.00000000  
       930  2     0.00000000  
       930  3     0.00000000  
       931  1     0.00000000  
       931  2     0.00000000  
       931  3     0.00000000  
       932  1     0.00000000  
       932  2     0.00000000  
       932  3     0.00000000  
       933  1     0.00000000  
       933  2     0.00000000  
       933  3     0.00000000  
       934  1     0.00000000  
       934  2     0.00000000  
       934  3     0.00000000  
       935  1     0.00000000  
       935  2     0.00000000  
       935  3     0.00000000  
       936  1     0.00000000  
       936  2     0.00000000  
       936  3     0.00000000  
       937  1     0.00000000  
       937  2     0.00000000  
       937  3     0.00000000  
       938  1     0.00000000  
       938  2     0.00000000  
       938  3     0.00000000  
       939  1     0.00000000  
       939  2     0.00000000  
       939  3     0.00000000  
       940  1     0.00000000  
       940  2     0.00000000  
       940  3     0.00000000  
       941  1     0.00000000  
       941  2     0.00000000  
       941  3     0.00000000  
       942  1     0.00000000  
       942  2     0.00000000  
       942  3     0.00000000  
       943  1     0.00000000  
       943  2     0.00000000  
       943  3     0.00000000  
       944  1     0.00000000  
       944  2     0.00000000  
       944  3     0.00000000  
       945  1     0.00000000  
       945  2     0.00000000  
       945  3     0.00000000  
       946  1     0.00000000  
       946  2     0.00000000  
       946  3     0.00000000  
       947  1     0.00000000  
       947  2     0.00000000  
       947  3     0.00000000  
       948  1     0.00000000  
       948  2     0.00000000  
       948  3     0.00000000  
       949  1     0.00000000  
       949  2     0.00000000  
       949  3     0.00000000  
       950  1     0.00000000  
       950  2     0.00000000  
       950  3     0.00000000  
       951  1     0.00000000  
       951  2     0.00000000  
       951  3     0.00000000  
       952  1     0.00000000  
       952  2     0.00000000  
       952  3     0.00000000  
       953  1     0.00000000  
       953  2     0.00000000  
       953  3     0.00000000  
       954  1     0.00000000  
       954  2     0.00000000  
       954  3     0.00000000  
       955  1     0.00000000  
       955  2     0.00000000  
       955  3     0.00000000  
       956  1     0.00000000  
       956  2     0.00000000  
       956  3     0.00000000  
       957  1     0.00000000  
       957  2     0.00000000  
       957  3     0.00000000  
       958  1     0.00000000  
       958  2     0.00000000  
       958  3     0.00000000  
       959  1     0.00000000  
       959  2     0.00000000  
       959  3     0.00000000  
       960  1     0.00000000  
       960  2     0.00000000  
       960  3     0.00000000 

