Approvals	Activity
9988	5747
10320.3	6388.8
10682.3	6715.6
11086.7	7048.2
11604	6600.4
11861	6919.6
12418.7	7255.6
12887	7211.5
13212.3	7724.6
13486	7952.1
13098.3	8045.3
12821	8205.8
12825	8208.5
13535	8535.7
14654	8683.8
15708.7	8662.9
15546.7	9085.3
12607	10203.8
9698.7	8861.5
9489.3	7177.1
10074.3	6618.4
11682	7655
14049	8218.1
14592.7	8644.2
14213	9220.4
14715.7	10404.5
15277	11109.3
14836.7	11460.3
14116.7	11617.4
14362	11416.7
15284	11340.2
15335.3	11802.9
14736	12119.4
14470	12983.3
13490	12702.1
12903	12417.8
13105.7	12269.6
13253	13607.8
12747	13906.4
12421	13594.1
12330.7	13163.7
12767.7	14724.9
13020.7	15087.1
