good    broken 
7481.09    7506.9
 9986.47   10022.4
 6640.17    6666.2
 -592.85    -594.6
-7481.26   -7505.1
-9986.86  -10020.0
-6640.30   -6661.4
  595.18     595.0
 7481.86    7501.6
 9985.25   10013.3
 6641.92    6659.9
 -594.05    -593.3
-7481.46   -7499.7
-9987.08  -10007.8
-6638.77   -6655.3
  594.40     595.4
 7480.24    7493.9
 9984.96    9998.7
 6640.09    6647.5
 -593.85    -595.5
-7478.68   -7486.5
-9982.28   -9991.3
-6638.51   -6643.0
  592.45     593.7
 7479.52    7478.9
 9982.01    9978.2
 6637.72    6634.8
 -595.91    -592.2
-7478.67   -7471.9
-9980.66   -9969.0
-6635.83   -6628.3
  594.34     596.7
 7477.92    7464.6
 9980.12    9960.4
 6635.19    6623.5
 -594.86    -594.7
-7477.36   -7460.3
-9979.46   -9953.0
-6634.95   -6616.2
  595.21     593.5
 7476.35    7453.9
 9978.56    9948.0
 6636.37    6613.5
 -593.89    -594.8
-7476.90   -7452.6
-9979.15   -9944.4
-6635.09   -6611.0
  595.21     595.1
 7475.96    7450.4
 9979.20    9942.3
 6635.80    6612.1
 -595.05    -594.6
-7475.78   -7451.7
-9979.57   -9943.7
-6634.11   -6610.7
  596.42     593.8
 7475.97    7451.8
 9977.77    9947.2
 6636.41    6613.4
 -594.58    -594.6
-7474.32   -7457.9
-9979.44   -9954.6
-6635.60   -6620.1
  594.47     593.8
 7476.49    7462.9
 9980.36    9960.7
 6635.06    6624.6
 -592.98    -595.1
-7477.70   -7469.2
-9978.91   -9968.3
-6637.05   -6631.2
  593.73     594.9
 7479.15    7475.0
 9981.13    9979.8
 6636.98    6638.6
 -594.15    -593.5
-7479.70   -7482.4
-9983.07   -9990.4
-6638.86   -6646.2
  593.85     597.3
 7479.37    7487.8
 9983.88   10000.9
 6640.77    6652.5
 -595.97    -592.1
-7479.97   -7493.8
-9984.53  -10007.6
-6639.10   -6657.5
  594.14     593.7
 7481.45    7500.7
 9985.82   10015.3
 6640.08    6662.1
 -593.23    -594.6
-7480.30   -7504.8
-9985.34  -10018.8
-6639.33   -6665.5
  595.00     593.1
 7480.40    7506.5
 9985.71   10021.3
 6639.83    6667.4
 -594.92    -594.2
-7482.34   -7506.0
-9986.24  -10021.7
-6641.92   -6667.3
  594.60     594.8
 7480.93    7504.7
 9987.80   10019.1
 6641.51    6662.1
 -593.53    -593.7
-7480.90   -7503.1
-9983.87  -10015.7
-6641.04   -6662.0
  593.98     594.4
 7482.27    7498.4
 9984.22   10006.9
 6639.68    6654.6
 -594.84    -594.7
-7480.58   -7492.9
-9984.30  -10000.4
-6638.78   -6648.2
  594.27     594.5
 7479.10    7487.1
 9984.41    9992.2
 6638.37    6641.5
 -594.62    -594.5
-7479.00   -7479.2
-9981.35   -9978.3
-6637.95   -6633.7
  594.41     592.8
 7477.51    7473.6
 9980.76    9968.0
 6637.25    6627.9
 -595.03    -596.3
-7477.00   -7465.4
-9981.69   -9960.6
-6636.26   -6623.3
  592.91     595.3
 7476.66    7459.2
 9978.87    9952.5
 6635.40    6616.5
 -594.50    -593.2
-7478.42   -7455.4
-9977.63   -9947.0
-6637.34   -6612.8
  593.98     594.8
 7475.09    7450.5
 9977.69    9944.1
 6637.54    6610.4
 -594.43    -593.0
-7477.36   -7450.3
-9979.96   -9941.4
-6634.96   -6610.2
  594.42     594.0
 7475.80    7451.1
 9977.51    9943.2
 6634.05    6613.1
 -595.52    -594.6
-7475.34   -7453.2
-9979.43   -9946.9
-6637.23   -6614.1
  596.31     594.6
 7477.14    7457.1
 9979.16    9953.9
 6637.35    6618.5
 -593.56    -594.4
-7477.86   -7461.9
-9977.97   -9963.2
-6637.12   -6625.6
  593.02     595.1
 7477.71    7468.8
 9981.29    9969.3
 6639.83    6631.8
 -594.34    -593.2
-7478.09   -7474.9
-9982.14   -9981.0
-6638.56   -6637.8
  594.41     593.9
 7480.04    7480.6
 9985.14    9988.7
 6639.96    6646.7
 -593.23    -594.0
-7481.17   -7488.3
-9983.04   -9998.6
-6639.37   -6652.5
  592.98     595.3
 7481.08    7494.8
 9984.71   10007.1
 6641.63    6656.8
 -595.21    -595.8
-7481.51   -7501.4
-9986.48  -10014.9
-6640.79   -6663.2
  594.84     594.1
 7480.73    7506.9
 9986.87   10020.6
 6639.71    6666.6
 -595.49    -594.0
-7480.24   -7504.5
-9987.30  -10022.8
-6640.64   -6664.4
  594.06     593.7
 7482.13    7507.0
 9987.97   10021.8
 6642.59    6666.9
 -594.77    -593.3
-7483.87   -7507.4
-9983.54  -10019.2
-6640.12   -6662.3
  594.98     592.7
 7481.27    7502.1
 9986.06   10013.3
 6640.24    6660.3
 -594.02    -594.9
-7481.23   -7497.6
-9986.24  -10007.1
-6638.90   -6656.3
  595.96     596.0
 7479.95    7492.2
 9982.77   10000.5
