UK NZ EU
0.55834 1.5168 0.79419
0.55288 1.4884 0.7886
0.54803 1.4885 0.78284
0.54955 1.4887 0.78948
0.54526 1.4785 0.783
0.54126 1.4656 0.77812
0.54016 1.4614 0.78106
0.54244 1.4643 0.78516
0.54318 1.4621 0.78575
0.54907 1.4867 0.79416
0.55568 1.5002 0.80669
0.56067 1.5278 0.80791
0.54968 1.4973 0.79483
0.54653 1.4895 0.7926
0.54205 1.4765 0.78626
0.5491 1.4866 0.79298
0.54944 1.4856 0.79675
0.54713 1.4713 0.7908
0.54456 1.4741 0.79262
0.55197 1.4979 0.80706
0.5491 1.4905 0.80291
0.5499 1.4869 0.80481
0.54408 1.4689 0.79598
0.54552 1.4613 0.79683
0.54412 1.4532 0.79313
0.54172 1.4472 0.78799
0.53817 1.4378 0.78923
0.53481 1.4295 0.78563
0.5306 1.4274 0.7801
0.52878 1.4293 0.78072
0.53103 1.4273 0.78418
0.52959 1.4132 0.78293
0.525 1.4128 0.77821
0.52562 1.4192 0.78048
0.52844 1.4268 0.78765
0.53569 1.4602 0.79578
0.53518 1.4625 0.79549
0.52889 1.448 0.78785
0.53344 1.4563 0.80046
0.5373 1.4548 0.80349
0.53817 1.4593 0.8038
0.53545 1.451 0.80427
0.54381 1.4639 0.81866
0.54932 1.5059 0.82685
0.54786 1.4927 0.81757
0.54263 1.4827 0.80643
0.54133 1.4829 0.80842
0.54378 1.4647 0.80446
0.55525 1.502 0.81772
0.55524 1.5483 0.81512
0.55722 1.5518 0.8202
0.55572 1.5536 0.81677
0.55241 1.5381 0.81499
0.55146 1.5413 0.81989
0.54424 1.5193 0.80719
0.54767 1.5255 0.81511
0.54102 1.505 0.80803
0.54062 1.5122 0.81219
0.54485 1.5247 0.81858
0.55244 1.5442 0.82143
0.55223 1.5395 0.82702
0.55055 1.532 0.82354
0.54683 1.5221 0.81949
0.54341 1.5036 0.81352
0.53867 1.4969 0.8091
0.54648 1.5188 0.82571
0.55117 1.5386 0.83272
0.54411 1.5272 0.82705
0.54317 1.512 0.8216
0.5455 1.5194 0.8272
0.54465 1.5082 0.82853
0.55068 1.5308 0.83871
0.55858 1.5762 0.83744
0.56204 1.5707 0.83953
