 -1934134.5936	-3393827.8462  17426908.2331  -3375918.4588
  -371.3943  -3376301.2548   -374.6152	-3375910.9662
  -377.4309  -3376303.8194   -378.0185	-3375913.5291
  -371.0370  -3376296.3544   -370.8044	-3375906.0658
  -363.7219  -3376288.8889   -363.5286	-3375898.6018
  -356.3724  -3376281.4354   -355.3531	-3375891.1495
  -348.8594  -3376273.9896   -348.8423	-3375883.7039
  -340.8359  -3376266.5435   -341.3132	-3375876.2555
  -333.5353  -3376259.1184   -333.0805	-3375868.8287
  -325.9072  -3376251.6936   -325.8904	-3375861.4053
  -319.3477  -3376244.2785   -319.2197	-3375853.9857
  -311.4119  -3376236.8660   -311.4992	-3375846.5752
  -303.5487  -3376229.4704   -304.2873	-3375839.1794
  -296.0759  -3376222.0791   -296.6243	-3375831.7892
  -288.5615  -3376214.7028   -289.3311	-3375824.4114
  -282.0248  -3376207.3305   -281.8749	-3375817.0400
  -274.4171  -3376199.9634   -274.2196	-3375809.6739
  -266.8509  -3376192.6094   -267.6105	-3375802.3215
  -259.9681  -3376185.2665   -259.7993	-3375794.9739
  -252.5544  -3376177.9350   -252.1530	-3375787.6463
  -245.2438  -3376170.6101   -244.5956	-3375780.3167
  -238.1768  -3376163.2990   -238.1204	-3375773.0076
  -230.8278  -3376155.9950   -230.1944	-3375765.7024
  -223.1904  -3376148.7053   -223.4008	-3375758.4145
  -215.8514  -3376141.4235   -215.2905	-3375751.1338
  -208.6939  -3376134.1489   -208.3848	-3375743.8615
  -201.3253  -3376126.8920   -201.6152	-3375736.6016
  -194.3979  -3376119.6414   -194.1080	-3375729.3563
  -186.5371  -3376112.4067   -186.2052	-3375722.1189
  -179.1332  -3376105.1876   -179.4066	-3375714.9015
  -172.5504  -3376097.9709   -173.2165	-3375707.6842
  -164.1275  -3376089.9563   -164.0678	-3375699.6723
  -157.1939  -3376082.7682   -158.1571	-3375692.4817
  -150.0082  -3376075.5901   -150.0891	-3375685.3050
  -141.9750  -3376068.4324   -142.9649	-3375678.1466
  -135.7041  -3376061.2848   -135.2248	-3375671.0002
  -128.4526  -3376054.1492   -129.2237	-3375663.8638
  -120.7319  -3376047.0262   -120.6351	-3375656.7420
  -114.1192  -3376039.9165   -115.0830	-3375649.6298
  -106.2266  -3376032.8244   -106.5069	-3375642.5357
   -99.8557  -3376025.7424   -101.6062	-3375635.4545
   -93.5391  -3376018.6732    -93.3208	-3375628.3819
   -85.2839  -3376011.6226    -86.4699	-3375621.3334
   -79.1237  -3376004.5830    -78.7883	-3375614.2864
   -71.0746  -3375997.5625    -72.8422	-3375607.2689
   -64.5564  -3375990.5535    -65.5191	-3375600.2549
   -58.5260  -3375983.5569    -56.9050	-3375593.2595
   -49.7814  -3375976.5811    -52.1417	-3375586.2876
   -44.3122  -3375969.6151    -42.9931	-3375579.3168
   -36.3606  -3375962.6710    -38.8837	-3375572.3753
   -31.1054  -3375955.7306    -29.3465	-3375565.4348
   -22.7465  -3375948.8180    -24.0647	-3375558.5279
   -16.9996  -3375941.9132    -17.2128	-3375551.6149
    -9.1074  -3375935.0320     -8.6700	-3375544.7432
    -2.6599  -3375928.1565     -4.4593	-3375537.8606
     4.4584  -3375921.3132	4.2851	-3375531.0119
    12.0707  -3375914.4749	9.8648	-3375524.1797
    17.0074  -3375907.6542     20.4847	-3375517.3506
    25.4081  -3375900.8559     23.5449	-3375510.5753
    30.5329  -3375893.2781     31.6925	-3375502.9773
    40.3273  -3375886.5227     39.8965	-3375496.2369
    45.0852  -3375879.7675     44.1868	-3375489.4684
    53.6246  -3375873.0449     54.8757	-3375482.7513
    58.3678  -3375866.3250     57.4079	-3375476.0356
    67.3409  -3375859.6398     67.8550	-3375469.3408
    72.8444  -3375852.9538     72.5089	-3375462.6743
    80.0791  -3375846.3061     78.6752	-3375456.0105
    85.4856  -3375839.6575     87.6872	-3375449.3720
    93.2035  -3375833.0457     90.9995	-3375442.7532
    98.9767  -3375826.4414    100.9170	-3375436.1480
   105.9021  -3375819.8615    105.2141	-3375429.5778
   112.4792  -3375813.2949    111.2396	-3375423.0034
   119.1756  -3375806.7543    121.1842	-3375416.4659
   124.7854  -3375800.2209    124.1064	-3375409.9431
   132.6741  -3375793.7300    131.3410	-3375403.4297
   137.0055  -3375787.2396    139.2177	-3375396.9568
   145.7332  -3375780.7879    142.7878	-3375390.4921
   150.4584  -3375774.3377    154.5947	-3375384.0405
   157.8472  -3375767.9251    156.7418	-3375377.6404
   162.5785  -3375761.5097    161.8263	-3375371.2161
   171.6359  -3375754.3768    174.2309	-3375364.0909
   176.7427  -3375748.0051    174.9239	-3375357.7219
   183.9376  -3375741.6799    186.3005	-3375351.3804
   189.3371  -3375735.3517    189.2700	-3375345.0746
   197.8154  -3375729.0632    194.8945	-3375338.7663
   201.5447  -3375722.7830    206.9578	-3375332.4929
   211.3880  -3375716.5377    207.3159	-3375326.2578
   213.5202  -3375710.2963    213.9984	-3375319.9938
   222.9218  -3375704.0978    225.5339	-3375313.8092
   226.8260  -3375697.8962    225.7024	-3375307.6153
   234.6349  -3375691.7409    234.0667	-3375301.4436

