277722.022  230855.152
275956.869  231105.839
277563.374  235447.400
278608.525  233945.915
276163.682  236471.626
273578.801  230941.425
274533.958  235063.723

6310000.527  562940.820
6308231.260  562725.625
6309749.964  558354.121
6310824.656  559833.890
6308330.475  557358.463
6305857.705  562937.589
6306729.799  558798.283






 1418.132  - 2549.288
 -347.021  - 2298.601
 1259.484    2042.960
 2304.635     541.475
 -140.208    3067.186
-2725.089  - 2463.015
-1769.932    1659.283


   1468.472    2519.564
  - 300.795    2304.369
   1217.909   -2067.135
   2292.601    -587.366
  - 201.580   -3062.793
 - 2674.350    2516.333
 - 1802.256   -1622.973



