"","ccode","year","cap","milper","milex","energy","irst","upop","tpop","majpow","riskTeur","riskTmid","riskTafr","riskTasi","riskTame","riskTglo"
"1",2,1816,0.0392990000545979,16,3823,254,80,101,8586,0,NA,NA,NA,NA,NA,NA
"2",200,1816,0.347896993160248,255,16942,15958,290,1957,19520,1,-0.757000029087067,-0.941999971866608,NA,NA,NA,NA
"3",210,1816,0.03838200122118,26,2375,NA,50,337,5610,0,0.444999992847443,NA,NA,NA,NA,NA
"4",220,1816,0.124473996460438,132,10554,1078,140,858,29480,1,0.33500000834465,0.610000014305115,NA,NA,NA,NA
"5",225,1816,0.00212000007741153,0,NA,NA,0,0,1897,0,0.540000021457672,NA,NA,NA,NA,NA
"6",230,1816,0.0552520006895065,125,6512,NA,10,221,11073,0,0.444999992847443,0.815999984741211,NA,NA,NA,NA
"7",235,1816,0.0131689999252558,22,NA,NA,0,179,2746,0,0.50900000333786,NA,NA,NA,NA,NA
"8",245,1816,0.00932299997657537,NA,549,NA,10,0,3637,0,-0.477999985218048,NA,NA,NA,NA,NA
"9",255,1816,0.0525889992713928,130,3516,NA,50,196,10349,1,-0.486999988555908,-1,NA,NA,NA,NA
"10",267,1816,0.00237999996170402,10,NA,NA,0,0,999,0,-0.674000024795532,NA,NA,NA,NA,NA
"11",269,1816,0.00296900002285838,13,NA,NA,0,0,1187,0,-0.662000000476837,NA,NA,NA,NA,NA
"12",271,1816,0.00269100000150502,6,251,NA,0,0,1330,0,-0.651000022888184,NA,NA,NA,NA,NA
"13",273,1816,0.0017630000365898,9,NA,NA,0,0,560,0,-0.736999988555908,NA,NA,NA,NA,NA
"14",275,1816,0.00170699995942414,8,NA,NA,0,0,623,0,-0.739000022411346,NA,NA,NA,NA,NA
"15",300,1816,0.104663997888565,222,NA,NA,60,655,29504,1,-0.305999994277954,-1,NA,NA,NA,NA
"16",325,1816,0.00826600007712841,19,836,NA,0,0,3760,0,0.556999981403351,NA,NA,NA,NA,NA
"17",327,1816,0.00889699999243021,2,NA,NA,0,147,2355,0,0.570999979972839,NA,NA,NA,NA,NA
"18",329,1816,0.0297749992460012,27,NA,NA,0,465,6573,0,0.458000004291534,NA,NA,NA,NA,NA
"19",337,1816,0.00180500000715256,4,101,NA,0,0,1163,0,0.660000026226044,NA,NA,NA,NA,NA
"20",365,1816,0.200332000851631,800,10582,NA,130,204,51252,1,-0.833999991416931,-1,NA,NA,NA,NA
"21",380,1816,0.0312840007245541,NA,NA,NA,70,0,3400,0,0.465999990701675,NA,NA,NA,NA,NA
"22",390,1816,0.00601800018921494,32,NA,NA,0,0,1767,0,0.542999982833862,NA,NA,NA,NA,NA
"23",640,1816,0.0771019980311394,121,NA,NA,0,793,26290,0,0.388999998569489,0.75900000333786,NA,NA,NA,NA
"24",2,1817,0.0350090004503727,13,2466,277,80,106,8837,0,NA,NA,NA,NA,NA,NA
"25",200,1817,0.335676997900009,190,16088,16394,310,2006,19814,1,-0.781000018119812,-0.984000027179718,NA,NA,NA,NA
"26",210,1817,0.03880799934268,27,2450,NA,50,342,5672,0,0.435999989509583,NA,NA,NA,NA,NA
"27",220,1817,0.117319002747536,131,8864,1078,130,870,29700,1,0.375999987125397,0.619000017642975,NA,NA,NA,NA
"28",225,1817,0.00211400003172457,0,NA,NA,0,0,1910,0,0.547999978065491,NA,NA,NA,NA,NA
"29",230,1817,0.0504850000143051,126,4703,NA,10,228,11156,0,0.43299999833107,0.806999981403351,NA,NA,NA,NA
"30",235,1817,0.0133549999445677,22,NA,NA,0,181,2768,0,0.514999985694885,NA,NA,NA,NA,NA
"31",245,1817,0.00954500027000904,NA,604,NA,10,0,3672,0,-0.462999999523163,NA,NA,NA,NA,NA
"32",255,1817,0.053371999412775,130,3061,1129,50,197,10555,1,-0.555000007152557,-1,NA,NA,NA,NA
"33",267,1817,0.00250099995173514,10,NA,NA,0,0,1013,0,-0.695999979972839,NA,NA,NA,NA,NA
"34",269,1817,0.00312400003895164,13,NA,NA,0,0,1202,0,-0.684000015258789,NA,NA,NA,NA,NA
"35",271,1817,0.0025919999461621,6,202,NA,0,0,1345,0,-0.648999989032745,NA,NA,NA,NA,NA
"36",273,1817,0.00186900002881885,9,NA,NA,0,0,567,0,-0.74099999666214,NA,NA,NA,NA,NA
"37",275,1817,0.00180099997669458,8,NA,NA,0,0,630,0,-0.742999970912933,NA,NA,NA,NA,NA
"38",300,1817,0.109932996332645,202,6815,NA,70,658,29787,1,-0.331000000238419,-1,NA,NA,NA,NA
"39",325,1817,0.0108080003410578,39,859,NA,0,0,3794,0,0.532999992370605,NA,NA,NA,NA,NA
"40",327,1817,0.00892799999564886,3,NA,NA,0,147,2368,0,0.616999983787537,NA,NA,NA,NA,NA
"41",329,1817,0.0298480000346899,27,NA,NA,0,468,6651,0,0.458999991416931,NA,NA,NA,NA,NA
"42",337,1817,0.00185200001578778,4,102,NA,0,0,1172,0,0.654999971389771,NA,NA,NA,NA,NA
"43",365,1817,0.191729992628098,700,8425,NA,140,232,51679,1,-0.823000013828278,-1,NA,NA,NA,NA
"44",380,1817,0.0304409991949797,NA,NA,NA,70,0,3442,0,0.428000003099442,NA,NA,NA,NA,NA
"45",390,1817,0.00624800007790327,31,NA,NA,0,0,1781,0,0.541999995708466,NA,NA,NA,NA,NA
"46",640,1817,0.0780109986662865,121,NA,NA,0,801,26390,0,0.428000003099442,0.774999976158142,NA,NA,NA,NA
"47",2,1818,0.0356810018420219,14,1910,302,90,112,9096,0,NA,NA,NA,NA,NA,NA
"48",200,1818,0.337027996778488,173,15039,16829,330,2057,20104,1,-1,-1,NA,NA,NA,NA
"49",210,1818,0.0386429987847805,27,2298,NA,50,346,5721,0,0.425999999046326,NA,NA,NA,NA,NA
"50",220,1818,0.115088000893593,138,8042,1078,120,882,29880,1,-1,-1,NA,NA,NA,NA
"51",225,1818,0.00210699997842312,0,NA,NA,0,0,1923,0,0.542999982833862,NA,NA,NA,NA,NA
"52",230,1818,0.0524550005793571,126,4681,NA,10,234,11241,0,0.368000000715256,0.796000003814697,NA,NA,NA,NA
"53",235,1818,0.0135139999911189,22,NA,NA,0,183,2791,0,0.50900000333786,NA,NA,NA,NA,NA
"54",245,1818,0.010173000395298,NA,712,NA,10,0,3708,0,-0.245000004768372,NA,NA,NA,NA,NA
"55",255,1818,0.0549769997596741,130,2964,1235,50,199,10766,1,-0.580999970436096,-1,NA,NA,NA,NA
"56",267,1818,0.00261100009083748,10,NA,NA,0,0,1027,0,-0.510999977588654,NA,NA,NA,NA,NA
"57",269,1818,0.00326499994844198,13,NA,NA,0,0,1217,0,-0.499000012874603,NA,NA,NA,NA,NA
