"","year","ccode","fatlev1","hostlev1","legselec","esolow","bhkavg","exchprem","sh_staa","sh_med_b","sh_med_p","sh_h2o_s","immig","emig"
"1",1809,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1810,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",1811,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",1812,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",1813,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",1814,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",1815,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1816,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",1817,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1818,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",1819,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",1820,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,8.39999961853027,NA
"13",1821,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,9.10000038146973,NA
"14",1822,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,6.90000009536743,NA
"15",1823,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,6.40000009536743,NA
"16",1824,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,7.90000009536743,NA
"17",1825,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,10,NA
"18",1826,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,11,NA
"19",1827,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,19,NA
"20",1828,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,27,NA
"21",1829,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,23,NA
"22",1830,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,23,NA
"23",1831,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,23,NA
"24",1832,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,60,NA
"25",1833,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,59,NA
"26",1834,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,65,NA
"27",1835,2,0,3,2,NA,NA,NA,NA,NA,NA,NA,45,NA
"28",1836,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,76,NA
"29",1837,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,79,NA
"30",1838,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,39,NA
"31",1839,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,68,NA
"32",1840,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,84,NA
"33",1841,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,80,NA
"34",1842,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,105,NA
"35",1843,2,6,5,2,NA,NA,NA,NA,NA,NA,NA,52,NA
"36",1844,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,79,NA
"37",1845,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,114,NA
"38",1846,2,0,3,2,NA,NA,NA,NA,NA,NA,NA,154,NA
"39",1847,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,235,NA
"40",1848,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,227,NA
"41",1849,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,297,NA
"42",1850,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,310,NA
"43",1851,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,379,NA
"44",1852,2,0,3,2,NA,NA,NA,NA,NA,NA,NA,372,NA
"45",1853,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,369,NA
"46",1854,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,428,NA
"47",1855,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,201,NA
"48",1856,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,200,NA
"49",1857,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,251,NA
"50",1858,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,123,NA
"51",1859,2,0,3,2,NA,NA,NA,NA,NA,NA,NA,121,NA
"52",1860,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,154,NA
"53",1861,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,92,NA
"54",1862,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,92,NA
"55",1863,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,176,NA
"56",1864,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,193,NA
"57",1865,2,0,3,2,NA,NA,NA,NA,NA,NA,NA,248,NA
"58",1866,2,0,3,2,NA,NA,NA,NA,NA,NA,NA,319,NA
"59",1867,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,316,NA
"60",1868,2,0,3,2,NA,NA,NA,NA,NA,NA,NA,139,NA
"61",1869,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,353,NA
"62",1870,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,387,NA
"63",1871,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,321,NA
"64",1872,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,405,NA
"65",1873,2,0,3,2,NA,NA,NA,NA,NA,NA,NA,460,NA
"66",1874,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,313,NA
"67",1875,2,0,3,2,NA,NA,NA,NA,NA,NA,NA,227,NA
"68",1876,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,170,NA
"69",1877,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,142,NA
"70",1878,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,138,NA
"71",1879,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,178,NA
"72",1880,2,0,3,2,NA,NA,NA,NA,NA,NA,NA,457,NA
"73",1881,2,0,3,2,NA,NA,NA,NA,NA,NA,NA,669,NA
"74",1882,2,0,2,2,NA,NA,NA,NA,NA,NA,NA,789,NA
"75",1883,2,0,2,2,NA,NA,NA,NA,NA,NA,NA,603,NA
"76",1884,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,519,NA
"77",1885,2,6,5,2,NA,NA,NA,NA,NA,NA,NA,395,NA
"78",1886,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,334,NA
"79",1887,2,0,3,2,NA,NA,NA,NA,NA,NA,NA,490,NA
"80",1888,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,547,NA
"81",1889,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,444,NA
"82",1890,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,455,NA
"83",1891,2,0,3,2,NA,NA,NA,NA,NA,NA,NA,560,NA
"84",1892,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,580,NA
"85",1893,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,440,NA
"86",1894,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,286,NA
"87",1895,2,0,3,2,NA,NA,NA,NA,NA,NA,NA,259,NA
"88",1896,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,343,NA
"89",1897,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,231,NA
"90",1898,2,6,5,2,NA,NA,NA,NA,NA,NA,NA,229,NA
"91",1899,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,312,NA
"92",1900,2,0,3,2,NA,NA,NA,NA,NA,NA,NA,449,NA
"93",1901,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,488,NA
"94",1902,2,0,3,2,NA,NA,NA,NA,NA,NA,NA,649,NA
"95",1903,2,0,2,2,NA,NA,NA,NA,NA,NA,NA,857,NA
"96",1904,2,0,3,2,NA,NA,NA,NA,NA,NA,NA,813,NA
"97",1905,2,0,3,2,NA,NA,NA,NA,NA,NA,NA,1026,NA
"98",1906,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1101,NA
"99",1907,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1285,NA
"100",1908,2,0,3,2,NA,NA,NA,NA,NA,NA,NA,783,NA
"101",1909,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,752,NA
"102",1910,2,0,3,2,NA,NA,NA,NA,NA,NA,NA,1042,NA
"103",1911,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,879,NA
"104",1912,2,0,2,2,NA,NA,NA,NA,NA,NA,NA,838,NA
"105",1913,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1198,NA
"106",1914,2,0,4,NA,NA,NA,NA,NA,NA,NA,NA,1218,NA
"107",1915,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,327,NA
"108",1916,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,299,NA
"109",1917,2,0,4,NA,NA,NA,NA,NA,NA,NA,NA,295,NA
"110",1918,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,111,NA
"111",1919,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,141,NA
"112",1920,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,430,NA
"113",1921,2,0,3,2,NA,NA,NA,NA,NA,NA,NA,805,NA
"114",1922,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,310,NA
"115",1923,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,523,NA
"116",1924,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,707,NA
"117",1925,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294,NA
"118",1926,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,304,NA
"119",1927,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,335,NA
"120",1928,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,307,NA
"121",1929,2,1,4,2,NA,NA,NA,NA,NA,NA,NA,280,NA
"122",1930,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,242,NA
"123",1931,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,97,NA
"124",1932,2,0,3,2,NA,NA,NA,NA,NA,NA,NA,36,NA
"125",1933,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,23,NA
"126",1934,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,29,NA
"127",1935,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,35,NA
"128",1936,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,36,NA
"129",1937,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,50,NA
"130",1938,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,68,NA
"131",1939,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,93,NA
"132",1940,2,0,4,NA,NA,NA,NA,NA,NA,NA,NA,71,NA
"133",1941,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,52,NA
"134",1942,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA
"135",1943,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,24,NA
"136",1944,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,NA
"137",1945,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,NA
"138",1946,2,0,3,2,NA,NA,NA,NA,NA,NA,NA,109,NA
"139",1947,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,147,NA
"140",1948,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,171,NA
"141",1949,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,188,NA
"142",1950,2,1,4,2,NA,NA,NA,NA,NA,NA,NA,249,NA
"143",1951,2,1,4,2,NA,NA,NA,NA,NA,NA,NA,206,NA
"144",1952,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,266,NA
"145",1953,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,170,NA
"146",1954,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,208,NA
"147",1955,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,238,NA
"148",1956,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,322,NA
"149",1957,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,327,NA
"150",1958,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,253,NA
"151",1959,2,0,2,2,NA,NA,NA,NA,NA,NA,NA,261,NA
"152",1960,2,0,4,2,NA,NA,NA,NA,NA,NA,NA,265,NA
"153",1961,2,0,3,2,-0.00649699987843633,11.5235996246338,NA,NA,NA,NA,NA,271,NA
"154",1962,2,0,4,2,0.0142839998006821,11.5235996246338,NA,NA,NA,NA,NA,284,NA
"155",1963,2,NA,NA,2,0.0045230002142489,11.5235996246338,NA,NA,NA,NA,NA,306,NA
"156",1964,2,NA,4,2,0.0130200004205108,11.5235996246338,NA,NA,NA,NA,NA,292,NA
"157",1965,2,NA,4,2,0.0169140007346869,11.5235996246338,NA,NA,NA,NA,NA,297,NA
"158",1966,2,0,4,2,-0.00547599978744984,11.5235996246338,NA,NA,NA,NA,NA,323,NA
"159",1967,2,0,4,2,-0.00998200010508299,11.5235996246338,NA,NA,NA,NA,NA,362,NA
"160",1968,2,NA,4,2,0.00866900011897087,11.5235996246338,NA,NA,NA,NA,NA,454,NA
"161",1969,2,NA,NA,2,-0.0097089996561408,11.5235996246338,NA,NA,NA,NA,NA,359,NA
"162",1970,2,3,4,2,-0.0275849997997284,11.5235996246338,NA,NA,126,634,NA,373,NA
"163",1971,2,0,4,2,0.000623999978415668,11.5235996246338,NA,NA,NA,NA,NA,370,NA
"164",1972,2,0,4,2,0.00977499969303608,11.5235996246338,NA,NA,NA,NA,NA,385,NA
"165",1973,2,0,4,2,0.0132729997858405,11.5235996246338,NA,NA,NA,NA,NA,400,NA
"166",1974,2,0,4,2,-0.0412449985742569,11.5235996246338,NA,NA,NA,NA,NA,395,NA
"167",1975,2,NA,4,2,-0.0389409996569157,11.5235996246338,NA,NA,NA,NA,NA,386,NA
"168",1976,2,0,4,2,0.0292310006916523,11.5235996246338,NA,NA,NA,NA,NA,399,NA
"169",1977,2,0,4,2,0.0117469998076558,11.5235996246338,NA,NA,NA,NA,NA,462,NA
"170",1978,2,0,3,2,0.0182900000363588,11.5235996246338,NA,NA,NA,NA,NA,601,NA
"171",1979,2,1,4,2,-0.00616100011393428,11.5235996246338,NA,NA,NA,NA,NA,460,NA
"172",1980,2,0,3,2,-0.0258089993149042,11.5235996246338,NA,NA,170,548,NA,531,NA
"173",1981,2,NA,NA,2,0.00190100003965199,11.5235996246338,NA,NA,NA,500,NA,597,NA
"174",1982,2,0,3,2,-0.0416829995810986,11.5235996246338,NA,NA,NA,NA,NA,594,NA
"175",1983,2,0,4,NA,0.0256469994783401,11.5235996246338,NA,NA,NA,NA,NA,560,NA
"176",1984,2,0,3,NA,0.050976000726223,11.5235996246338,NA,NA,NA,472,NA,544,NA
"177",1985,2,0,4,NA,0.00251400005072355,11.5235996246338,NA,100,NA,NA,100,570,NA
"178",1986,2,0,3,NA,0.013332000002265,NA,NA,NA,NA,NA,NA,602,NA
"179",1987,2,NA,4,NA,0.0143790002912283,NA,NA,NA,NA,NA,NA,602,NA
"180",1988,2,0,4,NA,0.0213600005954504,NA,NA,NA,NA,420,90,643,NA
"181",1989,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,1091,NA
"182",1990,2,NA,NA,NA,NA,NA,NA,NA,194,NA,90,1536,NA
"183",1991,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1827,NA
"184",1992,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,974,NA
"185",1993,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,904,NA
"186",1994,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187",1995,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188",1815,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.20000004768372,NA
"189",1816,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190",1817,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191",1818,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192",1819,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193",1820,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194",1821,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
