"","longname","leadid","leader","inday","inmonth","inyear","outday","outmonth","outyear","ccode","name","chcode","worldbank"
"1","Afghanistan",2352,"Amanullah Khan",20,2,1919,14,1,1929,700,"AFG",142,"AFG"
"2","Afghanistan",2353,"Inayatullah Khan",14,1,1929,17,1,1929,700,"AFG",142,"AFG"
"3","Afghanistan",2354,"Habibullah Ghazi",17,1,1929,17,10,1929,700,"AFG",142,"AFG"
"4","Afghanistan",2355,"Nadir Shah",17,10,1929,8,11,1933,700,"AFG",142,"AFG"
"5","Afghanistan",2356,"Zahir Shah",8,11,1933,14,5,1946,700,"AFG",142,"AFG"
"6","Afghanistan",2357,"Mahmud Khan Ghazi",14,5,1946,7,9,1953,700,"AFG",142,"AFG"
"7","Afghanistan",2358,"Daoud",7,9,1953,10,3,1963,700,"AFG",142,"AFG"
"8","Afghanistan",2359,"Yusof",10,3,1963,29,10,1965,700,"AFG",142,"AFG"
"9","Afghanistan",2360,"Maiwandwal",1,11,1965,1,11,1967,700,"AFG",142,"AFG"
"10","Afghanistan",2361,"Etamadi",1,11,1967,17,5,1971,700,"AFG",142,"AFG"
"11","Afghanistan",2362,"Zahir",9,6,1971,12,12,1972,700,"AFG",142,"AFG"
"12","Afghanistan",2363,"Shafiq",12,12,1972,17,7,1973,700,"AFG",142,"AFG"
"13","Afghanistan",2364,"Daoud",17,7,1973,27,4,1978,700,"AFG",142,"AFG"
"14","Afghanistan",2367,"Karmal",27,12,1979,11,6,1981,700,"AFG",142,"AFG"
"15","Afghanistan",2368,"Keshtamand",11,6,1981,26,5,1988,700,"AFG",142,"AFG"
"16","Afghanistan",2369,"Sharq",26,5,1988,20,2,1989,700,"AFG",142,"AFG"
"17","Afghanistan",2370,"Keshtamand",21,2,1989,8,5,1990,700,"AFG",142,"AFG"
"18","Afghanistan",2371,"Khaliqyar",8,5,1990,16,4,1992,700,"AFG",142,"AFG"
"19","Afghanistan",NA,"Sibghatullah Mojaddedi",28,4,1992,28,6,1992,700,"AFG",142,"AFG"
"20","Afghanistan",NA,"Burhanuddin Rabbani",28,6,1992,26,9,1996,700,"AFG",142,"AFG"
"21","Afghanistan",NA,"Mullah Mohammad Rabbani",26,9,1996,17,11,2001,700,"AFG",142,"AFG"
"22","Afghanistan",NA,"Burhanuddin Rabbani",17,11,2001,22,12,2001,700,"AFG",142,"AFG"
"23","Afghanistan",NA,"Hamid Karzai",22,12,2001,NA,NA,NA,700,"AFG",142,"AFG"
"24","Albania",1687,"Zogu",31,1,1925,8,4,1939,339,"ALB",143,"ALB"
"25","Albania",1688,"Hoxha",29,11,1944,11,4,1985,339,"ALB",143,"ALB"
"26","Albania",1689,"Alia",13,4,1985,3,4,1992,339,"ALB",143,"ALB"
"27","Albania",NA,"Kastriot Islami",3,4,1992,6,4,1992,339,"ALB",143,"ALB"
"28","Albania",NA,"Pjetër Arbnori",6,4,1992,9,4,1992,339,"ALB",143,"ALB"
"29","Albania",NA,"Sali Berisha",9,4,1992,24,7,1997,339,"ALB",143,"ALB"
"30","Albania",NA,"Skënder Gjinushi",24,7,1997,24,7,1997,339,"ALB",143,"ALB"
"31","Albania",NA,"Rexhep Kemal Meidani",24,7,1997,NA,NA,NA,339,"ALB",143,"ALB"
"32","Algeria",2200,"Bella",26,9,1962,19,6,1965,615,"ALG",1,"DZA"
"33","Algeria",2201,"Boumedienne",19,6,1965,27,12,1978,615,"ALG",1,"DZA"
"34","Algeria",2202,"Bitat",27,12,1978,7,2,1979,615,"ALG",1,"DZA"
"35","Algeria",2203,"Benjedid",7,2,1979,11,1,1992,615,"ALG",1,"DZA"
"36","Algeria",NA,"Abdelmélik Benhabilès",11,1,1992,14,1,1992,615,"ALG",1,"DZA"
"37","Algeria",NA,"Collective Presidency",14,1,1992,16,1,1992,615,"ALG",1,"DZA"
"38","Algeria",NA,"Mohammed Boudiaf",16,1,1992,29,6,1992,615,"ALG",1,"DZA"
"39","Algeria",NA,"Collective Presidency",29,6,1992,2,7,1992,615,"ALG",1,"DZA"
"40","Algeria",NA,"Ali Hussain Kafi",2,7,1992,31,1,1994,615,"ALG",1,"DZA"
"41","Algeria",NA,"Liamine Zéroual",31,1,1994,27,4,1999,615,"ALG",1,"DZA"
"42","Algeria",NA,"Abdelaziz Bouteflika",27,4,1999,NA,NA,NA,615,"ALG",1,"DZA"
"43","Andorra",NA,"Oscar Ribas Reig",14,3,1993,21,12,1994,232,"AND",195,"ADO"
"44","Andorra",NA,"Marc Forne Molne",21,12,1994,NA,NA,NA,232,"AND",195,"ADO"
"45","Angola",2144,"Neto",11,11,1975,20,9,1979,540,"ANG",2,"AGO"
"46","Angola",2145,"Dos Santos",21,9,1979,NA,NA,NA,540,"ANG",2,"AGO"
"47","Antigua & Barbuda",NA,"Vere Cornwall Bird",1,11,1981,9,3,1994,58,"AAB",144,"ATG"
"48","Antigua & Barbuda",NA,"Lester Bryant Bird",9,3,1994,NA,NA,NA,58,"AAB",144,"ATG"
"49","Argentina",811,"de Rosas",15,8,1835,5,3,1854,160,"ARG",66,"ARG"
"50","Argentina",812,"Urquiza",5,3,1854,5,3,1860,160,"ARG",66,"ARG"
"51","Argentina",813,"Derqui",5,3,1860,17,9,1861,160,"ARG",66,"ARG"
"52","Argentina",814,"Mitre",14,10,1862,12,10,1868,160,"ARG",66,"ARG"
"53","Argentina",815,"Sarmiento",12,10,1868,12,10,1874,160,"ARG",66,"ARG"
"54","Argentina",816,"Avellanda",12,10,1874,21,9,1880,160,"ARG",66,"ARG"
"55","Argentina",817,"Roca",21,9,1880,12,10,1886,160,"ARG",66,"ARG"
"56","Argentina",818,"Celman",12,10,1886,5,8,1890,160,"ARG",66,"ARG"
"57","Argentina",819,"Pellegrini",5,8,1890,12,10,1892,160,"ARG",66,"ARG"
"58","Argentina",820,"L.S. Pena",12,10,1892,23,1,1895,160,"ARG",66,"ARG"
"59","Argentina",821,"Uriburu",23,1,1895,12,10,1898,160,"ARG",66,"ARG"
"60","Argentina",822,"Roca",12,10,1898,12,10,1904,160,"ARG",66,"ARG"
"61","Argentina",823,"Quintana",12,10,1904,12,3,1906,160,"ARG",66,"ARG"
"62","Argentina",824,"Alcorta",12,3,1906,12,10,1910,160,"ARG",66,"ARG"
"63","Argentina",825,"R.S. Pena",12,10,1910,15,4,1914,160,"ARG",66,"ARG"
"64","Argentina",826,"de la Plaza",15,4,1914,12,10,1916,160,"ARG",66,"ARG"
"65","Argentina",817,"Irigoyen",12,10,1916,12,10,1922,160,"ARG",66,"ARG"
"66","Argentina",818,"de Alvear",12,10,1922,1,4,1928,160,"ARG",66,"ARG"
"67","Argentina",819,"Yrigoyen",1,4,1928,6,9,1930,160,"ARG",66,"ARG"
"68","Argentina",820,"Uriburu",6,9,1930,20,2,1932,160,"ARG",66,"ARG"
"69","Argentina",821,"Justo",20,2,1932,20,2,1938,160,"ARG",66,"ARG"
"70","Argentina",822,"Ortiz",20,2,1938,22,6,1942,160,"ARG",66,"ARG"
"71","Argentina",823,"Castillo",27,6,1942,5,6,1943,160,"ARG",66,"ARG"
"72","Argentina",824,"Rawson",5,6,1943,7,6,1943,160,"ARG",66,"ARG"
"73","Argentina",825,"Ramirez",7,6,1943,24,2,1944,160,"ARG",66,"ARG"
"74","Argentina",826,"Farrell",10,3,1944,4,6,1946,160,"ARG",66,"ARG"
