"","year","ai","sd","ainew","sdnew","idgurr","ccode"
"1",1976,1,NA,1,1,2,2
"2",1977,1,1,1,1,2,2
"3",1978,1,NA,1,1,2,2
"4",1979,1,NA,1,1,2,2
"5",1980,1,NA,1,1,2,2
"6",1981,1,NA,1,1,2,2
"7",1982,1,NA,1,1,2,2
"8",1983,1,NA,1,1,2,2
"9",1984,1,NA,1,1,2,2
"10",1985,1,NA,1,1,2,2
"11",1986,1,NA,1,1,2,2
"12",1987,2,NA,2,2,2,2
"13",1988,1,NA,1,1,2,2
"14",1989,1,NA,1,1,2,2
"15",1990,1,NA,1,1,2,2
"16",1991,2,NA,2,2,2,2
"17",1992,2,NA,2,2,2,2
"18",1993,1,NA,1,1,2,2
"19",1976,1,1,1,1,20,20
"20",1977,NA,1,1,1,20,20
"21",1978,NA,1,1,1,20,20
"22",1979,NA,1,1,1,20,20
"23",1980,NA,1,1,1,20,20
"24",1981,NA,1,1,1,20,20
"25",1982,NA,1,1,1,20,20
"26",1983,1,1,1,1,20,20
"27",1984,1,1,1,1,20,20
"28",1985,NA,1,1,1,20,20
"29",1986,1,1,1,1,20,20
"30",1987,1,1,1,1,20,20
"31",1988,NA,1,1,1,20,20
"32",1989,NA,1,1,1,20,20
"33",1990,1,1,1,1,20,20
"34",1991,1,1,1,1,20,20
"35",1992,1,1,1,1,20,20
"36",1993,1,1,1,1,20,20
"37",1976,NA,1,1,1,31,31
"38",1977,NA,1,1,1,31,31
"39",1978,NA,1,1,1,31,31
"40",1979,NA,1,1,1,31,31
"41",1980,NA,1,1,1,31,31
"42",1981,NA,1,1,1,31,31
"43",1982,NA,1,1,1,31,31
"44",1983,NA,1,1,1,31,31
"45",1984,NA,1,1,1,31,31
"46",1985,NA,1,1,1,31,31
"47",1986,1,2,1,2,31,31
"48",1987,NA,1,1,1,31,31
"49",1988,NA,1,1,1,31,31
"50",1989,1,1,1,1,31,31
"51",1990,1,1,1,1,31,31
"52",1991,1,1,1,1,31,31
"53",1992,1,1,1,1,31,31
"54",1993,1,1,1,1,31,31
"55",1976,3,NA,3,3,40,40
"56",1977,3,4,3,4,40,40
"57",1978,4,NA,4,4,40,40
"58",1979,3,3,3,3,40,40
"59",1980,3,3,3,3,40,40
"60",1981,3,3,3,3,40,40
"61",1982,3,3,3,3,40,40
"62",1983,3,3,3,3,40,40
"63",1984,3,3,3,3,40,40
"64",1985,3,3,3,3,40,40
"65",1986,3,4,3,4,40,40
"66",1987,3,3,3,3,40,40
"67",1988,3,3,3,3,40,40
"68",1989,3,3,3,3,40,40
"69",1990,3,3,3,3,40,40
"70",1991,3,3,3,3,40,40
"71",1992,3,3,3,3,40,40
"72",1993,3,3,3,3,40,40
"73",1976,3,3,3,3,41,41
"74",1977,4,3,4,3,41,41
"75",1978,4,2,4,2,41,41
"76",1979,3,3,3,3,41,41
"77",1980,4,3,4,3,41,41
"78",1981,3,3,3,3,41,41
"79",1982,3,2,3,2,41,41
"80",1983,3,3,3,3,41,41
"81",1984,3,3,3,3,41,41
"82",1985,3,3,3,3,41,41
"83",1986,3,2,3,2,41,41
"84",1987,5,3,5,3,41,41
"85",1988,4,3,4,3,41,41
"86",1989,3,3,3,3,41,41
"87",1990,4,4,4,4,41,41
"88",1991,4,5,4,5,41,41
"89",1992,4,4,4,4,41,41
"90",1993,4,4,4,4,41,41
"91",1976,3,2,3,2,42,42
"92",1977,3,2,3,2,42,42
"93",1978,3,2,3,2,42,42
"94",1979,2,2,2,2,42,42
"95",1980,3,2,3,2,42,42
"96",1981,NA,2,2,2,42,42
"97",1982,NA,2,2,2,42,42
"98",1983,NA,1,1,1,42,42
"99",1984,3,2,3,2,42,42
"100",1985,NA,1,1,1,42,42
"101",1986,3,2,3,2,42,42
"102",1987,3,2,3,2,42,42
"103",1988,3,2,3,2,42,42
"104",1989,2,2,2,2,42,42
"105",1990,2,2,2,2,42,42
"106",1991,2,2,2,2,42,42
"107",1992,2,2,2,2,42,42
"108",1993,2,2,2,2,42,42
"109",1976,2,2,2,2,51,51
"110",1977,2,2,2,2,51,51
"111",1978,NA,2,2,2,51,51
"112",1979,NA,2,2,2,51,51
"113",1980,NA,1,1,1,51,51
"114",1981,NA,1,1,1,51,51
"115",1982,NA,1,1,1,51,51
"116",1983,NA,1,1,1,51,51
"117",1984,2,2,2,2,51,51
"118",1985,2,2,2,2,51,51
"119",1986,2,2,2,2,51,51
"120",1987,1,2,1,2,51,51
"121",1988,3,2,3,2,51,51
"122",1989,2,2,2,2,51,51
"123",1990,2,2,2,2,51,51
"124",1991,1,3,1,3,51,51
"125",1992,3,3,3,3,51,51
"126",1993,2,3,2,3,51,51
"127",1976,1,NA,1,1,52,52
"128",1977,1,NA,1,1,52,52
"129",1978,NA,NA,NA,NA,52,52
"130",1979,NA,2,2,2,52,52
"131",1980,NA,1,1,1,52,52
"132",1981,NA,1,1,1,52,52
"133",1982,NA,1,1,1,52,52
"134",1983,NA,1,1,1,52,52
"135",1984,NA,1,1,1,52,52
"136",1985,1,1,1,1,52,52
"137",1986,1,1,1,1,52,52
"138",1987,1,1,1,1,52,52
"139",1988,2,1,2,1,52,52
"140",1989,1,1,1,1,52,52
"141",1990,2,2,2,2,52,52
"142",1991,2,2,2,2,52,52
"143",1992,1,2,1,2,52,52
"144",1993,2,2,2,2,52,52
"145",1976,NA,NA,NA,NA,53,53
"146",1977,NA,NA,NA,NA,53,53
"147",1978,NA,1,1,1,53,53
"148",1979,NA,1,1,1,53,53
"149",1980,NA,1,1,1,53,53
"150",1981,NA,1,1,1,53,53
"151",1982,1,1,1,1,53,53
"152",1983,NA,1,1,1,53,53
"153",1984,1,1,1,1,53,53
"154",1985,NA,1,1,1,53,53
