Saturation pressure of water
from Table A-12M in K. Wark, "Thermodynamics", 3rd ed., 1977, McGraw-Hill
T_(C)     P_(bar)
  0       0.00611
  5       0.00872
 10       0.01228
 15       0.01705
 20       0.02339
 25       0.03169
 30       0.04246
 35       0.05628
 40       0.07384
 45       0.09593
 50       0.1235
 55       0.1576
 60       0.1994
 65       0.2503
 70       0.3119
 75       0.3858
 80       0.4739
 85       0.5783
 90       0.7014
 95       0.8455
100       1.014
110       1.433
120       1.985
130       2.701
140       3.613
150       4.758
160       6.178
170       7.917
180      10.02
190      12.54
200      15.54
210      19.06
220      23.18
230      27.95
240      33.44
250      39.73
260      46.88
270      54.99
280      64.12
290      74.36
300      85.81
320     112.7
340     145.9
360     186.5
374.14  220.9
