year	temp
1	1854	49.15
2	1855	46.52
3	1871	48.8
4	1881	47.95
5	1882	47.31
6	1883	44.64
7	1884	45.93
8	1885	43.41
9	1890	48.09
10	1891	47.71
11	1892	46.13
12	1893	45.1
13	1894	48.32
14	1895	46.39
15	1896	47.7
16	1897	47.61
17	1898	48.89
18	1899	48.29
19	1900	48.79
20	1901	47.3
21	1902	47.69
22	1903	46.54
23	1904	44.61
24	1905	46.57
25	1906	48.42
26	1907	44.62
27	1908	47.5
28	1909	46.53
29	1910	46.93
30	1911	48.23
31	1912	45.22
32	1913	48.37
33	1914	46.58
34	1915	46.21
35	1916	46.58
36	1917	43.48
37	1918	46.88
38	1919	48.15
39	1920	46.09
40	1921	49.97
41	1922	48.37
42	1923	46.74
43	1924	45.21
44	1925	47.06
45	1926	45.33
46	1927	48.18
47	1928	47.28
48	1929	46.55
49	1930	48.92
50	1931	51.17
51	1932	48.55
52	1933	49.4
53	1934	48.66
54	1935	47.26
55	1936	47.55
56	1937	47.73
57	1938	50.08
58	1939	49.58
59	1940	46.71
60	1941	49.91
61	1942	48.29
62	1943	47.12
63	1944	48.83
64	1945	47.63
65	1946	49.45
66	1947	46.83
67	1948	48.17
68	1949	50.19
69	1951	47.58
70	1952	50.13
71	1953	50.88
72	1956	48.6
73	1957	48.49
74	1958	47.38
75	1959	48.79
76	1960	47.04
77	1962	48.21
78	1963	48.12
79	1964	49.66
80	1965	47.84
81	1966	48.61
82	1967	48.04
83	1968	49.09
84	1969	48.94
85	1970	49.15
86	1971	49.48
87	1972	47.34
88	1973	50.41
89	1974	48.1
90	1975	47.99
91	1976	46.5
92	1977	47.17
93	1978	45.75
94	1979	46.1
95	1980	46.43
96	1981	47.09
97	1982	47.07
98	1983	48.19
99	1984	47.94
100	1985	47.44
101	1986	48.16
102	1987	49.99
103	1988	48.11
104	1989	46.5
105	1990	49.49
106	1991	49.98
107	1992	47.01
108	1993	47
109	1994	47.86
110	1995	47.73
111	1996	46.44
112	1997	46.83
113	1998	51.89
114	1999	49.69
115	2000	48.22
