y	smoker	dead	age
1	2	yes	yes	18-24
2	1	no	yes	18-24
3	3	yes	yes	25-34
4	5	no	yes	25-34
5	14	yes	yes	35-44
6	7	no	yes	35-44
7	27	yes	yes	45-54
8	12	no	yes	45-54
9	51	yes	yes	55-64
10	40	no	yes	55-64
11	29	yes	yes	65-74
12	101	no	yes	65-74
13	13	yes	yes	75+
14	64	no	yes	75+
15	53	yes	no	18-24
16	61	no	no	18-24
17	121	yes	no	25-34
18	152	no	no	25-34
19	95	yes	no	35-44
20	114	no	no	35-44
21	103	yes	no	45-54
22	66	no	no	45-54
23	64	yes	no	55-64
24	81	no	no	55-64
25	7	yes	no	65-74
26	28	no	no	65-74
27	0	yes	no	75+
28	0	no	no	75+
