species	sex	basilar.length	occipitonasal.length	palate.length	palate.width	nasal.length	nasal.width	squamosal.depth	lacrymal.width	zygomatic.width	orbital.width	.rostral.width	occipital.depth	crest.width	foramina.length	mandible.length	mandible.width	mandible.depth	ramus.height
1	giganteus	Male	1312	1445	882	NA	609	241	180	394	782	249	227	531	153	88	1086	131	179	591
2	giganteus	Male	1439	1503	985	230	629	222	150	416	824	233	248	632	141	100	1158	148	181	643
3	giganteus	Male	1378	1464	934	NA	620	233	135	403	778	244	240	575	144	107	1131	116	169	610
4	giganteus	Male	1315	1367	895	230	564	207	158	394	801	224	242	568	116	79	1090	132	189	594
5	giganteus	Male	1413	1500	969	NA	645	247	161	426	823	241	252	607	120	99	1175	131	197	654
6	giganteus	Male	1090	1195	740	NA	493	189	122	350	673	234	185	462	188	90	901	101	138	476
7	giganteus	Male	1294	1421	872	239	606	226	155	396	780	237	238	577	149	101	1084	124	168	578
8	giganteus	Male	1377	1504	954	248	660	240	159	417	812	240	245	614	128	91	1149	129	175	628
9	giganteus	Male	1296	1439	878	208	630	215	NA	387	759	248	219	584	151	117	1069	121	159	578
10	giganteus	Male	1470	1563	987	236	672	231	185	429	856	227	268	659	103	94	1240	132	196	683
11	giganteus	Male	1612	1699	1119	281	778	263	185	441	921	251	284	699	86	79	1345	148	232	772
12	giganteus	Male	1388	1500	936	227	616	220	150	412	805	236	249	628	107	85	1179	132	180	652
13	giganteus	Male	1575	1655	1100	295	727	271	178	461	905	251	281	692	82	125	1309	145	210	712
14	giganteus	Male	1717	1821	1184	307	810	284	185	490	960	258	288	764	104	81	1443	157	222	731
15	giganteus	Male	1587	1711	1115	293	778	279	184	461	910	234	282	673	81	75	1339	135	207	692
16	giganteus	Male	1604	1770	1132	268	823	272	173	474	880	249	258	702	57	109	1361	140	208	713
17	giganteus	Male	1630	1703	1122	294	755	268	190	467	902	261	314	710	81	104	1377	137	206	754
18	giganteus	Male	1490	1599	1007	289	710	278	179	483	897	250	299	674	115	107	1253	142	194	688
19	giganteus	Male	1552	1540	1031	234	701	238	192	447	852	246	287	691	82	89	1293	137	213	722
20	giganteus	Male	1595	1709	1092	267	803	255	204	455	904	243	306	695	83	130	NA	138	183	701
21	giganteus	Male	1840	1907	1279	297	855	308	225	536	984	277	350	780	84	116	1539	163	238	795
22	giganteus	Male	1740	1817	1225	291	838	281	185	493	977	273	265	736	121	83	NA	159	227	770
23	giganteus	Male	1846	1893	1300	NA	830	288	213	527	1013	252	330	784	21	89	1530	152	232	829
24	giganteus	Male	1702	1860	1270	332	864	306	221	513	947	239	315	765	39	137	1526	138	218	776
25	giganteus	Male	1768	1890	1173	NA	837	285	252	512	968	233	347	798	41	100	1547	140	243	842
26	giganteus	Female	1112	1225	755	NA	525	175	141	354	702	221	201	497	203	82	933	106	154	533
27	giganteus	Female	1262	1367	855	211	575	200	145	386	760	226	220	569	164	72	1059	113	164	578
28	giganteus	Female	1423	1490	971	229	626	226	159	441	839	256	234	613	148	106	1197	129	173	651
29	giganteus	Female	1373	1494	952	247	664	238	171	428	828	249	228	605	147	99	1131	126	167	621
30	giganteus	Female	1414	1517	971	256	659	229	197	433	853	233	264	664	131	94	1215	139	200	660
31	giganteus	Female	1415	1523	973	257	671	247	181	443	859	240	288	665	125	104	1202	147	192	676
32	giganteus	Female	1374	1463	927	241	629	205	169	393	833	235	247	615	129	100	1176	128	171	638
33	giganteus	Female	1427	1487	978	221	646	210	173	402	823	238	242	589	125	99	1198	128	169	649
34	giganteus	Female	1382	1494	942	229	674	221	170	407	803	210	222	599	101	106	1151	122	176	629
35	giganteus	Female	1440	1557	985	233	687	225	175	413	832	229	265	646	121	88	1214	130	195	668
36	giganteus	Female	1575	1667	1105	285	756	249	185	467	903	233	301	722	104	117	1324	147	198	731
37	giganteus	Female	1462	1516	1016	255	687	223	190	432	873	222	286	663	135	105	1258	131	205	688
38	giganteus	Female	1559	1650	1087	282	734	245	182	462	920	248	258	699	103	70	1355	149	193	724
39	giganteus	Female	1507	1590	1043	NA	700	255	175	446	NA	236	264	644	112	91	1257	139	215	681
40	giganteus	Female	1546	1621	1072	275	729	238	180	445	914	251	272	672	80	93	1344	137	204	735
41	giganteus	Female	1512	1567	1052	287	695	251	183	439	885	235	271	646	82	67	1297	135	203	709
42	giganteus	Female	1400	1501	1041	267	731	242	167	440	878	234	259	688	123	130	1265	137	175	684
43	giganteus	Female	1464	1573	1037	286	717	258	182	450	848	205	262	625	70	118	1235	124	180	659
44	giganteus	Female	1491	1578	1028	259	682	253	177	455	875	244	288	647	114	111	1290	148	194	706
45	giganteus	Female	1530	1576	1037	276	704	241	191	449	910	243	271	NA	193	101	1321	143	218	741
46	giganteus	Female	1570	1618	1064	294	725	261	160	455	894	212	302	684	74	103	1355	141	206	706
47	giganteus	Female	1607	1647	1118	276	741	261	184	475	911	222	306	699	95	97	1370	139	218	733
48	giganteus	Female	1558	1646	1087	NA	740	232	177	478	908	205	320	704	28	93	1394	131	182	733
49	giganteus	Female	1589	1750	1128	311	811	289	187	479	911	238	326	716	122	90	1366	129	174	715
50	giganteus	Female	1548	1663	1079	265	784	251	206	457	907	244	282	687	100	119	1314	126	198	706
51	melanops	Male	NA	1493	980	NA	635	236	161	394	798	242	269	589	135	85	1160	125	170	659
52	melanops	Male	1299	1345	895	219	565	204	163	385	764	235	215	542	153	93	1054	118	156	556
53	melanops	Male	1337	1395	910	234	562	216	145	404	794	272	236	577	154	102	1094	122	158	625
54	melanops	Male	1372	1456	920	NA	580	225	156	420	814	230	250	589	124	88	1110	136	179	636
55	melanops	Male	1336	1441	903	185	596	220	151	414	788	245	240	574	156	95	1083	133	178	623
56	melanops	Male	1301	1387	888	225	579	219	157	411	787	231	229	582	113	78	1115	123	164	616
57	melanops	Male	1360	1467	915	NA	636	201	158	406	813	226	261	570	138	76	1102	123	171	603
58	melanops	Male	1276	1351	824	NA	559	213	134	408	766	212	235	533	129	91	NA	112	159	608
59	melanops	Male	1351	NA	921	NA	615	228	180	424	833	231	275	640	136	100	1117	135	194	654
60	melanops	Male	1613	1726	1136	269	740	234	180	496	883	246	302	NA	75	103	1365	148	184	745
61	melanops	Male	1542	1628	1020	213	677	237	187	455	885	242	247	NA	94	100	1249	148	190	709
62	melanops	Male	1440	1580	972	248	675	217	158	399	815	227	234	647	129	84	1213	131	186	634
63	melanops	Male	1474	1555	989	239	629	211	170	433	888	251	253	662	134	91	1225	144	205	716
64	melanops	Male	1503	1603	1031	259	692	238	152	454	825	220	268	638	83	95	1264	141	203	712
65	melanops	Male	1597	1653	1060	NA	710	221	178	470	908	243	294	NA	104	107	NA	146	194	761
66	melanops	Male	1671	1689	1130	248	730	281	191	495	892	236	306	NA	62	78	1357	138	208	770
67	melanops	Male	1673	1720	1140	NA	763	292	299	497	946	270	318	709	107	120	1361	153	196	755
68	melanops	Male	1458	1588	969	NA	686	251	183	435	836	239	243	624	115	105	1181	128	192	676
69	melanops	Male	1568	1689	1086	290	717	231	183	450	900	252	318	694	18	98	1337	140	194	759
70	melanops	Male	1650	1707	1173	319	737	275	200	523	943	268	NA	744	72	90	1395	146	184	768
71	melanops	Male	1774	1838	1210	281	816	275	198	547	994	275	368	753	56	80	1482	146	227	794
72	melanops	Male	1893	1945	1315	267	893	260	213	499	994	234	345	754	13	92	1568	163	216	824
73	melanops	Male	1765	1781	1240	295	766	261	192	476	978	220	313	726	38	95	1503	159	211	775
74	melanops	Female	1030	1121	665	174	454	141	124	303	640	202	NA	435	216	96	856	101	132	473
75	melanops	Female	1389	1486	931	245	625	203	152	411	801	245	242	587	125	114	1164	123	166	645
76	melanops	Female	1263	1372	857	225	587	203	146	400	782	232	237	554	170	113	1055	120	166	580
77	melanops	Female	1067	1167	702	NA	474	151	121	320	683	215	193	475	209	76	894	103	134	511
78	melanops	Female	1379	1500	947	NA	676	222	160	427	801	236	248	607	129	107	1125	130	171	631
79	melanops	Female	1335	1407	900	NA	586	189	136	397	899	233	NA	603	159	72	1132	129	197	619
80	melanops	Female	1282	NA	835	172	NA	186	165	385	785	233	235	NA	157	60	1070	132	182	612
81	melanops	Female	1413	1490	962	244	630	235	170	430	834	240	271	626	88	96	1198	132	191	665
82	melanops	Female	1470	1583	1000	211	690	242	166	451	855	249	271	634	129	80	1209	138	210	708
83	melanops	Female	1377	1479	923	NA	630	239	162	452	874	283	256	NA	148	95	1136	129	190	679
84	melanops	Female	1464	1539	971	246	663	196	165	411	821	236	237	645	138	83	1219	143	188	702
85	melanops	Female	1452	1592	973	236	694	236	176	461	855	261	240	656	140	87	1210	143	194	695
86	melanops	Female	1444	1552	972	217	667	261	156	467	869	262	251	650	176	105	1194	138	197	704
87	melanops	Female	1487	1586	1002	242	681	240	171	439	822	245	290	656	112	108	1237	127	187	679
88	melanops	Female	1515	1617	1036	NA	712	217	153	440	854	245	271	641	101	90	1245	132	196	729
89	melanops	Female	1536	1620	1070	255	716	242	165	455	894	222	326	625	87	85	1287	135	196	692
90	melanops	Female	1499	1606	1028	275	699	254	177	439	835	254	264	650	112	91	1243	125	200	668
91	melanops	Female	1505	1569	1042	220	703	207	164	433	843	230	266	629	127	88	1228	136	194	709
92	melanops	Female	1519	1594	1066	259	704	238	184	430	865	238	273	645	70	121	1275	131	192	689
93	melanops	Female	1566	1606	1046	227	669	238	198	450	882	268	267	656	135	114	1296	142	219	699
94	melanops	Female	1509	1601	1023	256	693	228	183	434	828	240	256	638	120	107	1248	129	198	692
95	melanops	Female	1553	1607	1059	235	675	259	203	484	882	239	294	698	140	117	1314	135	212	722
96	melanops	Female	1660	1701	1171	300	769	253	188	482	960	247	320	695	86	126	1430	154	205	770
97	melanops	Female	1719	1757	1190	275	800	245	194	492	939	270	333	705	65	97	1450	154	240	813
98	melanops	Female	1688	1720	1188	285	798	235	183	459	893	247	312	NA	73	95	1415	138	220	760
99	fuliginosus	Male	1382	1493	928	230	573	231	169	427	861	261	250	618	151	98	1162	133	186	640
100	fuliginosus	Male	1438	1481	976	250	566	218	173	428	912	249	261	619	172	86	1220	147	193	655
101	fuliginosus	Male	1304	1408	959	261	525	200	176	413	889	253	250	NA	138	96	1187	151	196	700
102	fuliginosus	Male	1391	1430	950	256	551	202	176	421	886	260	252	646	140	106	1187	146	202	688
103	fuliginosus	Male	1716	1688	1158	249	698	247	192	471	972	290	300	687	189	88	1450	160	236	799
104	fuliginosus	Male	1530	1578	1046	259	638	208	185	452	929	243	265	667	134	104	1315	144	201	750
105	fuliginosus	Male	1625	1630	1132	274	658	234	193	470	939	240	283	685	144	102	NA	151	200	734
106	fuliginosus	Male	1559	1567	1069	243	630	216	196	461	955	230	280	678	110	95	NA	156	212	760
107	fuliginosus	Male	1578	1566	1094	263	628	237	203	472	953	254	294	687	172	93	NA	146	207	772
108	fuliginosus	Male	1562	1580	1076	295	638	240	177	455	925	243	272	675	118	80	1320	154	217	753
109	fuliginosus	Male	1656	1640	1146	280	624	226	194	500	969	235	314	738	114	92	1422	166	227	805
110	fuliginosus	Male	1477	1486	1001	244	590	206	155	402	867	242	268	639	160	88	1245	147	185	672
111	fuliginosus	Male	1568	1601	1095	262	628	250	205	504	932	265	290	719	115	96	1367	159	223	777
112	fuliginosus	Male	1656	1646	1142	297	656	232	198	471	947	217	309	721	104	75	NA	149	207	778
113	fuliginosus	Male	1619	1678	1106	256	719	253	193	473	946	242	276	689	119	94	1369	159	215	765
114	fuliginosus	Male	1687	1692	1153	260	687	263	204	491	986	240	288	735	111	104	1412	157	227	823
115	fuliginosus	Male	1748	1731	1212	282	700	262	243	494	1000	236	340	735	129	98	NA	166	239	859
116	fuliginosus	Male	1783	1788	1243	303	746	275	239	503	972	207	330	764	80	105	NA	159	226	841
117	fuliginosus	Male	1745	1738	1235	304	715	246	237	513	1070	258	328	744	149	96	1502	167	239	853
118	fuliginosus	Male	1680	1668	1151	293	685	255	224	479	1032	213	337	728	78	76	1466	158	214	835
119	fuliginosus	Male	1653	1701	1151	299	734	239	215	490	1004	239	319	742	126	94	1408	169	209	836
120	fuliginosus	Male	1732	1702	1200	328	708	255	230	496	990	233	312	703	106	87	1474	158	239	822
121	fuliginosus	Male	1729	1694	1199	303	691	259	229	494	1015	222	322	737	125	117	NA	161	222	799
122	fuliginosus	Male	1711	1695	1191	291	699	233	221	461	989	210	308	751	60	73	1452	154	215	815
123	fuliginosus	Male	1834	1823	1247	320	737	278	280	535	1090	262	371	770	151	100	1555	156	271	880
124	fuliginosus	Female	1271	1334	859	211	503	171	152	381	824	240	216	563	199	70	1078	130	181	634
125	fuliginosus	Female	1329	1375	885	229	549	197	172	396	838	214	239	587	153	79	1103	133	182	666
126	fuliginosus	Female	1248	1286	827	236	494	196	154	380	804	230	227	574	169	72	1046	131	170	616
127	fuliginosus	Female	1271	1355	855	212	522	190	138	374	799	247	215	585	167	90	1058	132	179	629
128	fuliginosus	Female	1317	1311	891	198	497	167	152	390	807	226	237	609	155	93	1073	130	178	648
129	fuliginosus	Female	1356	1387	926	214	554	195	160	392	837	220	245	611	181	85	1140	135	188	657
130	fuliginosus	Female	1250	1327	859	249	532	232	176	421	830	274	266	NA	214	80	1067	127	176	639
131	fuliginosus	Female	1048	1145	693	NA	434	167	131	337	725	217	173	481	198	61	880	108	152	511
132	fuliginosus	Female	1363	1430	926	227	578	217	167	408	844	234	249	603	153	73	1163	129	194	654
133	fuliginosus	Female	1389	1415	944	230	574	212	172	405	822	241	241	612	170	73	1163	139	191	641
134	fuliginosus	Female	1370	1424	934	248	571	205	171	408	859	246	235	623	154	98	1152	143	194	689
135	fuliginosus	Female	1405	1426	956	212	571	199	182	407	868	235	250	NA	167	107	1176	134	194	683
136	fuliginosus	Female	1428	1430	977	252	570	214	162	437	880	248	263	620	170	83	1179	140	189	650
137	fuliginosus	Female	1456	1489	992	245	602	219	188	427	878	235	253	657	118	78	NA	141	193	717
138	fuliginosus	Female	1395	1426	942	240	571	222	182	430	853	228	259	650	138	79	1199	148	202	700
139	fuliginosus	Female	1385	1399	945	215	553	191	156	386	827	217	247	585	137	98	1156	134	190	642
140	fuliginosus	Female	1441	1449	984	NA	568	221	166	435	879	231	257	635	160	82	1233	142	185	700
141	fuliginosus	Female	1464	1496	1008	226	636	230	183	436	897	234	264	646	172	78	1263	150	216	715
142	fuliginosus	Female	1486	1483	1019	287	603	213	180	442	927	230	274	649	139	97	1291	157	217	737
143	fuliginosus	Female	1499	1511	NA	255	699	212	190	435	936	256	278	642	200	118	1291	150	200	740
144	fuliginosus	Female	1485	1500	1016	277	552	205	203	454	919	225	278	676	122	74	1260	148	194	751
145	fuliginosus	Female	1468	1536	996	264	667	222	190	431	951	217	305	650	178	82	1287	141	199	736
146	fuliginosus	Female	1510	1546	1043	264	656	218	197	423	891	190	270	651	78	87	1337	158	210	747
147	fuliginosus	Female	1526	1512	1052	281	625	250	201	470	934	236	289	680	145	106	1334	153	211	739
148	fuliginosus	Female	1570	1583	987	285	646	244	198	482	984	253	291	699	188	103	1354	153	223	807
