longlive	wherebfr	hownbly	knowname	callname	age	district	sex
1	10yrs	Exeter	Average	1-5	1-5	51-65	1	female
2	1-3yrs	same	FFriendly	1-5	1-5	18-30	2	male
3	10yrs	Britain	FFriendly	6-20	6-20	18-30	3	female
4	1-3yrs	Devon	NVfriendly	1-5	1-5	18-30	2	male
5	10yrs	same	VFriendly	6-20	6-20	31-50	3	female
6	3-10yrs	Exeter	Average	20+	1-5	65+	3	female
7	3-10yrs	Exeter	VFriendly	1-5	1-5	NA	1	NA
8	10yrs	Britain	Vunfriendly	6-20	6-20	65+	1	male
9	10yrs	Exeter	Average	6-20	6-20	51-65	1	male
10	10yrs	Exeter	Average	1-5	1-5	31-50	3	male
11	1-3yrs	Exeter	NVfriendly	1-5	1-5	31-50	1	female
12	3-10yrs	Exeter	Average	6-20	6-20	18-30	3	male
13	3-10yrs	same	VFriendly	20+	20+	18-30	2	female
14	10yrs	Devon	Average	1-5	1-5	51-65	3	male
15	10yrs	Devon	FFriendly	6-20	1-5	31-50	3	male
16	3-10yrs	Britain	FFriendly	6-20	6-20	65+	3	male
17	3-10yrs	Exeter	NVfriendly	NA	6-20	31-50	3	female
18	3-10yrs	Exeter	FFriendly	6-20	6-20	31-50	2	male
19	3-10yrs	Exeter	VFriendly	1-5	1-5	31-50	3	male
20	10yrs	Exeter	VFriendly	20+	20+	65+	3	NA
21	6-12mos	Exeter	Average	1-5	1-5	NA	2	NA
22	<6mos	same	NVfriendly	1-5	1-5	31-50	1	male
23	3-10yrs	Devon	NVfriendly	1-5	none	31-50	2	female
24	3-10yrs	same	NVfriendly	1-5	1-5	31-50	1	female
25	3-10yrs	Britain	Average	1-5	1-5	31-50	1	female
26	1-3yrs	Exeter	FFriendly	20+	6-20	31-50	2	male
27	3-10yrs	Britain	VFriendly	20+	6-20	65+	1	female
28	1-3yrs	Abroad	NVfriendly	1-5	1-5	31-50	1	male
29	<6mos	Devon	Average	1-5	none	18-30	1	male
30	10yrs	Britain	VFriendly	6-20	6-20	65+	3	female
31	<6mos	Devon	FFriendly	1-5	1-5	NA	1	NA
32	3-10yrs	Britain	Average	NA	6-20	65+	1	NA
33	1-3yrs	Britain	FFriendly	6-20	6-20	18-30	2	female
34	3-10yrs	Exeter	Average	1-5	1-5	31-50	2	female
35	1-3yrs	Devon	VFriendly	6-20	6-20	31-50	1	male
36	10yrs	Britain	FFriendly	20+	6-20	31-50	2	female
37	3-10yrs	Britain	Average	6-20	6-20	31-50	1	female
38	10yrs	Exeter	Average	1-5	1-5	31-50	3	female
39	10yrs	Exeter	FFriendly	6-20	6-20	51-65	2	male
40	10yrs	Exeter	VFriendly	6-20	6-20	31-50	2	female
41	10yrs	Exeter	FFriendly	6-20	1-5	65+	2	female
42	3-10yrs	Exeter	Average	6-20	6-20	31-50	3	female
43	3-10yrs	Britain	FFriendly	6-20	6-20	31-50	1	male
44	10yrs	Exeter	VFriendly	20+	6-20	31-50	3	male
45	10yrs	Exeter	Average	6-20	6-20	31-50	3	male
46	10yrs	Devon	NVfriendly	1-5	1-5	31-50	3	female
47	1-3yrs	Britain	Average	1-5	1-5	18-30	2	female
48	3-10yrs	Devon	FFriendly	20+	20+	31-50	2	female
49	1-3yrs	Exeter	FFriendly	6-20	6-20	18-30	2	female
50	3-10yrs	Britain	VFriendly	20+	6-20	31-50	2	female
51	1-3yrs	Devon	Average	1-5	1-5	18-30	2	female
