Lake,Log_Water_Se,Log_fish_Se
a,-0.301029996,0.966517981
a,-0.301029996,1.100717078
a,-0.301029996,1.36069784
a,-0.301029996,1.099340549
a,-0.301029996,1.282271233
b,0.836,0.971346556
b,0.836,1.181747429
b,0.836,1.152987012
b,0.836,1.204261445
b,0.836,0.70730582
b,0.836,1.35389853
b,0.836,0.956325797
b,0.836,0.887311573
b,0.836,0.627961502
b,0.836,1.304215751
b,0.836,1.116806995
b,0.836,1.150608291
b,0.836,1.244655013
b,0.836,1.18496598
b,0.836,1.103863441
b,0.836,1.18999721
b,0.836,1.16085186
b,0.836,1.080874951
b,0.836,1.106398305
b,0.836,1.175235675
b,0.836,1.20598288
b,0.836,1.067412477
b,0.836,1.269172534
b,0.836,0.885748385
b,0.836,0.838119549
b,0.836,1.180300402
b,0.836,1.081967213
b,0.836,1.004677037
b,0.836,0.883278109
b,0.836,1.104228179
b,0.836,0.961765712
b,0.836,1.053915289
b,0.836,1.130357098
b,0.836,0.933767903
c,1.763169639,2.448441804
c,1.763169639,2.260936621
c,1.763169639,2.408174184
c,1.763169639,2.214247596
c,1.763169639,2.429383778
c,1.763169639,2.234420704
d,1.698970004,1.204139432
d,1.698970004,1.133999287
d,1.698970004,1.406466042
e,1.90982337,2.145960704
e,1.90982337,1.406825876
e,1.90982337,2.136010796
e,1.90982337,2.28278537
e,1.90982337,2.346128036
e,1.90982337,1.907570176
e,1.90982337,2.014913181
e,1.90982337,1.271882007
e,1.90982337,1.870245853
e,1.90982337,2.077371346
e,1.90982337,1.427886705
e,1.90982337,1.51386722
f,-0.301029996,0.573127854
f,-0.301029996,0.629383778
f,-0.301029996,0.438849091
f,-0.301029996,0.46923172
f,-0.301029996,0.524279286
g,0.954242509,1.909933123
h,0.748188027,1.090935107
i,-0.301029996,1.51058971
i,-0.301029996,1.5430148
i,-0.301029996,1.496910013
i,-0.301029996,1.576091259
i,-0.301029996,1.573186268
i,-0.301029996,1.581843588
i,-0.301029996,1.51058971
i,-0.301029996,1.489905111
i,-0.301029996,1.622716471
i,-0.301029996,1.517271296
i,-0.301029996,1.593124598
i,-0.301029996,1.5430148
i,-0.301029996,1.578976947
i,-0.301029996,1.517271296
i,-0.301029996,1.489905111
i,-0.301029996,1.503803721
