"day","count","trt"
1,9,"Control"
1,11,"Control"
1,10,"Control"
1,53,"Treatment"
1,65,"Treatment"
1,61,"Treatment"
2,7,"Control"
2,9,"Control"
2,10,"Control"
2,44,"Treatment"
2,53,"Treatment"
2,56,"Treatment"
3,10,"Control"
3,12,"Control"
3,5,"Control"
3,47,"Treatment"
3,39,"Treatment"
3,40,"Treatment"
4,8,"Control"
4,11,"Control"
4,12,"Control"
4,50,"Treatment"
4,38,"Treatment"
4,50,"Treatment"
5,9,"Control"
5,7,"Control"
5,13,"Control"
5,53,"Treatment"
5,59,"Treatment"
5,39,"Treatment"
6,11,"Control"
6,11,"Control"
6,8,"Control"
6,44,"Treatment"
6,51,"Treatment"
6,39,"Treatment"
7,7,"Control"
7,9,"Control"
7,9,"Control"
7,40,"Treatment"
7,37,"Treatment"
7,34,"Treatment"
8,12,"Control"
8,12,"Control"
8,15,"Control"
8,44,"Treatment"
8,34,"Treatment"
8,52,"Treatment"
9,8,"Control"
9,8,"Control"
9,15,"Control"
9,47,"Treatment"
9,49,"Treatment"
9,44,"Treatment"
10,13,"Control"
10,10,"Control"
10,13,"Control"
10,32,"Treatment"
10,35,"Treatment"
10,52,"Treatment"
11,9,"Control"
11,10,"Control"
11,16,"Control"
11,36,"Treatment"
11,36,"Treatment"
11,39,"Treatment"
12,11,"Control"
12,16,"Control"
12,7,"Control"
12,46,"Treatment"
12,37,"Treatment"
12,47,"Treatment"
13,8,"Control"
13,11,"Control"
13,7,"Control"
13,40,"Treatment"
13,30,"Treatment"
13,40,"Treatment"
14,8,"Control"
14,12,"Control"
14,9,"Control"
14,47,"Treatment"
14,21,"Treatment"
14,33,"Treatment"
15,10,"Control"
15,11,"Control"
15,6,"Control"
15,47,"Treatment"
15,34,"Treatment"
15,41,"Treatment"
16,15,"Control"
16,6,"Control"
16,10,"Control"
16,33,"Treatment"
16,46,"Treatment"
16,42,"Treatment"
17,5,"Control"
17,4,"Control"
17,7,"Control"
17,32,"Treatment"
17,37,"Treatment"
17,34,"Treatment"
18,12,"Control"
18,11,"Control"
18,9,"Control"
18,39,"Treatment"
18,24,"Treatment"
18,40,"Treatment"
19,8,"Control"
19,10,"Control"
19,19,"Control"
19,25,"Treatment"
19,18,"Treatment"
19,29,"Treatment"
20,9,"Control"
20,7,"Control"
20,12,"Control"
20,34,"Treatment"
20,35,"Treatment"
20,40,"Treatment"
21,12,"Control"
21,10,"Control"
21,6,"Control"
21,25,"Treatment"
21,36,"Treatment"
21,31,"Treatment"
22,11,"Control"
22,10,"Control"
22,9,"Control"
22,33,"Treatment"
22,29,"Treatment"
22,24,"Treatment"
23,14,"Control"
23,11,"Control"
23,7,"Control"
23,26,"Treatment"
23,27,"Treatment"
23,28,"Treatment"
24,9,"Control"
24,9,"Control"
24,10,"Control"
24,27,"Treatment"
24,33,"Treatment"
24,27,"Treatment"
25,8,"Control"
25,11,"Control"
25,10,"Control"
25,30,"Treatment"
25,24,"Treatment"
25,22,"Treatment"
26,9,"Control"
26,9,"Control"
26,6,"Control"
26,21,"Treatment"
26,25,"Treatment"
26,18,"Treatment"
27,6,"Control"
27,9,"Control"
27,9,"Control"
27,32,"Treatment"
27,25,"Treatment"
27,27,"Treatment"
28,11,"Control"
28,12,"Control"
28,12,"Control"
28,27,"Treatment"
28,24,"Treatment"
28,26,"Treatment"
29,8,"Control"
29,9,"Control"
29,9,"Control"
29,26,"Treatment"
29,26,"Treatment"
29,27,"Treatment"
30,9,"Control"
30,9,"Control"
30,10,"Control"
30,26,"Treatment"
30,19,"Treatment"
30,26,"Treatment"
31,10,"Control"
31,11,"Control"
31,8,"Control"
31,15,"Treatment"
31,20,"Treatment"
31,24,"Treatment"
32,9,"Control"
32,11,"Control"
32,11,"Control"
32,15,"Treatment"
32,22,"Treatment"
32,17,"Treatment"
33,8,"Control"
33,9,"Control"
33,10,"Control"
33,13,"Treatment"
33,18,"Treatment"
33,12,"Treatment"
34,9,"Control"
34,9,"Control"
34,10,"Control"
34,13,"Treatment"
34,7,"Treatment"
34,17,"Treatment"
35,13,"Control"
35,21,"Control"
35,8,"Control"
35,19,"Treatment"
35,16,"Treatment"
35,18,"Treatment"
36,5,"Control"
36,11,"Control"
36,10,"Control"
36,13,"Treatment"
36,14,"Treatment"
36,23,"Treatment"
37,10,"Control"
37,8,"Control"
37,11,"Control"
37,14,"Treatment"
37,8,"Treatment"
37,7,"Treatment"
38,9,"Control"
38,8,"Control"
38,10,"Control"
38,7,"Treatment"
38,8,"Treatment"
38,16,"Treatment"
39,10,"Control"
39,2,"Control"
39,12,"Control"
39,12,"Treatment"
39,13,"Treatment"
39,12,"Treatment"
40,10,"Control"
40,14,"Control"
40,9,"Control"
40,9,"Treatment"
40,14,"Treatment"
40,10,"Treatment"
41,9,"Control"
41,9,"Control"
41,11,"Control"
41,10,"Treatment"
41,9,"Treatment"
41,8,"Treatment"
42,6,"Control"
42,10,"Control"
42,13,"Control"
42,10,"Treatment"
42,12,"Treatment"
42,9,"Treatment"
43,6,"Control"
43,9,"Control"
43,12,"Control"
43,8,"Treatment"
43,12,"Treatment"
43,6,"Treatment"
44,12,"Control"
44,16,"Control"
44,12,"Control"
44,14,"Treatment"
44,10,"Treatment"
44,17,"Treatment"
45,10,"Control"
45,17,"Control"
45,9,"Control"
45,11,"Treatment"
45,11,"Treatment"
45,14,"Treatment"
46,9,"Control"
46,10,"Control"
46,8,"Control"
46,9,"Treatment"
46,12,"Treatment"
46,10,"Treatment"
47,9,"Control"
47,12,"Control"
47,16,"Control"
47,12,"Treatment"
47,10,"Treatment"
47,6,"Treatment"
48,8,"Control"
48,12,"Control"
48,15,"Control"
48,21,"Treatment"
48,18,"Treatment"
48,7,"Treatment"
49,7,"Control"
49,14,"Control"
49,16,"Control"
49,9,"Treatment"
49,10,"Treatment"
49,8,"Treatment"
50,7,"Control"
50,11,"Control"
50,9,"Control"
50,11,"Treatment"
50,8,"Treatment"
50,11,"Treatment"
51,12,"Control"
51,11,"Control"
51,11,"Control"
51,13,"Treatment"
51,16,"Treatment"
51,11,"Treatment"
52,12,"Control"
52,11,"Control"
52,8,"Control"
52,7,"Treatment"
52,7,"Treatment"
52,8,"Treatment"
53,11,"Control"
53,8,"Control"
53,12,"Control"
53,5,"Treatment"
53,16,"Treatment"
53,17,"Treatment"
54,12,"Control"
54,10,"Control"
54,7,"Control"
54,9,"Treatment"
54,11,"Treatment"
54,16,"Treatment"
55,11,"Control"
55,8,"Control"
55,6,"Control"
55,7,"Treatment"
55,11,"Treatment"
55,9,"Treatment"
56,12,"Control"
56,5,"Control"
56,12,"Control"
56,10,"Treatment"
56,13,"Treatment"
56,9,"Treatment"
57,8,"Control"
57,8,"Control"
57,7,"Control"
57,4,"Treatment"
57,8,"Treatment"
57,10,"Treatment"
58,7,"Control"
58,7,"Control"
58,13,"Control"
58,9,"Treatment"
58,10,"Treatment"
58,7,"Treatment"
59,10,"Control"
59,9,"Control"
59,13,"Control"
59,14,"Treatment"
59,7,"Treatment"
59,9,"Treatment"
60,9,"Control"
60,13,"Control"
60,14,"Control"
60,9,"Treatment"
60,11,"Treatment"
60,11,"Treatment"
