SiteClass,Site,Period,Quadrat,Density
Impact,I1,Before,Q1,23
Impact,I1,Before,Q2,30
Impact,I1,Before,Q3,27
Impact,I1,Before,Q4,25
Impact,I1,After,Q5,17
Impact,I1,After,Q6,19
Impact,I1,After,Q7,23
Impact,I1,After,Q8,25
Impact,I1,After,Q9,17
Control,C1,Before,Q10,32
Control,C1,Before,Q11,28
Control,C1,Before,Q12,35
Control,C1,Before,Q13,26
Control,C1,Before,Q14,33
Control,C1,Before,Q15,29
Control,C1,After,Q16,25
Control,C1,After,Q17,27
Control,C1,After,Q18,32
Control,C1,After,Q19,26
Control,C2,Before,Q20,38
Control,C2,Before,Q21,40
Control,C2,Before,Q22,43
Control,C2,Before,Q23,37
Control,C2,Before,Q24,37
Control,C2,Before,Q25,33
Control,C2,After,Q26,32
Control,C2,After,Q27,33
Control,C2,After,Q28,29
Control,C2,After,Q29,35
Control,C2,After,Q30,27
