SamplingTime,Year,Period,SiteClass,Site,Count
1,75,Before,Control,C1,1
1,75,Before,Impact,I1,1
2,75,Before,Control,C1,0
2,75,Before,Impact,I1,1
3,75,Before,Control,C1,0
3,75,Before,Impact,I1,0
4,75,Before,Control,C1,2
4,75,Before,Impact,I1,6
5,75,Before,Control,C1,47
5,75,Before,Impact,I1,103
6,75,Before,Control,C1,63
6,75,Before,Impact,I1,36
7,75,Before,Control,C1,78
7,75,Before,Impact,I1,6
8,75,Before,Control,C1,16
8,75,Before,Impact,I1,143
9,75,Before,Control,C1,143
9,75,Before,Impact,I1,145
10,75,Before,Control,C1,28
10,75,Before,Impact,I1,9
11,75,Before,Control,C1,4
11,75,Before,Impact,I1,15
12,75,Before,Control,C1,0
12,75,Before,Impact,I1,2
13,76,After,Control,C1,3
13,76,After,Impact,I1,1
14,76,After,Control,C1,28
14,76,After,Impact,I1,108
15,76,After,Control,C1,51
15,76,After,Impact,I1,117
16,76,After,Control,C1,17
16,76,After,Impact,I1,41
17,76,After,Control,C1,19
17,76,After,Impact,I1,23
18,76,After,Control,C1,40
18,76,After,Impact,I1,44
19,76,After,Control,C1,1
19,76,After,Impact,I1,4
20,76,After,Control,C1,2
20,76,After,Impact,I1,0
21,77,After,Control,C1,0
21,77,After,Impact,I1,0
22,77,After,Control,C1,0
22,77,After,Impact,I1,0
23,77,After,Control,C1,2
23,77,After,Impact,I1,26
24,77,After,Control,C1,2
24,77,After,Impact,I1,4
25,77,After,Control,C1,4
25,77,After,Impact,I1,10
