SiteClass,Site,Sample,Year,Period,Fry
Downstream,D,1,2000,Before,185
Downstream,E,1,2000,Before,258
Downstream,E,2,2000,Before,630
Downstream,E,3,2000,Before,116
Downstream,F,1,2000,Before,208
Downstream,F,2,2000,Before,261
Downstream,D,1,2001,Before,321
Downstream,E,1,2001,Before,65
Downstream,E,2,2001,Before,755
Downstream,F,1,2001,Before,476
Downstream,F,2,2001,Before,521
Downstream,E,1,2002,Before,198
Downstream,E,2,2002,Before,325
Downstream,F,1,2002,Before,290
Downstream,F,2,2002,Before,565
Downstream,D,1,2003,After,142
Downstream,E,1,2003,After,172
Downstream,E,2,2003,After,507
Downstream,F,1,2003,After,367
Downstream,F,2,2003,After,711
Downstream,E,1,2004,After,166
Downstream,E,2,2004,After,187
Downstream,F,1,2004,After,184
Downstream,F,2,2004,After,292
Upstream,C,1,2000,Before,50
Upstream,C,1,2001,Before,365
Upstream,C,1,2002,Before,134
Upstream,C,1,2003,After,126
Upstream,C,1,2004,After,200
Upstream,A,1,2000,Before,4
Upstream,A,2,2000,Before,47
Upstream,B,1,2000,Before,188
Upstream,B,2,2000,Before,425
Upstream,C,2,2000,Before,199
Upstream,A,1,2001,Before,71
Upstream,A,2,2001,Before,15
Upstream,B,1,2001,Before,366
Upstream,B,2,2001,Before,372
Upstream,B,3,2001,Before,211
Upstream,A,1,2002,Before,50
Upstream,A,2,2002,Before,58
Upstream,A,3,2002,Before,42
Upstream,B,1,2002,Before,740
Upstream,B,2,2002,Before,151
Upstream,A,1,2003,After,22
Upstream,A,2,2003,After,139
Upstream,B,1,2003,After,532
Upstream,B,2,2003,After,149
Upstream,A,1,2004,After,15
Upstream,A,2,2004,After,42
Upstream,B,1,2004,After,311
Upstream,B,2,2004,After,50
